,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
0,Sat Jan 25 18:21:19 +0000 2020,1221135977772613632,1221135977772613632,@adrianachavira @CaitlinKellyNYC I teach #journalism at @CityCollegeNY to students who are mostly going into PR and advertising. I comment often on how important it is for professionals in those fields to understand journalism and the ethical principles on which it is based. I think they get it.,False,"[33, 296]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2209125647977595e+18,1220912564797759489,66905088.0,66905088,adrianachavira,,,,False,0,1,False,False,en,"[{'text': 'journalism', 'indices': [41, 52]}]",[],"[{'screen_name': 'adrianachavira', 'name': 'Adriana Chavira', 'id': 66905088, 'id_str': '66905088', 'indices': [0, 15]}, {'screen_name': 'CaitlinKellyNYC', 'name': 'Caitlin Kelly', 'id': 2274947438, 'id_str': '2274947438', 'indices': [16, 32]}, {'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [56, 70]}]",[],en,recent,16188864,16188864,Michael Balter,mbalter,Recently returned to USA from 29 yrs exile in Europe.,"Journalism prof, City College of New York; contributor to CJR, SciAm, SAPIENS, The Verge, Yale E360, etc. Anthro, mental health, environ, #MeTooSTEM",https://t.co/v0beVGZvPj,"[{'url': 'https://t.co/v0beVGZvPj', 'expanded_url': 'http://michaelbalter.com', 'display_url': 'michaelbalter.com', 'indices': [0, 23]}]",[],False,5898,5230,278,Mon Sep 08 18:43:35 +0000 2008,70127,,,True,False,89151,,False,False,False,000000,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/769528655760547841/AOg5UXnh_normal.jpg,https://pbs.twimg.com/profile_images/769528655760547841/AOg5UXnh_normal.jpg,https://pbs.twimg.com/profile_banners/16188864/1493798178,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,01b828da4311466f,https://api.twitter.com/1.1/geo/id/01b828da4311466f.json,city,Croton-on-Hudson,"Croton-on-Hudson, NY",US,United States,[],Polygon,"[[[-73.946553, 41.168161], [-73.847928, 41.168161], [-73.847928, 41.334491], [-73.946553, 41.334491]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 01:03:36 +0000 2020,1220874829601046528,1220874829601046528,@CaseofStripes @CityCollegeNY Two others have told me I must meet her ASAP!,False,"[30, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208739685649981e+18,1220873968564998144,3019170412.0,3019170412,CaseofStripes,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'CaseofStripes', 'name': 'sarah stallings 🌏🌍🌎', 'id': 3019170412, 'id_str': '3019170412', 'indices': [0, 14]}, {'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [15, 29]}]",[],en,recent,394879847,394879847,Susan Perkins,NYCuratrix,"New York, NY",I am the Martin & Michele Cohen Dean of Science at @CityCollegeNY @DivofScience Tweets my own. she/her,https://t.co/bkgMSewJ11,"[{'url': 'https://t.co/bkgMSewJ11', 'expanded_url': 'http://www.susanperkins.net', 'display_url': 'susanperkins.net', 'indices': [0, 23]}]",[],False,6054,2595,187,Thu Oct 20 19:34:17 +0000 2011,17835,,,True,False,36186,,False,False,False,7631A8,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg,https://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg,https://pbs.twimg.com/profile_banners/394879847/1578276732,9263CF,FFFFFF,DAECF4,663B12,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fri Jan 24 23:18:12 +0000 2020,1220848302687735809,1220848302687735809,"Week #3 of #newdean life is a wrap. Only a 4-day week, but had lots more meetings, lots more stress, a flood and an evacuation. But I still love this job so much and know I made the right decision. 💜 @CityCollegeNY (PS spring semester starts Monday...send all the good vibes!)",False,"[0, 276]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,1,32,False,False,en,"[{'text': 'newdean', 'indices': [11, 19]}]",[],"[{'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [200, 214]}]",[],en,recent,394879847,394879847,Susan Perkins,NYCuratrix,"New York, NY",I am the Martin & Michele Cohen Dean of Science at @CityCollegeNY @DivofScience Tweets my own. she/her,https://t.co/bkgMSewJ11,"[{'url': 'https://t.co/bkgMSewJ11', 'expanded_url': 'http://www.susanperkins.net', 'display_url': 'susanperkins.net', 'indices': [0, 23]}]",[],False,6054,2595,187,Thu Oct 20 19:34:17 +0000 2011,17835,,,True,False,36186,,False,False,False,7631A8,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg,https://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg,https://pbs.twimg.com/profile_banners/394879847/1578276732,9263CF,FFFFFF,DAECF4,663B12,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Thu Jan 23 13:56:09 +0000 2020,1220344471205896192,1220344471205896192,"@etammykim @CBSNews @CityCollegeNY @thenation Yes, he was clever, kind and committed.",False,"[46, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203414451204792e+18,1220341445120479232,1534422626.0,1534422626,etammykim,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'etammykim', 'name': 'E. Tammy Kim 김태미', 'id': 1534422626, 'id_str': '1534422626', 'indices': [0, 10]}, {'screen_name': 'CBSNews', 'name': 'CBS News', 'id': 15012486, 'id_str': '15012486', 'indices': [11, 19]}, {'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [20, 34]}, {'screen_name': 'thenation', 'name': 'The Nation', 'id': 1947301, 'id_str': '1947301', 'indices': [35, 45]}]",[],en,recent,22263896,22263896,Diana Gordon,DinniGordo,"New York, USA","political scientist (retired), immigration activist and blogger (https://t.co/Nlzg5ecs9t), author of Village of Immigrants: Latinos in an Emerging America",http://t.co/Nlzg5dUQKT,"[{'url': 'http://t.co/Nlzg5dUQKT', 'expanded_url': 'http://www.smalltownimmigration.com', 'display_url': 'smalltownimmigration.com', 'indices': [0, 22]}]","[{'url': 'https://t.co/Nlzg5ecs9t', 'expanded_url': 'http://www.smalltownimmigration.com', 'display_url': 'smalltownimmigration.com', 'indices': [65, 88]}]",False,79,281,6,Sat Feb 28 15:22:39 +0000 2009,20,,,True,False,204,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/798935887643934720/3AVifHV-_normal.jpg,https://pbs.twimg.com/profile_images/798935887643934720/3AVifHV-_normal.jpg,https://pbs.twimg.com/profile_banners/22263896/1432377853,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Wed Jan 22 22:16:47 +0000 2020,1220108071848103936,1220108071848103936,"@CityCollegeNY @iamjdab Interestingly, when I was a student at CCNY, this class existed. Maybe for just one or two semesters. But it was very popular!",False,"[24, 150]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200903864435917e+18,1220090386443591685,21900832.0,21900832,CityCollegeNY,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [0, 14]}, {'screen_name': 'iamjdab', 'name': 'Jamar Brown', 'id': 872226764688437248, 'id_str': '872226764688437248', 'indices': [15, 23]}]",[],en,recent,84655621,84655621,Gareth Rhodes,GarethRhodes,"Kingston, NY","Deputy Superintendent & Special Counsel @NYDFS. Alum: @CUNY City College, @Harvard_Law, @TrumanScholars. Married to @AlexaMKissinger. Personal account.",,,[],False,4918,2568,95,Fri Oct 23 18:27:32 +0000 2009,10843,,,True,True,6762,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1041874069438783488/5-CMFq8l_normal.jpg,https://pbs.twimg.com/profile_images/1041874069438783488/5-CMFq8l_normal.jpg,https://pbs.twimg.com/profile_banners/84655621/1537229696,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Wed Jan 22 04:01:44 +0000 2020,1219832493421015040,1219832493421015040,@Vgbcc1 @CityCollegeNY Hard to ❤️ this. 😢,False,"[23, 41]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197596742932152e+18,1219759674293215234,915673728.0,915673728,Vgbcc1,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Vgbcc1', 'name': 'Vince Boudreau', 'id': 915673728, 'id_str': '915673728', 'indices': [0, 7]}, {'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [8, 22]}]",[],en,recent,394879847,394879847,Susan Perkins,NYCuratrix,"New York, NY",I am the Martin & Michele Cohen Dean of Science at @CityCollegeNY @DivofScience Tweets my own. she/her,https://t.co/bkgMSewJ11,"[{'url': 'https://t.co/bkgMSewJ11', 'expanded_url': 'http://www.susanperkins.net', 'display_url': 'susanperkins.net', 'indices': [0, 23]}]",[],False,6054,2595,187,Thu Oct 20 19:34:17 +0000 2011,17835,,,True,False,36186,,False,False,False,7631A8,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg,https://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg,https://pbs.twimg.com/profile_banners/394879847/1578276732,9263CF,FFFFFF,DAECF4,663B12,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wed Jan 22 03:01:05 +0000 2020,1219817228389908481,1219817228389908481,"RT @Vgbcc1: Talking to my apartment's security guard. Not born in the US, listening to the impeachment hearings all day. His bafflement at…",False,"[0, 139]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'Vgbcc1', 'name': 'Vince Boudreau', 'id': 915673728, 'id_str': '915673728', 'indices': [3, 10]}]",[],en,recent,60394435,60394435,Dee Dee Mozeleski,DeeMozeleski,"New York City, The World. ","#Gryffindor, #flyfisher, #PADI Master Diver, slow triathlete, ninja. Who runs the world?  Find me: Senior Adv to @vgbccny1 & VP ExDir, Fnd/Comms @CityCollegeNY",https://t.co/r2IR2G71KB,"[{'url': 'https://t.co/r2IR2G71KB', 'expanded_url': 'http://bubblesdeux.com', 'display_url': 'bubblesdeux.com', 'indices': [0, 23]}]",[],False,1540,4351,58,Sun Jul 26 20:55:28 +0000 2009,11983,,,True,False,16278,,False,False,False,1C130E,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1213480744141705216/4o3HzEKK_normal.jpg,https://pbs.twimg.com/profile_images/1213480744141705216/4o3HzEKK_normal.jpg,https://pbs.twimg.com/profile_banners/60394435/1377736034,4F3F38,9DB98C,140E0A,838978,True,True,False,False,False,False,False,none,,,,,,,,,,,,Tue Jan 21 23:12:23 +0000 2020,1.2197596742932152e+18,1219759674293215234,"Talking to my apartment's security guard. Not born in the US, listening to the impeachment hearings all day. His bafflement at the disconnect between our democratic rhetoric (rhetoric that brought him to NY) and our practice is heartbreaking. @CityCollegeNY",False,"[0, 257]",[],[],"[{'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [243, 257]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,915673728.0,915673728,Vince Boudreau,Vgbcc1,"New York, NY","13th President of the @CityCollegeNY - one of the most diverse campuses in the US. Educator, political scientist and avid fly fisherman.",https://t.co/oVK1ras9De,"[{'url': 'https://t.co/oVK1ras9De', 'expanded_url': 'http://www.ccny.cuny.edu/', 'display_url': 'ccny.cuny.edu', 'indices': [0, 23]}]",[],False,1060.0,518.0,18.0,Tue Oct 30 23:04:13 +0000 2012,4865.0,,,True,False,2058.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/433943771340738560/14yIhk5F_normal.jpeg,https://pbs.twimg.com/profile_images/433943771340738560/14yIhk5F_normal.jpeg,https://pbs.twimg.com/profile_banners/915673728/1447280896,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,2.0,17.0,False,False,en
12,Wed Jan 22 01:27:02 +0000 2020,1219793563011166209,1219793563011166209,@CityCollegeNY should offer a course based off of one of the greatest shows ever; “The Wire”,False,"[0, 92]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,21900832.0,21900832,CityCollegeNY,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [0, 14]}]",[],en,recent,872226764688437248,872226764688437248,Jamar Brown,iamjdab,"New York, USA",City College #Anthropology major interested in researching how language is used to construct #race and how ideas of race influence #language and language use,https://t.co/NIDni6QnqZ,"[{'url': 'https://t.co/NIDni6QnqZ', 'expanded_url': 'https://youtu.be/Ivn02eP3BzY', 'display_url': 'youtu.be/Ivn02eP3BzY', 'indices': [0, 23]}]",[],False,36,355,0,Tue Jun 06 23:00:40 +0000 2017,702,,,False,False,392,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1067904985143357440/GoErXGaN_normal.jpg,https://pbs.twimg.com/profile_images/1067904985143357440/GoErXGaN_normal.jpg,https://pbs.twimg.com/profile_banners/872226764688437248/1574734455,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tue Jan 21 23:24:22 +0000 2020,1219762692686114817,1219762692686114817,"RT @Vgbcc1: Talking to my apartment's security guard. Not born in the US, listening to the impeachment hearings all day. His bafflement at…",False,"[0, 139]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'Vgbcc1', 'name': 'Vince Boudreau', 'id': 915673728, 'id_str': '915673728', 'indices': [3, 10]}]",[],en,recent,429393561,429393561,david s. meyer,davidsmeyer1,"Irvine, CA","sociology and political science at UC-Irvine. teach and write about social movements and, sometimes, engage in them. proselytize about swimming and writing.",https://t.co/waiZ7AfwTz,"[{'url': 'https://t.co/waiZ7AfwTz', 'expanded_url': 'http://politicsoutdoors.com', 'display_url': 'politicsoutdoors.com', 'indices': [0, 23]}]",[],False,1121,504,23,Mon Dec 05 22:38:06 +0000 2011,14761,,,True,False,7199,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1676060760/headshot.smaller_normal.JPG,https://pbs.twimg.com/profile_images/1676060760/headshot.smaller_normal.JPG,https://pbs.twimg.com/profile_banners/429393561/1441503919,FF691F,D3D2CF,E3E2DE,634047,False,False,False,False,False,False,False,none,,,,,,,,,,,,Tue Jan 21 23:12:23 +0000 2020,1.2197596742932152e+18,1219759674293215234,"Talking to my apartment's security guard. Not born in the US, listening to the impeachment hearings all day. His bafflement at the disconnect between our democratic rhetoric (rhetoric that brought him to NY) and our practice is heartbreaking. @CityCollegeNY",False,"[0, 257]",[],[],"[{'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [243, 257]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,915673728.0,915673728,Vince Boudreau,Vgbcc1,"New York, NY","13th President of the @CityCollegeNY - one of the most diverse campuses in the US. Educator, political scientist and avid fly fisherman.",https://t.co/oVK1ras9De,"[{'url': 'https://t.co/oVK1ras9De', 'expanded_url': 'http://www.ccny.cuny.edu/', 'display_url': 'ccny.cuny.edu', 'indices': [0, 23]}]",[],False,1060.0,518.0,18.0,Tue Oct 30 23:04:13 +0000 2012,4865.0,,,True,False,2058.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/433943771340738560/14yIhk5F_normal.jpeg,https://pbs.twimg.com/profile_images/433943771340738560/14yIhk5F_normal.jpeg,https://pbs.twimg.com/profile_banners/915673728/1447280896,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,2.0,17.0,False,False,en
14,Tue Jan 21 23:12:23 +0000 2020,1219759674293215234,1219759674293215234,"Talking to my apartment's security guard. Not born in the US, listening to the impeachment hearings all day. His bafflement at the disconnect between our democratic rhetoric (rhetoric that brought him to NY) and our practice is heartbreaking. @CityCollegeNY",False,"[0, 257]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,False,2,17,False,False,en,[],[],"[{'screen_name': 'CityCollegeNY', 'name': 'City College of NY', 'id': 21900832, 'id_str': '21900832', 'indices': [243, 257]}]",[],en,recent,915673728,915673728,Vince Boudreau,Vgbcc1,"New York, NY","13th President of the @CityCollegeNY - one of the most diverse campuses in the US. Educator, political scientist and avid fly fisherman.",https://t.co/oVK1ras9De,"[{'url': 'https://t.co/oVK1ras9De', 'expanded_url': 'http://www.ccny.cuny.edu/', 'display_url': 'ccny.cuny.edu', 'indices': [0, 23]}]",[],False,1060,518,18,Tue Oct 30 23:04:13 +0000 2012,4865,,,True,False,2058,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/433943771340738560/14yIhk5F_normal.jpeg,https://pbs.twimg.com/profile_images/433943771340738560/14yIhk5F_normal.jpeg,https://pbs.twimg.com/profile_banners/915673728/1447280896,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
