,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place
0,Sun Jan 26 05:33:59 +0000 2020,1221305260251049989,1221305260251049989,"@ausphysics @Ha_Tanya @ParappillyMaria @Flinders Congratulations on your recognition and outstanding contribution to Australian science. The #AustralianHonours are a great opportunity to recognise the achievements and contribution of #WomenInSTEM because #RecognitionMatters 
@honourawoman
#NominateHer",False,"[49, 302]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212389719019643e+18,1221238971901964289,467948161.0,467948161,ausphysics,,,,False,1,0,False,False,en,"[{'text': 'AustralianHonours', 'indices': [141, 159]}, {'text': 'WomenInSTEM', 'indices': [234, 246]}, {'text': 'RecognitionMatters', 'indices': [255, 274]}, {'text': 'NominateHer', 'indices': [290, 302]}]",[],"[{'screen_name': 'ausphysics', 'name': 'Aus Inst of Physics', 'id': 467948161, 'id_str': '467948161', 'indices': [0, 11]}, {'screen_name': 'Ha_Tanya', 'name': 'Tanya Ha', 'id': 374297940, 'id_str': '374297940', 'indices': [12, 21]}, {'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [22, 38]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [39, 48]}, {'screen_name': 'honourawoman', 'name': 'Honour A Woman', 'id': 1044467261950447616, 'id_str': '1044467261950447616', 'indices': [276, 289]}]",[],en,recent,56036655,56036655,Ruth McGowan,hula_grl,Gippsland Victoria Australia,"OAM. Tweet about politics, science, equality & agriculture. Proud CFA volunteer, co-founder #HonouraWoman. Author: #GetElected, Ally🌈",https://t.co/uYc51itC91,"[{'url': 'https://t.co/uYc51itC91', 'expanded_url': 'https://ruthmcgowan.com/book/', 'display_url': 'ruthmcgowan.com/book/', 'indices': [0, 23]}]",[],False,2088,3434,45,Sun Jul 12 06:39:02 +0000 2009,14371,,,True,False,3731,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1107871155329744897/PhBjOmCd_normal.png,https://pbs.twimg.com/profile_images/1107871155329744897/PhBjOmCd_normal.png,https://pbs.twimg.com/profile_banners/56036655/1552972002,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,0ec0c4fcacbd0083,https://api.twitter.com/1.1/geo/id/0ec0c4fcacbd0083.json,admin,Victoria,"Victoria, Australia",AU,Australia,[],Polygon,"[[[140.961681976682, -39.1591895298437], [149.976679007421, -39.1591895298437], [149.976679007421, -33.9804255797424], [140.961681976682, -33.9804255797424]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun Jan 26 02:04:02 +0000 2020,1221252426214166529,1221252426214166529,RT @CThillou: Congratulations @ParappillyMaria @flinders for being honoured with a Medal of the Order of Australia OAM ‘For service to scie…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [3, 12]}, {'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [30, 46]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [47, 56]}]",[],en,recent,22129782,22129782,Kylie Ahern,kylieahern,,Award-winning Science Publisher | CEO of @stem_matters | Co-founder of @cosmosmagazine | Board member @RoboticVisionAU,https://t.co/kYmZ0sShFN,"[{'url': 'https://t.co/kYmZ0sShFN', 'expanded_url': 'http://stemmatters.com.au', 'display_url': 'stemmatters.com.au', 'indices': [0, 23]}]",[],False,2861,2314,91,Fri Feb 27 11:17:14 +0000 2009,8991,,,True,False,4394,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/650083679528599552/PvSgvbN-_normal.jpg,https://pbs.twimg.com/profile_images/650083679528599552/PvSgvbN-_normal.jpg,https://pbs.twimg.com/profile_banners/22129782/1458982914,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,Sat Jan 25 22:16:36 +0000 2020,1.2211951903978537e+18,1221195190397853696,"Congratulations @ParappillyMaria @flinders for being honoured with a Medal of the Order of Australia OAM ‘For service to science education, and to women’ @FlindersSTEM",False,"[0, 167]",[],[],"[{'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [16, 32]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [33, 42]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [154, 167]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2308269788.0,2308269788,Callista Thillou,CThillou,"Adelaide, South Australia","Executive Director, Communication, Marketing and Engagement, Flinders University. Deputy Chair, Engagement Australia. Views my own.",https://t.co/RfsEr4sqJI,"[{'url': 'https://t.co/RfsEr4sqJI', 'expanded_url': 'http://www.flinders.edu.au', 'display_url': 'flinders.edu.au', 'indices': [0, 23]}]",[],False,702.0,1580.0,6.0,Fri Jan 24 12:21:37 +0000 2014,412.0,,,True,False,224.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1064816034702446593/H8K7D-xe_normal.jpg,https://pbs.twimg.com/profile_images/1064816034702446593/H8K7D-xe_normal.jpg,https://pbs.twimg.com/profile_banners/2308269788/1542706931,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,01e8a1a140ccdc5c,https://api.twitter.com/1.1/geo/id/01e8a1a140ccdc5c.json,city,Adelaide,"Adelaide, South Australia",AU,Australia,[],Polygon,"[[[138.44212992, -35.348970061], [138.780189824, -35.348970061], [138.780189824, -34.652564053], [138.44212992, -34.652564053]]]",,False,3.0,16.0,False,False,en,
2,Sun Jan 26 01:10:03 +0000 2020,1221238839252897792,1221238839252897792,@catachretical @CThillou @Flinders @FlindersSTEM Thank you very much Rob!,False,"[49, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212090029751583e+18,1221209002975158274,2352700740.0,2352700740,catachretical,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'catachretical', 'name': ""Rob O'Connor is brought to you by the letter ð"", 'id': 2352700740, 'id_str': '2352700740', 'indices': [0, 14]}, {'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [15, 24]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [25, 34]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [35, 48]}]",[],en,recent,3834951673,3834951673,A/Prof Maria Parappilly,ParappillyMaria,"Adelaide, South Australia",Fellow:@ausphysics; Theor. Physicist; Educator; Founder: @FlindersSTEM; @theTiser Woman of the Year @coriole #top Innovator; 2015 SA #STEM #Educator of the Year,https://t.co/NqXdDCFRWW,"[{'url': 'https://t.co/NqXdDCFRWW', 'expanded_url': 'http://www.flinders.edu.au/people/maria.parappilly', 'display_url': 'flinders.edu.au/people/maria.p…', 'indices': [0, 23]}]",[],False,602,343,28,Fri Oct 09 09:25:28 +0000 2015,2174,,,True,False,1152,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_banners/3834951673/1487894213,FFCC4D,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun Jan 26 01:07:15 +0000 2020,1221238134853079040,1221238134853079040,@dr_opatel @CThillou @Flinders @FlindersSTEM Thank you very much Onisha!!,False,"[45, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212079078841016e+18,1221207907884101632,8.966253303365714e+17,896625330336571392,dr_opatel,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'dr_opatel', 'name': 'Dr Onisha Patel', 'id': 896625330336571392, 'id_str': '896625330336571392', 'indices': [0, 10]}, {'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [11, 20]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [21, 30]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [31, 44]}]",[],en,recent,3834951673,3834951673,A/Prof Maria Parappilly,ParappillyMaria,"Adelaide, South Australia",Fellow:@ausphysics; Theor. Physicist; Educator; Founder: @FlindersSTEM; @theTiser Woman of the Year @coriole #top Innovator; 2015 SA #STEM #Educator of the Year,https://t.co/NqXdDCFRWW,"[{'url': 'https://t.co/NqXdDCFRWW', 'expanded_url': 'http://www.flinders.edu.au/people/maria.parappilly', 'display_url': 'flinders.edu.au/people/maria.p…', 'indices': [0, 23]}]",[],False,602,343,28,Fri Oct 09 09:25:28 +0000 2015,2174,,,True,False,1152,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_banners/3834951673/1487894213,FFCC4D,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sun Jan 26 00:52:45 +0000 2020,1221234486970482689,1221234486970482689,@DavidHobbs08 @CThillou @Flinders @FlindersSTEM Thank you very much David!,False,"[48, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212217364163338e+18,1221221736416333825,3279471972.0,3279471972,DavidHobbs08,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DavidHobbs08', 'name': 'David Hobbs', 'id': 3279471972, 'id_str': '3279471972', 'indices': [0, 13]}, {'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [14, 23]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [24, 33]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [34, 47]}]",[],en,recent,3834951673,3834951673,A/Prof Maria Parappilly,ParappillyMaria,"Adelaide, South Australia",Fellow:@ausphysics; Theor. Physicist; Educator; Founder: @FlindersSTEM; @theTiser Woman of the Year @coriole #top Innovator; 2015 SA #STEM #Educator of the Year,https://t.co/NqXdDCFRWW,"[{'url': 'https://t.co/NqXdDCFRWW', 'expanded_url': 'http://www.flinders.edu.au/people/maria.parappilly', 'display_url': 'flinders.edu.au/people/maria.p…', 'indices': [0, 23]}]",[],False,602,343,28,Fri Oct 09 09:25:28 +0000 2015,2174,,,True,False,1152,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_banners/3834951673/1487894213,FFCC4D,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sun Jan 26 00:02:05 +0000 2020,1221221736416333825,1221221736416333825,@ParappillyMaria @CThillou @Flinders @FlindersSTEM #Congratulations Maria!,False,"[51, 74]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212030767085855e+18,1221203076708585472,3834951673.0,3834951673,ParappillyMaria,,,,False,0,1,False,False,en,"[{'text': 'Congratulations', 'indices': [51, 67]}]",[],"[{'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [0, 16]}, {'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [17, 26]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [27, 36]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [37, 50]}]",[],en,recent,3279471972,3279471972,David Hobbs,DavidHobbs08,"Adelaide, South Australia","Senior Lecturer, Biomedical & Rehab Engineer @flindersmdri @Flinders, Fulbrighter, Churchill Fellow, @TEDx speaker, Dad, STEM, tweets own. Loves Lego, #PhD",https://t.co/OuT07QAUGv,"[{'url': 'https://t.co/OuT07QAUGv', 'expanded_url': 'http://www.flinders.edu.au/people/David.Hobbs', 'display_url': 'flinders.edu.au/people/David.H…', 'indices': [0, 23]}]",[],False,1909,3672,48,Tue Jul 14 11:52:47 +0000 2015,31254,,,False,False,2856,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/858929890824929280/EWZu50vG_normal.jpg,https://pbs.twimg.com/profile_images/858929890824929280/EWZu50vG_normal.jpg,,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 22:48:46 +0000 2020,1221203283928182789,1221203283928182789,RT @CThillou: Congratulations @ParappillyMaria @flinders for being honoured with a Medal of the Order of Australia OAM ‘For service to scie…,False,"[0, 140]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [3, 12]}, {'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [30, 46]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [47, 56]}]",[],en,recent,3834951673,3834951673,A/Prof Maria Parappilly,ParappillyMaria,"Adelaide, South Australia",Fellow:@ausphysics; Theor. Physicist; Educator; Founder: @FlindersSTEM; @theTiser Woman of the Year @coriole #top Innovator; 2015 SA #STEM #Educator of the Year,https://t.co/NqXdDCFRWW,"[{'url': 'https://t.co/NqXdDCFRWW', 'expanded_url': 'http://www.flinders.edu.au/people/maria.parappilly', 'display_url': 'flinders.edu.au/people/maria.p…', 'indices': [0, 23]}]",[],False,602,343,28,Fri Oct 09 09:25:28 +0000 2015,2174,,,True,False,1152,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_banners/3834951673/1487894213,FFCC4D,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,Sat Jan 25 22:16:36 +0000 2020,1.2211951903978537e+18,1221195190397853696,"Congratulations @ParappillyMaria @flinders for being honoured with a Medal of the Order of Australia OAM ‘For service to science education, and to women’ @FlindersSTEM",False,"[0, 167]",[],[],"[{'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [16, 32]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [33, 42]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [154, 167]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2308269788.0,2308269788,Callista Thillou,CThillou,"Adelaide, South Australia","Executive Director, Communication, Marketing and Engagement, Flinders University. Deputy Chair, Engagement Australia. Views my own.",https://t.co/RfsEr4sqJI,"[{'url': 'https://t.co/RfsEr4sqJI', 'expanded_url': 'http://www.flinders.edu.au', 'display_url': 'flinders.edu.au', 'indices': [0, 23]}]",[],False,702.0,1580.0,6.0,Fri Jan 24 12:21:37 +0000 2014,412.0,,,True,False,224.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1064816034702446593/H8K7D-xe_normal.jpg,https://pbs.twimg.com/profile_images/1064816034702446593/H8K7D-xe_normal.jpg,https://pbs.twimg.com/profile_banners/2308269788/1542706931,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,01e8a1a140ccdc5c,https://api.twitter.com/1.1/geo/id/01e8a1a140ccdc5c.json,city,Adelaide,"Adelaide, South Australia",AU,Australia,[],Polygon,"[[[138.44212992, -35.348970061], [138.780189824, -35.348970061], [138.780189824, -34.652564053], [138.44212992, -34.652564053]]]",,False,3.0,16.0,False,False,en,
10,Sat Jan 25 22:47:57 +0000 2020,1221203076708585472,1221203076708585472,@CThillou @Flinders @FlindersSTEM Thank you very much Callista!,False,"[34, 63]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2211951903978537e+18,1221195190397853696,2308269788.0,2308269788,CThillou,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'CThillou', 'name': 'Callista Thillou', 'id': 2308269788, 'id_str': '2308269788', 'indices': [0, 9]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [10, 19]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [20, 33]}]",[],en,recent,3834951673,3834951673,A/Prof Maria Parappilly,ParappillyMaria,"Adelaide, South Australia",Fellow:@ausphysics; Theor. Physicist; Educator; Founder: @FlindersSTEM; @theTiser Woman of the Year @coriole #top Innovator; 2015 SA #STEM #Educator of the Year,https://t.co/NqXdDCFRWW,"[{'url': 'https://t.co/NqXdDCFRWW', 'expanded_url': 'http://www.flinders.edu.au/people/maria.parappilly', 'display_url': 'flinders.edu.au/people/maria.p…', 'indices': [0, 23]}]",[],False,602,343,28,Fri Oct 09 09:25:28 +0000 2015,2174,,,True,False,1152,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_images/656650546326040576/853E4mP0_normal.jpg,https://pbs.twimg.com/profile_banners/3834951673/1487894213,FFCC4D,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 22:16:36 +0000 2020,1221195190397853696,1221195190397853696,"Congratulations @ParappillyMaria @flinders for being honoured with a Medal of the Order of Australia OAM ‘For service to science education, and to women’ @FlindersSTEM",False,"[0, 167]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,3,16,False,False,en,[],[],"[{'screen_name': 'ParappillyMaria', 'name': 'A/Prof Maria Parappilly', 'id': 3834951673, 'id_str': '3834951673', 'indices': [16, 32]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [33, 42]}, {'screen_name': 'FlindersSTEM', 'name': 'Flinders University STEM Women', 'id': 765325780020670464, 'id_str': '765325780020670464', 'indices': [154, 167]}]",[],en,recent,2308269788,2308269788,Callista Thillou,CThillou,"Adelaide, South Australia","Executive Director, Communication, Marketing and Engagement, Flinders University. Deputy Chair, Engagement Australia. Views my own.",https://t.co/RfsEr4sqJI,"[{'url': 'https://t.co/RfsEr4sqJI', 'expanded_url': 'http://www.flinders.edu.au', 'display_url': 'flinders.edu.au', 'indices': [0, 23]}]",[],False,702,1580,6,Fri Jan 24 12:21:37 +0000 2014,412,,,True,False,224,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1064816034702446593/H8K7D-xe_normal.jpg,https://pbs.twimg.com/profile_images/1064816034702446593/H8K7D-xe_normal.jpg,https://pbs.twimg.com/profile_banners/2308269788/1542706931,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,01e8a1a140ccdc5c,https://api.twitter.com/1.1/geo/id/01e8a1a140ccdc5c.json,city,Adelaide,"Adelaide, South Australia",AU,Australia,[],Polygon,"[[[138.44212992, -35.348970061], [138.780189824, -35.348970061], [138.780189824, -34.652564053], [138.44212992, -34.652564053]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 08:35:39 +0000 2020,1220626204631240705,1220626204631240705,"@sil_aarts That's a good feeling, I did the same here at @Flinders and @FlindersCSE! One year a student, a few years in between, next time you're out the front teaching!! Enjoy!",False,"[11, 177]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220621972184404e+18,1220621972184403968,7.380098265723044e+17,738009826572304385,sil_aarts,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'sil_aarts', 'name': 'Sil Aarts', 'id': 738009826572304385, 'id_str': '738009826572304385', 'indices': [0, 10]}, {'screen_name': 'Flinders', 'name': 'Flinders University', 'id': 15996963, 'id_str': '15996963', 'indices': [57, 66]}, {'screen_name': 'FlindersCSE', 'name': 'Flinders Sc & Eng', 'id': 567742148, 'id_str': '567742148', 'indices': [71, 83]}]",[],en,recent,3279471972,3279471972,David Hobbs,DavidHobbs08,"Adelaide, South Australia","Senior Lecturer, Biomedical & Rehab Engineer @flindersmdri @Flinders, Fulbrighter, Churchill Fellow, @TEDx speaker, Dad, STEM, tweets own. Loves Lego, #PhD",https://t.co/OuT07QAUGv,"[{'url': 'https://t.co/OuT07QAUGv', 'expanded_url': 'http://www.flinders.edu.au/people/David.Hobbs', 'display_url': 'flinders.edu.au/people/David.H…', 'indices': [0, 23]}]",[],False,1909,3672,48,Tue Jul 14 11:52:47 +0000 2015,31254,,,False,False,2856,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/858929890824929280/EWZu50vG_normal.jpg,https://pbs.twimg.com/profile_images/858929890824929280/EWZu50vG_normal.jpg,,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
