,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
9,Sat Jan 25 03:06:28 +0000 2020,1220905750614155265,1220905750614155265,RT @GeorgiaStateU: Funds will be available in 1 to 3 days depending on your bank.,False,"[0, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [3, 17]}]",[],en,recent,1113236248355835904,1113236248355835904,Abazar Naqvi,a_ali_72,"Atlanta, GA",NY ✈️ ATL |Embracing myself every minute| Computer Science | يا حسين 🥀,,[],False,239,247,0,Wed Apr 03 00:26:19 +0000 2019,4091,,,False,False,1202,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1190037995677716481/ywYG3yxI_normal.jpg,https://pbs.twimg.com/profile_images/1190037995677716481/ywYG3yxI_normal.jpg,https://pbs.twimg.com/profile_banners/1113236248355835904/1559973570,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,Fri Jan 24 17:07:48 +0000 2020,1.220755090899964e+18,1220755090899963905,Funds will be available in 1 to 3 days depending on your bank.,False,"[0, 62]",[],[],[],[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207534439310008e+18,1220753443931000832,26524127.0,26524127,GeorgiaStateU,26524127.0,26524127,Georgia State University,GeorgiaStateU,"Atlanta, GA",This is the official twitter account for Georgia State University. Follow us for the latest news and information about #TheStateWay. Go Panthers!🐾#GeorgiaState,https://t.co/WnDkWbZxI9,"[{'url': 'https://t.co/WnDkWbZxI9', 'expanded_url': 'http://gsu.edu', 'display_url': 'gsu.edu', 'indices': [0, 23]}]",[],False,42630.0,549.0,413.0,Wed Mar 25 15:56:00 +0000 2009,6178.0,,,True,True,17786.0,,False,False,False,3671BD,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1153730439066116096/alSYR4EG_normal.jpg,https://pbs.twimg.com/profile_images/1153730439066116096/alSYR4EG_normal.jpg,https://pbs.twimg.com/profile_banners/26524127/1541166571,315AAD,ADC4E4,D6E3F6,333333,True,False,False,False,False,False,False,none,,,,,False,4.0,14.0,False,False,en,,,,,,,,,,
21,Fri Jan 24 19:33:23 +0000 2020,1220791725775560704,1220791725775560704,"Congratulations to @TyroneMcDuffie4 for receiving his White Coat today! Next up, level 2 field work! #OccupationalTherapy #Classof2020 @GeorgiaStateU",False,"[0, 149]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'OccupationalTherapy', 'indices': [101, 121]}, {'text': 'Classof2020', 'indices': [122, 134]}]",[],"[{'screen_name': 'TyroneMcDuffie4', 'name': 'Tyrone J. McDuffie, OTS', 'id': 1081702551010054144, 'id_str': '1081702551010054144', 'indices': [19, 35]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [135, 149]}]",[],en,recent,818877904104865792,818877904104865792,Kysa Huddleston,KysaHuddleston,"Twin Cities, MN",JD candidate at @MitchellHamline. Proud @GeorgiaStateU Alum.,,[],False,52,125,0,Tue Jan 10 17:51:21 +0000 2017,110,,,False,False,137,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1198834404401074176/z3nOUy1d_normal.jpg,https://pbs.twimg.com/profile_images/1198834404401074176/z3nOUy1d_normal.jpg,https://pbs.twimg.com/profile_banners/818877904104865792/1496864278,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fri Jan 24 17:06:13 +0000 2020,1220754691220480006,1220754691220480006,"@GeorgiaStateU There is some miscommunication going on. I was just told on the phone that refunds won't process until the 3rd week. And when I told her that the website said that refunds were supposed to process on the 24th, she sounded surprised.",False,"[15, 247]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207537684232724e+18,1220753768423272449,26524127.0,26524127,GeorgiaStateU,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [0, 14]}]",[],en,recent,284845368,284845368,k to the 2nd letter,kaytbax,Atlanta,double gator. gsu phd student. urban leaders fellow. womanist. infj.,https://t.co/bhrKbCuQCt,[],False,604,928,3,Wed Apr 20 02:22:24 +0000 2011,5215,,,True,False,15526,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1027595484876234755/UByoJQPJ_normal.jpg,https://pbs.twimg.com/profile_images/1027595484876234755/UByoJQPJ_normal.jpg,https://pbs.twimg.com/profile_banners/284845368/1533832829,69D3DB,FFFFFF,7AC3EE,3D1957,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/bhrKbCuQCt', 'expanded_url': 'http://theblkintrovert.wordpress.com', 'display_url': 'theblkintrovert.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Fri Jan 24 17:06:11 +0000 2020,1220754682475356167,1220754682475356167,"RT @GeorgiaStateU: Panthers, here's an update on refunds. Refunds are scheduled to be processed today by close of business. Please monitor…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,30,0,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [3, 17]}]",[],en,recent,393084763,393084763,Tony Torres,TemporarySpasti,"Atlanta, GA",Atlanta United & Georgia State University,https://t.co/6yLJjNF5KV,[],False,334,544,1,Tue Oct 18 00:36:32 +0000 2011,3408,,,True,False,28980,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1166823543897636864/cvz6No45_normal.jpg,https://pbs.twimg.com/profile_images/1166823543897636864/cvz6No45_normal.jpg,https://pbs.twimg.com/profile_banners/393084763/1570377666,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/6yLJjNF5KV', 'expanded_url': 'https://vsco.co/santi-torres', 'display_url': 'vsco.co/santi-torres', 'indices': [0, 23]}]",,,,,,,,,,,Fri Jan 24 17:01:16 +0000 2020,1.2207534439310008e+18,1220753443931000832,"Panthers, here's an update on refunds. Refunds are scheduled to be processed today by close of business. Please monitor your student email for a notification from Bank Mobile.",False,"[0, 175]",[],[],[],[],en,recent,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,26524127.0,26524127,Georgia State University,GeorgiaStateU,"Atlanta, GA",This is the official twitter account for Georgia State University. Follow us for the latest news and information about #TheStateWay. Go Panthers!🐾#GeorgiaState,https://t.co/WnDkWbZxI9,"[{'url': 'https://t.co/WnDkWbZxI9', 'expanded_url': 'http://gsu.edu', 'display_url': 'gsu.edu', 'indices': [0, 23]}]",[],False,42630.0,549.0,413.0,Wed Mar 25 15:56:00 +0000 2009,6178.0,,,True,True,17786.0,,False,False,False,3671BD,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1153730439066116096/alSYR4EG_normal.jpg,https://pbs.twimg.com/profile_images/1153730439066116096/alSYR4EG_normal.jpg,https://pbs.twimg.com/profile_banners/26524127/1541166571,315AAD,ADC4E4,D6E3F6,333333,True,False,False,False,False,False,False,none,,,,,False,30.0,113.0,False,False,en,,,,,,,,,,
57,Fri Jan 24 17:05:06 +0000 2020,1220754410999074817,1220754410999074817,"RT @GeorgiaStateU: Panthers, here's an update on refunds. Refunds are scheduled to be processed today by close of business. Please monitor…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,30,0,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [3, 17]}]",[],en,recent,265106246,265106246,🥂,miaabia_,we$tside,georgiastateuniversity✨,,[],False,2468,1833,20,Sun Mar 13 01:25:15 +0000 2011,6463,,,True,False,77791,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1219449963308113920/A_Jpqgt-_normal.jpg,https://pbs.twimg.com/profile_images/1219449963308113920/A_Jpqgt-_normal.jpg,https://pbs.twimg.com/profile_banners/265106246/1562388206,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,Fri Jan 24 17:01:16 +0000 2020,1.2207534439310008e+18,1220753443931000832,"Panthers, here's an update on refunds. Refunds are scheduled to be processed today by close of business. Please monitor your student email for a notification from Bank Mobile.",False,"[0, 175]",[],[],[],[],en,recent,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,26524127.0,26524127,Georgia State University,GeorgiaStateU,"Atlanta, GA",This is the official twitter account for Georgia State University. Follow us for the latest news and information about #TheStateWay. Go Panthers!🐾#GeorgiaState,https://t.co/WnDkWbZxI9,"[{'url': 'https://t.co/WnDkWbZxI9', 'expanded_url': 'http://gsu.edu', 'display_url': 'gsu.edu', 'indices': [0, 23]}]",[],False,42630.0,549.0,413.0,Wed Mar 25 15:56:00 +0000 2009,6178.0,,,True,True,17786.0,,False,False,False,3671BD,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1153730439066116096/alSYR4EG_normal.jpg,https://pbs.twimg.com/profile_images/1153730439066116096/alSYR4EG_normal.jpg,https://pbs.twimg.com/profile_banners/26524127/1541166571,315AAD,ADC4E4,D6E3F6,333333,True,False,False,False,False,False,False,none,,,,,False,30.0,113.0,False,False,en,,,,,,,,,,
60,Fri Jan 24 16:48:40 +0000 2020,1220750274727301121,1220750274727301121,"RT @LianaSEHone: @Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David Di…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'LianaSEHone', 'name': 'Liana Hone', 'id': 1355703662, 'id_str': '1355703662', 'indices': [3, 15]}, {'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [17, 31]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [32, 39]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [74, 83]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [120, 130]}]",[],en,recent,2945536038,2945536038,Sonalee Joshi,sonalee_joshi,,"M.S., Doctoral Candidate, Clinical Science @umich
Indian American Photographer & Artist. (She/her)",,[],False,189,207,3,Sat Dec 27 23:38:10 +0000 2014,16443,,,True,False,2749,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1125176690827776001/mumUes-Z_normal.jpg,https://pbs.twimg.com/profile_images/1125176690827776001/mumUes-Z_normal.jpg,https://pbs.twimg.com/profile_banners/2945536038/1550523023,FFCC4D,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,Fri Jan 24 16:17:01 +0000 2020,1.2207423076847657e+18,1220742307684765697,"@Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David DiLillo Sarah Gervais
@ASU  Kelly Cue Davis Will Corbin
@UNM Elizabeth Yeater
@uiowa Teresa Treat
@GeorgiaStateU Dominic Parrott
@BrownUniversity Lindsay Orchowski",False,"[23, 283]",[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [57, 66]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [103, 113]}, {'screen_name': 'ASU', 'name': 'Arizona State University', 'id': 18783501, 'id_str': '18783501', 'indices': [142, 146]}, {'screen_name': 'UNM', 'name': 'Univ. of New Mexico', 'id': 17358507, 'id_str': '17358507', 'indices': [176, 180]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [198, 204]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [218, 232]}, {'screen_name': 'BrownUniversity', 'name': 'Brown University', 'id': 14884486, 'id_str': '14884486', 'indices': [249, 265]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,1355703662.0,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]",[],False,253.0,485.0,2.0,Tue Apr 16 00:48:18 +0000 2013,1400.0,,,True,False,381.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_banners/1355703662/1565655325,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,1.0,4.0,False,False,en,,,,,,,,,,
61,Fri Jan 24 16:29:27 +0000 2020,1220745439559004160,1220745439559004160,@GeorgiaStateU what time should we expect refunds to process?,False,"[0, 61]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,26524127.0,26524127,GeorgiaStateU,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [0, 14]}]",[],en,recent,284845368,284845368,k to the 2nd letter,kaytbax,Atlanta,double gator. gsu phd student. urban leaders fellow. womanist. infj.,https://t.co/bhrKbCuQCt,[],False,604,928,3,Wed Apr 20 02:22:24 +0000 2011,5215,,,True,False,15526,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1027595484876234755/UByoJQPJ_normal.jpg,https://pbs.twimg.com/profile_images/1027595484876234755/UByoJQPJ_normal.jpg,https://pbs.twimg.com/profile_banners/284845368/1533832829,69D3DB,FFFFFF,7AC3EE,3D1957,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/bhrKbCuQCt', 'expanded_url': 'http://theblkintrovert.wordpress.com', 'display_url': 'theblkintrovert.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Fri Jan 24 16:17:01 +0000 2020,1220742307684765697,1220742307684765697,"@Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David DiLillo Sarah Gervais
@ASU  Kelly Cue Davis Will Corbin
@UNM Elizabeth Yeater
@uiowa Teresa Treat
@GeorgiaStateU Dominic Parrott
@BrownUniversity Lindsay Orchowski",False,"[23, 283]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,,,,,False,1,4,False,False,en,[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [57, 66]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [103, 113]}, {'screen_name': 'ASU', 'name': 'Arizona State University', 'id': 18783501, 'id_str': '18783501', 'indices': [142, 146]}, {'screen_name': 'UNM', 'name': 'Univ. of New Mexico', 'id': 17358507, 'id_str': '17358507', 'indices': [176, 180]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [198, 204]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [218, 232]}, {'screen_name': 'BrownUniversity', 'name': 'Brown University', 'id': 14884486, 'id_str': '14884486', 'indices': [249, 265]}]",[],en,recent,1355703662,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,[],False,253,485,2,Tue Apr 16 00:48:18 +0000 2013,1400,,,True,False,381,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_banners/1355703662/1565655325,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Thu Jan 23 20:38:25 +0000 2020,1220445703241113601,1220445703241113601,@GeorgiaStateU when will the graduate programs graduation dates be released?,False,"[0, 76]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,26524127.0,26524127,GeorgiaStateU,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [0, 14]}]",[],en,recent,3305468080,3305468080,Keyon C.,DreamBigg14,"Atlanta, GA","Savannah State Alumnus 👨🏾‍🎓 | Georgia State, MS ⏳| RIP Granny 🖤",,[],False,681,1112,1,Mon Jun 01 08:22:45 +0000 2015,1358,,,False,False,4117,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211978022015979520/pM3vptsk_normal.jpg,https://pbs.twimg.com/profile_images/1211978022015979520/pM3vptsk_normal.jpg,https://pbs.twimg.com/profile_banners/3305468080/1527863510,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Thu Jan 23 15:08:13 +0000 2020,1220362608735391744,1220362608735391744,"Learning first hand how bureaucratic BS can easily drive potential students away from a university.

Not sure I'll be pursuing that PhD at @GeorgiaStateU after all.",False,"[0, 164]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [139, 153]}]",[],en,recent,262422224,262422224,angela,LibrarianAngie,"Atlanta, GA",I do my best to teach college students to question authority & critically evaluate their sources of information.,https://t.co/8kVdX9ftnJ,[],False,1504,444,114,Tue Mar 08 00:59:19 +0000 2011,8917,,,False,False,35288,,False,False,False,3F9E7E,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1195521541334872064/viIymbDg_normal.jpg,https://pbs.twimg.com/profile_images/1195521541334872064/viIymbDg_normal.jpg,https://pbs.twimg.com/profile_banners/262422224/1489443535,088253,FFFFFF,DAECF4,663B12,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/8kVdX9ftnJ', 'expanded_url': 'https://www.alastore.ala.org/content/critical-approaches-credit-bearing-information-literacy-courses', 'display_url': 'alastore.ala.org/content/critic…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
