,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place
8,Fri Jan 24 21:45:44 +0000 2020,1220825033322328064,1220825033322328064,RT @wickedhp: @AESHM_ISU @brittanyallentx @IowaStateU @ProjectRunway @BravoTV She definitely deserved that win. Also the skirt she made for…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'wickedhp', 'name': 'Meghan Moran', 'id': 729704710723260420, 'id_str': '729704710723260420', 'indices': [3, 12]}, {'screen_name': 'AESHM_ISU', 'name': 'Apparel, Events, and Hospitality Mgmt - Iowa State', 'id': 769189108082061312, 'id_str': '769189108082061312', 'indices': [14, 24]}, {'screen_name': 'brittanyallentx', 'name': 'Brittany Allen', 'id': 37796196, 'id_str': '37796196', 'indices': [25, 41]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [42, 53]}, {'screen_name': 'ProjectRunway', 'name': 'Project Runway', 'id': 44364694, 'id_str': '44364694', 'indices': [54, 68]}, {'screen_name': 'BravoTV', 'name': 'Bravo', 'id': 15169907, 'id_str': '15169907', 'indices': [69, 77]}]",[],en,recent,769189108082061312,769189108082061312,"Apparel, Events, and Hospitality Mgmt - Iowa State",AESHM_ISU,"Ames, IA","Apparel, Events, and Hospitality Management (AESHM) is composed of three majors: Apparel, Merchandising, & Design; Event Management; and Hospitality Management.",https://t.co/etAgVWIfww,[],False,244,834,1,Fri Aug 26 15:05:49 +0000 2016,2362,,,False,False,1693,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1212803065440612352/3xuxOexi_normal.jpg,https://pbs.twimg.com/profile_images/1212803065440612352/3xuxOexi_normal.jpg,https://pbs.twimg.com/profile_banners/769189108082061312/1554140571,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/etAgVWIfww', 'expanded_url': 'https://www.aeshm.hs.iastate.edu/', 'display_url': 'aeshm.hs.iastate.edu', 'indices': [0, 23]}]",,,,,,,,,,,Fri Jan 24 19:39:12 +0000 2020,1.2207931894576333e+18,1220793189457633284,@AESHM_ISU @brittanyallentx @IowaStateU @ProjectRunway @BravoTV She definitely deserved that win. Also the skirt she made for the runway for herself to wear? Ummm I’d like one too.,False,"[64, 180]",[],[],"[{'screen_name': 'AESHM_ISU', 'name': 'Apparel, Events, and Hospitality Mgmt - Iowa State', 'id': 769189108082061312, 'id_str': '769189108082061312', 'indices': [0, 10]}, {'screen_name': 'brittanyallentx', 'name': 'Brittany Allen', 'id': 37796196, 'id_str': '37796196', 'indices': [11, 27]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [28, 39]}, {'screen_name': 'ProjectRunway', 'name': 'Project Runway', 'id': 44364694, 'id_str': '44364694', 'indices': [40, 54]}, {'screen_name': 'BravoTV', 'name': 'Bravo', 'id': 15169907, 'id_str': '15169907', 'indices': [55, 63]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207830528146104e+18,1220783052814610433,7.691891080820613e+17,769189108082061312,AESHM_ISU,7.297047107232604e+17,729704710723260420,Meghan Moran,wickedhp,"Houston, TX",I am brave. I am bruised. I am who I’m met to be. Elementary school dance teacher prek grades prek-5.,,,[],False,110.0,441.0,1.0,Mon May 09 16:08:55 +0000 2016,555.0,,,False,False,1145.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1089717995033845765/LVAj8cWD_normal.jpg,https://pbs.twimg.com/profile_images/1089717995033845765/LVAj8cWD_normal.jpg,https://pbs.twimg.com/profile_banners/729704710723260420/1548644054,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,False,1.0,2.0,False,False,en,
9,Fri Jan 24 20:08:25 +0000 2020,1220800541938343937,1220800541938343937,@JakeDaveWebster @TrackerDebate @IowaStateU @Civiqs Thursday!,False,"[52, 61]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207979680198615e+18,1220797968019861506,275276053.0,275276053,JakeDaveWebster,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'JakeDaveWebster', 'name': 'Jake Webster', 'id': 275276053, 'id_str': '275276053', 'indices': [0, 16]}, {'screen_name': 'TrackerDebate', 'name': 'The Debate Tracker', 'id': 1135270672735903746, 'id_str': '1135270672735903746', 'indices': [17, 31]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [32, 43]}, {'screen_name': 'Civiqs', 'name': 'Civiqs', 'id': 1452644936, 'id_str': '1452644936', 'indices': [44, 51]}]",[],en,recent,61603,61603,dave,daveamp,,"Political Scientist. Minnesotan/Iowan.

""Your event live tweeting and selfie skills are the best in Iowa!"" - Representative Tim Ryan",,[],False,1363,1070,26,Tue Dec 12 20:20:41 +0000 2006,11808,,,True,False,5815,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/891743654791880705/yRWJmmvX_normal.jpg,https://pbs.twimg.com/profile_images/891743654791880705/yRWJmmvX_normal.jpg,,0000FF,87BC44,E0FF92,000000,True,False,False,False,False,False,False,none,,a2b439a23220cb96,https://api.twitter.com/1.1/geo/id/a2b439a23220cb96.json,city,Mankato,"Mankato, MN",US,United States,[],Polygon,"[[[-94.06457, 44.119612], [-93.9339988, 44.119612], [-93.9339988, 44.2106683], [-94.06457, 44.2106683]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 06:27:30 +0000 2020,1220593953009033216,1220593953009033216,@CoreyWelch_STEM @IowaStateU @ISU_MSA Inspiring night!,False,"[38, 54]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220573270103249e+18,1220573270103248901,1915514191.0,1915514191,CoreyWelch_STEM,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CoreyWelch_STEM', 'name': 'Corey Welch', 'id': 1915514191, 'id_str': '1915514191', 'indices': [0, 16]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [17, 28]}, {'screen_name': 'ISU_MSA', 'name': 'Iowa State MSA', 'id': 551100919, 'id_str': '551100919', 'indices': [29, 37]}]",[],en,recent,2356860343,2356860343,Crystal Loving,cloving27,"Iowa, USA","Scrappy, independent, mama to two mini-awesomes, scientist, advocacy. IMO expressed. she/her",,[],False,95,423,1,Sat Feb 22 20:01:31 +0000 2014,1521,,,False,False,319,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1215481068893147136/Jalchh1a_normal.jpg,https://pbs.twimg.com/profile_images/1215481068893147136/Jalchh1a_normal.jpg,https://pbs.twimg.com/profile_banners/2356860343/1578628245,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 06:08:43 +0000 2020,1220589223725666304,1220589223725666304,"@AntiracismCtr @DrIbram thanks for enlightening lecture @IowaStateU. Appreciate your clarity in definitions to get out of denial, and openness sharing your story.",False,"[0, 162]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,8.627126034071552e+17,862712603407155201,AntiracismCtr,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AntiracismCtr', 'name': 'Antiracism Center', 'id': 862712603407155201, 'id_str': '862712603407155201', 'indices': [0, 14]}, {'screen_name': 'DrIbram', 'name': 'Ibram X. Kendi', 'id': 474154291, 'id_str': '474154291', 'indices': [15, 23]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [56, 67]}]",[],en,recent,2356860343,2356860343,Crystal Loving,cloving27,"Iowa, USA","Scrappy, independent, mama to two mini-awesomes, scientist, advocacy. IMO expressed. she/her",,[],False,95,423,1,Sat Feb 22 20:01:31 +0000 2014,1521,,,False,False,319,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1215481068893147136/Jalchh1a_normal.jpg,https://pbs.twimg.com/profile_images/1215481068893147136/Jalchh1a_normal.jpg,https://pbs.twimg.com/profile_banners/2356860343/1578628245,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 05:06:49 +0000 2020,1220573648890654720,1220573648890654720,@CoreyWelch_STEM @IowaStateU @ISU_MSA Congratulations!!  What a great honor!!,False,"[38, 77]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220573270103249e+18,1220573270103248901,1915514191.0,1915514191,CoreyWelch_STEM,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CoreyWelch_STEM', 'name': 'Corey Welch', 'id': 1915514191, 'id_str': '1915514191', 'indices': [0, 16]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [17, 28]}, {'screen_name': 'ISU_MSA', 'name': 'Iowa State MSA', 'id': 551100919, 'id_str': '551100919', 'indices': [29, 37]}]",[],en,recent,1931803916,1931803916,Maggie Washburne,WashburneMaggie,,"Scientist, mentor, and a believer in the idea that there are solutions to the most difficult problems. A farmer's wife, mother, and musician.",,[],False,860,1679,21,Thu Oct 03 19:21:00 +0000 2013,34041,,,True,False,15094,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211324749168558081/LsGVtJ0M_normal.jpg,https://pbs.twimg.com/profile_images/1211324749168558081/LsGVtJ0M_normal.jpg,https://pbs.twimg.com/profile_banners/1931803916/1577637301,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 04:11:41 +0000 2020,1220559771776012288,1220559771776012288,@TiffanyBerkenes @IowaStateU Was excellent lecture! And amazing award winners!,False,"[29, 78]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220354553436164e+18,1220354553436164096,430132570.0,430132570,TiffanyBerkenes,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'TiffanyBerkenes', 'name': 'Tiffany Berkenes', 'id': 430132570, 'id_str': '430132570', 'indices': [0, 16]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [17, 28]}]",[],en,recent,2356860343,2356860343,Crystal Loving,cloving27,"Iowa, USA","Scrappy, independent, mama to two mini-awesomes, scientist, advocacy. IMO expressed. she/her",,[],False,95,423,1,Sat Feb 22 20:01:31 +0000 2014,1521,,,False,False,319,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1215481068893147136/Jalchh1a_normal.jpg,https://pbs.twimg.com/profile_images/1215481068893147136/Jalchh1a_normal.jpg,https://pbs.twimg.com/profile_banners/2356860343/1578628245,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thu Jan 23 18:02:47 +0000 2020,1220406538461827074,1220406538461827074,"I applied to several grad schools to get my PhD: @ucdavis @UWMadisonCALS @UF @IowaStateU @Cornell @UCRiverside. (I had two more, but was exhausted after 6 applications) All had strong programs in the sciences, and all had opportunities for #SciComm career development.",False,"[0, 268]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204065375223153e+18,1220406537522315265,196280212.0,196280212,KarlHvM,,,,,False,1,0,False,False,en,"[{'text': 'SciComm', 'indices': [240, 248]}]",[],"[{'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [49, 57]}, {'screen_name': 'UWMadisonCALS', 'name': 'UW-Madison CALS', 'id': 123913517, 'id_str': '123913517', 'indices': [58, 72]}, {'screen_name': 'UF', 'name': 'FLORIDA', 'id': 44168607, 'id_str': '44168607', 'indices': [73, 76]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [77, 88]}, {'screen_name': 'Cornell', 'name': 'Cornell University', 'id': 17369110, 'id_str': '17369110', 'indices': [89, 97]}, {'screen_name': 'UCRiverside', 'name': 'UC Riverside', 'id': 20448698, 'id_str': '20448698', 'indices': [98, 110]}]",[],en,recent,196280212,196280212,Karl Haro von Mogel,KarlHvM,"Riverside, CA","Ph.D. in Plant Genetics and SciComm, Postdoctoral Scholar at UCR, Science & Media Director of https://t.co/ftdN7tukvG, & maker of awesome shirts. Tweets = mine.",http://t.co/oKl4fgpTvH,"[{'url': 'https://t.co/ftdN7tukvG', 'expanded_url': 'http://biofortified.org', 'display_url': 'biofortified.org', 'indices': [94, 117]}]",False,3703,203,142,Tue Sep 28 19:15:28 +0000 2010,1894,,,True,False,14673,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/981969058575761408/8jsGqwKa_normal.jpg,https://pbs.twimg.com/profile_images/981969058575761408/8jsGqwKa_normal.jpg,https://pbs.twimg.com/profile_banners/196280212/1576360302,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'http://t.co/oKl4fgpTvH', 'expanded_url': 'http://www.biofortified.org', 'display_url': 'biofortified.org', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wed Jan 22 04:43:56 +0000 2020,1219843111846907904,1219843111846907904,"""Bring more science into politics, and less politics into science""

A very interesting and engaging talk by Nobel Laureate Sir Richard Roberts on Support for GMOs @IowaStateU 

@NobelPrize",False,"[0, 188]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [163, 174]}, {'screen_name': 'NobelPrize', 'name': 'The Nobel Prize', 'id': 16465385, 'id_str': '16465385', 'indices': [177, 188]}]",[],en,recent,880629444746121217,880629444746121217,Ashish Jain,jainashish88,"Ames, IA","Computational biologist solving mysteries around placenta development, avid programmer, long distance runner, novice photographer, and PhD Candidate @IowaStateU",https://t.co/vBmWZtb9xr,[],False,63,119,0,Fri Jun 30 03:29:55 +0000 2017,621,,,False,False,374,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168615064707817472/kj0KDX3w_normal.jpg,https://pbs.twimg.com/profile_images/1168615064707817472/kj0KDX3w_normal.jpg,https://pbs.twimg.com/profile_banners/880629444746121217/1539830798,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/vBmWZtb9xr', 'expanded_url': 'http://ashishjain1988.github.io', 'display_url': 'ashishjain1988.github.io', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sun Jan 19 17:27:29 +0000 2020,1218948104105418753,1218948104105418753,"His analysis of 2016 shows HUGE variance by county in how many people you need to elect a state delegate equivalent (SDE). It ranges from just 45 caucusgoers in rural and GOP-heavy Fremont County to over 200 in counties where @GrinnellCollege, @uiowa, and @IowaStateU are located.",False,"[0, 280]","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.2189459581694976e+18,1218945958169497601,891246133.0,891246133,KedronBardwell,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'GrinnellCollege', 'name': 'Grinnell College', 'id': 17652635, 'id_str': '17652635', 'indices': [226, 242]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [244, 250]}, {'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [256, 267]}]",[],en,recent,891246133,891246133,Kedron Bardwell,KedronBardwell,"Indianola, IA","I teach public policy, media politics, and religion and politics @SimpsonPoliSci. Research on clergy and the 2020 Iowa caucuses. Centrist. #CountryOverParty",https://t.co/ACJx5GXX8R,[],False,2645,998,77,Fri Oct 19 15:46:30 +0000 2012,89408,,,True,False,15529,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1105126007583981568/-6FXb8Q0_normal.png,https://pbs.twimg.com/profile_images/1105126007583981568/-6FXb8Q0_normal.png,https://pbs.twimg.com/profile_banners/891246133/1552317347,00264D,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/ACJx5GXX8R', 'expanded_url': 'http://about.me/kedronbardwell', 'display_url': 'about.me/kedronbardwell', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sat Jan 18 14:17:18 +0000 2020,1218537855137599488,1218537855137599488,"@IowaStateU @ISUPD @iowastatedaily At 7:57 AM, the Ames Airport recorded a 49 MPH wind gust",False,"[35, 91]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.218533081147224e+18,1218533081147224064,7.859723002522296e+17,785972300252229633,IowaStateWX,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'IowaStateU', 'name': 'Iowa State University', 'id': 211258879, 'id_str': '211258879', 'indices': [0, 11]}, {'screen_name': 'ISUPD', 'name': 'Iowa State University Police Department', 'id': 1496289560, 'id_str': '1496289560', 'indices': [12, 18]}, {'screen_name': 'iowastatedaily', 'name': 'Iowa State Daily', 'id': 15832179, 'id_str': '15832179', 'indices': [19, 34]}]",[],en,recent,785972300252229633,785972300252229633,Iowa State Weather,IowaStateWX,"Ames, IA",2018 BEA Award winning student weather program. Covering Iowa State's weather like nobody else! RT 🚫 endorsements. Not the official forecasting service of ISU.,,[],False,2139,64,13,Tue Oct 11 22:36:13 +0000 2016,143,,,False,False,2159,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1155957797881692160/DRgGpXVD_normal.jpg,https://pbs.twimg.com/profile_images/1155957797881692160/DRgGpXVD_normal.jpg,https://pbs.twimg.com/profile_banners/785972300252229633/1574612793,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
