,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,retweeted_status.place
3,Sat Jan 25 15:03:21 +0000 2020,1221086156613251072,1221086156613251072,@Emykes @nmstate_aac @NMStateAggies @nmsu Let me know when you make it to Denver.,False,"[42, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208473705370706e+18,1220847370537070592,111633739.0,111633739,Emykes,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Emykes', 'name': 'Erin Mykleby', 'id': 111633739, 'id_str': '111633739', 'indices': [0, 7]}, {'screen_name': 'nmstate_aac', 'name': 'Aggie Athletic Club', 'id': 1299932046, 'id_str': '1299932046', 'indices': [8, 20]}, {'screen_name': 'NMStateAggies', 'name': 'NM State Aggies', 'id': 27707406, 'id_str': '27707406', 'indices': [21, 35]}, {'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [36, 41]}]",[],en,recent,31489380,31489380,TonyMartinez44,tonymartineznm,"Golden, CO","NM State Univ. Alumni Association Past President -Obama44 Alumni WH & DOL- Love Spanish cooking - cigars - bourbon - 🎿, coffee snob - CO Soccer Dad - USWNT ⚽️",,,[],False,594,1508,12,Wed Apr 15 19:17:44 +0000 2009,7690,,,True,False,9521,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216172543482028032/EIwnaavo_normal.jpg,https://pbs.twimg.com/profile_images/1216172543482028032/EIwnaavo_normal.jpg,https://pbs.twimg.com/profile_banners/31489380/1579651017,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fri Jan 24 23:15:49 +0000 2020,1220847703065710592,1220847703065710592,"@Emykes @nmstate_aac @NMStateAggies @nmsu Glad it was a good trip.
Safe travels",False,"[42, 79]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208473705370706e+18,1220847370537070592,111633739.0,111633739,Emykes,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'Emykes', 'name': 'Erin Mykleby', 'id': 111633739, 'id_str': '111633739', 'indices': [0, 7]}, {'screen_name': 'nmstate_aac', 'name': 'Aggie Athletic Club', 'id': 1299932046, 'id_str': '1299932046', 'indices': [8, 20]}, {'screen_name': 'NMStateAggies', 'name': 'NM State Aggies', 'id': 27707406, 'id_str': '27707406', 'indices': [21, 35]}, {'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [36, 41]}]",[],en,recent,335110383,335110383,Ken Sando,kensando11,"Albuquerque, NM","A father to my wonderful girls!
Just trying to live life to the fullest each day.
New Mexico St Alum!!  Go Aggies!
Go Seahawks!",,,[],False,493,870,23,Thu Jul 14 04:58:12 +0000 2011,13639,,,True,False,50221,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/992276570327810049/ORC0odVW_normal.jpg,https://pbs.twimg.com/profile_images/992276570327810049/ORC0odVW_normal.jpg,https://pbs.twimg.com/profile_banners/335110383/1576703250,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813a485b26b8dae2,https://api.twitter.com/1.1/geo/id/813a485b26b8dae2.json,city,Albuquerque,"Albuquerque, NM",US,United States,[],Polygon,"[[[-106.7916912, 35.0158912], [-106.473745, 35.0158912], [-106.473745, 35.218114], [-106.7916912, 35.218114]]]",,
11,Thu Jan 23 19:32:31 +0000 2020,1220429122691878918,1220429122691878918,"@NealSoftPower @haussamen @NMSURoundUp @nmsu Thank you, I really appreciate it!",False,"[45, 79]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204202102446285e+18,1220420210244628482,49675439.0,49675439,NealSoftPower,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'NealSoftPower', 'name': 'Neal Rosendorf', 'id': 49675439, 'id_str': '49675439', 'indices': [0, 14]}, {'screen_name': 'haussamen', 'name': 'Heath Haussamen', 'id': 19055721, 'id_str': '19055721', 'indices': [15, 25]}, {'screen_name': 'NMSURoundUp', 'name': 'The Round Up', 'id': 65654009, 'id_str': '65654009', 'indices': [26, 38]}, {'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [39, 44]}]",[],en,recent,917947225157779456,917947225157779456,Alanna Herrera,alannaherrera_,"Las Cruces, NM",Editor-in-Chief @NMSURoundUp & Pun Enthusiast //NM State,,,[],False,336,313,1,Wed Oct 11 02:57:27 +0000 2017,5839,,,True,False,1107,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1166077291094429696/Js6R0daV_normal.jpg,https://pbs.twimg.com/profile_images/1166077291094429696/Js6R0daV_normal.jpg,https://pbs.twimg.com/profile_banners/917947225157779456/1567473347,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thu Jan 23 18:57:07 +0000 2020,1220420210244628482,1220420210244628482,@haussamen .@haussamen Bravo to @NMSURoundUp’s @alannaherrera_ on her first-rate reportage—you make this @nmsu professor proud!,False,"[11, 127]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203658202550723e+18,1220365820255072256,19055721.0,19055721,haussamen,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'haussamen', 'name': 'Heath Haussamen', 'id': 19055721, 'id_str': '19055721', 'indices': [0, 10]}, {'screen_name': 'haussamen', 'name': 'Heath Haussamen', 'id': 19055721, 'id_str': '19055721', 'indices': [12, 22]}, {'screen_name': 'NMSURoundUp', 'name': 'The Round Up', 'id': 65654009, 'id_str': '65654009', 'indices': [32, 44]}, {'screen_name': 'alannaherrera_', 'name': 'Alanna Herrera', 'id': 917947225157779456, 'id_str': '917947225157779456', 'indices': [47, 62]}, {'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [105, 110]}]",[],en,recent,49675439,49675439,Neal Rosendorf,NealSoftPower,"Las Cruces NM & El Paso TX, US","Professor of US & International Relations History, @NMSU; immigration history/policy; US race/racism history; ethnic cleansing/genocide history #NeverAgainIsNow",https://t.co/n5iuKiLNjb,"[{'url': 'https://t.co/n5iuKiLNjb', 'expanded_url': 'http://deptofgov.nmsu.edu/faculty-profiles/rosendorf/', 'display_url': 'deptofgov.nmsu.edu/faculty-profil…', 'indices': [0, 23]}]",[],False,929,480,20,Mon Jun 22 16:15:18 +0000 2009,1540,,,True,False,3788,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1156465096501022726/BmdY8SWx_normal.jpg,https://pbs.twimg.com/profile_images/1156465096501022726/BmdY8SWx_normal.jpg,https://pbs.twimg.com/profile_banners/49675439/1561213435,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Thu Jan 23 18:01:51 +0000 2020,1220406305728421891,1220406305728421891,@Jeff_WolfHouse @nmsu This is awesome! Congrats Jeff.,False,"[22, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200995221115249e+18,1220099522111524864,8.174950627372769e+17,817495062737276928,Jeff_WolfHouse,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Jeff_WolfHouse', 'name': 'Jeff Villalobos', 'id': 817495062737276928, 'id_str': '817495062737276928', 'indices': [0, 15]}, {'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [16, 21]}]",[],en,recent,1176592280205045760,1176592280205045760,Sergio M. Quiñones,Serg_Quinones,Midwest,"Attorney | Milwaukee, WI | @NMSU and @MULaw Alum",https://t.co/I95KvY872e,"[{'url': 'https://t.co/I95KvY872e', 'expanded_url': 'http://www.rizzolaw.com/lawyer/sergio-m-quinones/', 'display_url': 'rizzolaw.com/lawyer/sergio-…', 'indices': [0, 23]}]",[],False,14,68,1,Tue Sep 24 20:20:42 +0000 2019,10,,,False,False,11,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1176592740139851791/HUJSo_KU_normal.jpg,https://pbs.twimg.com/profile_images/1176592740139851791/HUJSo_KU_normal.jpg,https://pbs.twimg.com/profile_banners/1176592280205045760/1571681178,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thu Jan 23 00:34:55 +0000 2020,1220142834545840128,1220142834545840128,RT @nmsu: Welcome back to campus Aggies!  Hope everyone’s new semester is off to a good start. #NMSU #GoAggies,False,"[0, 110]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,16,0,False,False,en,"[{'text': 'NMSU', 'indices': [95, 100]}, {'text': 'GoAggies', 'indices': [101, 110]}]",[],"[{'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [3, 8]}]",[],en,recent,961452122331066368,961452122331066368,Jon Bailon-Valdez,BailonJon,"Austin, TX","Educational Leader, Ph.D. student, Social Justice scholar and advocate for equality!",,,[],False,28,78,0,Thu Feb 08 04:10:23 +0000 2018,419,,,True,False,312,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1152712422593093636/fJNV7nVS_normal.jpg,https://pbs.twimg.com/profile_images/1152712422593093636/fJNV7nVS_normal.jpg,https://pbs.twimg.com/profile_banners/961452122331066368/1554440917,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Wed Jan 22 15:41:32 +0000 2020,1.2200086042305413e+18,1220008604230541312,Welcome back to campus Aggies!  Hope everyone’s new semester is off to a good start. #NMSU #GoAggies,False,"[0, 100]","[{'text': 'NMSU', 'indices': [85, 90]}, {'text': 'GoAggies', 'indices': [91, 100]}]",[],[],[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,16443535.0,16443535,New Mexico State,nmsu,"📍Las Cruces, New Mexico",New Mexico State University - BE BOLD. Shape the Future. Tweets about all things NMSU from Undergraduate Admissions and Orientation. #NMSU #GoAggies #NMSUBound,https://t.co/cAFFCmIbNB,[],False,28448.0,254.0,312.0,Thu Sep 25 00:09:54 +0000 2008,2882.0,,,True,True,7098.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2944879960/7e344c4c4d2093616baace7359f4b945_normal.jpeg,https://pbs.twimg.com/profile_images/2944879960/7e344c4c4d2093616baace7359f4b945_normal.jpeg,https://pbs.twimg.com/profile_banners/16443535/1518823371,882345,000000,EEEEEE,333333,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,False,16.0,159.0,False,False,en,,,,,,,,,,,"[{'url': 'https://t.co/cAFFCmIbNB', 'expanded_url': 'http://www.nmsu.edu', 'display_url': 'nmsu.edu', 'indices': [0, 23]}]",
16,Wed Jan 22 21:47:53 +0000 2020,1220100799784804357,1220100799784804357,@nmsu See you in the Summer semester,False,"[6, 36]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200086042305413e+18,1220008604230541312,16443535.0,16443535,nmsu,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [0, 5]}]",[],en,recent,733066727592853504,733066727592853504,coach_x_1888,x_from_wecks,,NMSU 🤠🤠 Go Aggies and now a Proud RHS graduate of the Class of 2018 And part of the RHS Alumni Association Coach X 🏀,,,[],False,460,1587,5,Wed May 18 22:48:22 +0000 2016,11183,,,True,False,6990,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1131590235035525120/fOe49HRN_normal.jpg,https://pbs.twimg.com/profile_images/1131590235035525120/fOe49HRN_normal.jpg,https://pbs.twimg.com/profile_banners/733066727592853504/1573481837,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Wed Jan 22 21:47:30 +0000 2020,1220100703366131712,1220100703366131712,RT @nmsu: Welcome back to campus Aggies!  Hope everyone’s new semester is off to a good start. #NMSU #GoAggies,False,"[0, 110]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,16,0,False,False,en,"[{'text': 'NMSU', 'indices': [95, 100]}, {'text': 'GoAggies', 'indices': [101, 110]}]",[],"[{'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [3, 8]}]",[],en,recent,733066727592853504,733066727592853504,coach_x_1888,x_from_wecks,,NMSU 🤠🤠 Go Aggies and now a Proud RHS graduate of the Class of 2018 And part of the RHS Alumni Association Coach X 🏀,,,[],False,460,1587,5,Wed May 18 22:48:22 +0000 2016,11183,,,True,False,6990,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1131590235035525120/fOe49HRN_normal.jpg,https://pbs.twimg.com/profile_images/1131590235035525120/fOe49HRN_normal.jpg,https://pbs.twimg.com/profile_banners/733066727592853504/1573481837,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Wed Jan 22 15:41:32 +0000 2020,1.2200086042305413e+18,1220008604230541312,Welcome back to campus Aggies!  Hope everyone’s new semester is off to a good start. #NMSU #GoAggies,False,"[0, 100]","[{'text': 'NMSU', 'indices': [85, 90]}, {'text': 'GoAggies', 'indices': [91, 100]}]",[],[],[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,16443535.0,16443535,New Mexico State,nmsu,"📍Las Cruces, New Mexico",New Mexico State University - BE BOLD. Shape the Future. Tweets about all things NMSU from Undergraduate Admissions and Orientation. #NMSU #GoAggies #NMSUBound,https://t.co/cAFFCmIbNB,[],False,28448.0,254.0,312.0,Thu Sep 25 00:09:54 +0000 2008,2882.0,,,True,True,7098.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2944879960/7e344c4c4d2093616baace7359f4b945_normal.jpeg,https://pbs.twimg.com/profile_images/2944879960/7e344c4c4d2093616baace7359f4b945_normal.jpeg,https://pbs.twimg.com/profile_banners/16443535/1518823371,882345,000000,EEEEEE,333333,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,False,16.0,159.0,False,False,en,,,,,,,,,,,"[{'url': 'https://t.co/cAFFCmIbNB', 'expanded_url': 'http://www.nmsu.edu', 'display_url': 'nmsu.edu', 'indices': [0, 23]}]",
18,Wed Jan 22 21:42:49 +0000 2020,1220099522111524864,1220099522111524864,"I'm a Trojan and a Mustang, but I've always been an Aggie fan. Today, I'm proud to officially be an Aggie as the professor of BLAW 330. @nmsu",False,"[0, 141]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [136, 141]}]",[],en,recent,817495062737276928,817495062737276928,Jeff Villalobos,Jeff_WolfHouse,,"Dad - Corporate Attorney - @USC and @SMULawSchool Alum - LC, NM",,,[],False,49,107,0,Fri Jan 06 22:16:26 +0000 2017,327,,,False,False,144,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/817499502638612480/wCXDsWij_normal.jpg,https://pbs.twimg.com/profile_images/817499502638612480/wCXDsWij_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Wed Jan 22 20:39:04 +0000 2020,1220083481339781120,1220083481339781120,RT @nmsu: Welcome back to campus Aggies!  Hope everyone’s new semester is off to a good start. #NMSU #GoAggies,False,"[0, 110]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,16,0,False,False,en,"[{'text': 'NMSU', 'indices': [95, 100]}, {'text': 'GoAggies', 'indices': [101, 110]}]",[],"[{'screen_name': 'nmsu', 'name': 'New Mexico State', 'id': 16443535, 'id_str': '16443535', 'indices': [3, 8]}]",[],en,recent,701818491146412032,701818491146412032,Campus Tutoring,NMSUCTS,"Las Cruces, NM",Campus Tutoring at New Mexico State University | CCSU Room 206 | 575-646-6050 | FREE Services to NMSU Students |campustutor@nmsu.edu #NMSU #Aggies #AggieUp,https://t.co/veeX56Au34,"[{'url': 'https://t.co/veeX56Au34', 'expanded_url': 'https://campustutoring.nmsu.edu/', 'display_url': 'campustutoring.nmsu.edu', 'indices': [0, 23]}]",[],False,137,526,4,Mon Feb 22 17:19:02 +0000 2016,79,,,True,False,223,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085584147790221312/2A-oS-Yo_normal.jpg,https://pbs.twimg.com/profile_images/1085584147790221312/2A-oS-Yo_normal.jpg,https://pbs.twimg.com/profile_banners/701818491146412032/1579728764,800040,000000,000000,000000,False,False,False,False,False,False,False,none,Wed Jan 22 15:41:32 +0000 2020,1.2200086042305413e+18,1220008604230541312,Welcome back to campus Aggies!  Hope everyone’s new semester is off to a good start. #NMSU #GoAggies,False,"[0, 100]","[{'text': 'NMSU', 'indices': [85, 90]}, {'text': 'GoAggies', 'indices': [91, 100]}]",[],[],[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,16443535.0,16443535,New Mexico State,nmsu,"📍Las Cruces, New Mexico",New Mexico State University - BE BOLD. Shape the Future. Tweets about all things NMSU from Undergraduate Admissions and Orientation. #NMSU #GoAggies #NMSUBound,https://t.co/cAFFCmIbNB,[],False,28448.0,254.0,312.0,Thu Sep 25 00:09:54 +0000 2008,2882.0,,,True,True,7098.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2944879960/7e344c4c4d2093616baace7359f4b945_normal.jpeg,https://pbs.twimg.com/profile_images/2944879960/7e344c4c4d2093616baace7359f4b945_normal.jpeg,https://pbs.twimg.com/profile_banners/16443535/1518823371,882345,000000,EEEEEE,333333,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,False,16.0,159.0,False,False,en,,,,,,,,,,,"[{'url': 'https://t.co/cAFFCmIbNB', 'expanded_url': 'http://www.nmsu.edu', 'display_url': 'nmsu.edu', 'indices': [0, 23]}]",
