,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
27,Wed Jan 22 15:55:38 +0000 2020,1220012151990964225,1220012151990964225,"@JamesLowryATL @CUNY @QC_News Fantastic news, congratulations 👍🎉",False,"[30, 64]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,209007474,209007474,Katherine Jarvie,KathyGallen,Australia,"Librarian, archivist, informatics researcher, GLAMR & digital preservation enthusiast; animal lover & PhD Candidate. Pop culture, data & digital explorer.",,,[],False,792,1754,23,Thu Oct 28 10:36:48 +0000 2010,1491,,,True,False,3838,,False,False,False,07090B,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,True,http://pbs.twimg.com/profile_images/1056787718464659456/NN6CjEwu_normal.jpg,https://pbs.twimg.com/profile_images/1056787718464659456/NN6CjEwu_normal.jpg,https://pbs.twimg.com/profile_banners/209007474/1415767508,C34242,BFBFBF,C9C9C9,1C1F23,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Wed Jan 22 15:31:38 +0000 2020,1220006112969265152,1220006112969265152,Ohhh it’s #Awkwafina on the 7 train. Our @QC_News poetry class en route Queens Museum today. “All the stops baby!”,False,"[0, 114]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,3,False,False,en,"[{'text': 'Awkwafina', 'indices': [10, 20]}]",[],"[{'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [41, 49]}]",[],en,recent,707017782509113346,707017782509113346,Dais_Atterbury,att_daisy,,"Poetry, essay, experimental prose —CNF & lit instructor @QC_news PhD in process @GC_cuny Contributing Editor @makhzinmagazine NYC/NM",https://t.co/m0pPdpGlek,"[{'url': 'https://t.co/m0pPdpGlek', 'expanded_url': 'https://daisyatterbury.com/', 'display_url': 'daisyatterbury.com', 'indices': [0, 23]}]",[],False,172,490,3,Tue Mar 08 01:39:09 +0000 2016,539,,,False,False,181,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178060214357987330/lYTkBRLc_normal.jpg,https://pbs.twimg.com/profile_images/1178060214357987330/lYTkBRLc_normal.jpg,https://pbs.twimg.com/profile_banners/707017782509113346/1560134196,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wed Jan 22 12:22:02 +0000 2020,1219958398113894406,1219958398113894406,@JamesLowryATL @CUNY @QC_News Congratulations!!! Very happy for you!,False,"[30, 68]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,1626788010,1626788010,Elaine Goh,egohmeiyee,,"PhD Graduate from iSchool@ UBC, Records and Information Management Specialist, interested in archival legislation, records management, organizational culture.",,,[],False,143,232,5,Sun Jul 28 02:21:29 +0000 2013,207,,,False,False,310,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000199827634/f8a516c27ab8d32ea072190b704145d1_normal.jpeg,https://pbs.twimg.com/profile_images/378800000199827634/f8a516c27ab8d32ea072190b704145d1_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Wed Jan 22 09:56:53 +0000 2020,1219921869312331776,1219921869312331776,@JamesLowryATL @CUNY @QC_News Congratulations! Best of luck with the move.,False,"[30, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,263115191,263115191,Jessamy Carlson,jessamycarlson,West London,Archivist. Historian. RMARA. FRSA. Clore (7) Fellow. PhD student @essexsociology. My opinions unless I RT yours; not representative of work/uni,https://t.co/McccbiqI1K,"[{'url': 'https://t.co/McccbiqI1K', 'expanded_url': 'http://jessamycarlson.wordpress.com', 'display_url': 'jessamycarlson.wordpress.com', 'indices': [0, 23]}]",[],False,2803,1714,107,Wed Mar 09 12:14:20 +0000 2011,32683,,,True,False,37724,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1201611751298621446/hahfXcKh_normal.jpg,https://pbs.twimg.com/profile_images/1201611751298621446/hahfXcKh_normal.jpg,https://pbs.twimg.com/profile_banners/263115191/1578177756,0F0F0B,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Wed Jan 22 05:43:11 +0000 2020,1219858025340493824,1219858025340493824,@JamesLowryATL @CUNY @QC_News Congratulations,False,"[30, 45]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,1529461310,1529461310,Chris Colwell,cwcolwell,"Sydney, New South Wales","Information professional, lecturer and PhD candidate with an interest in information and recordkeeping behaviour, information policy and ethics.",,,[],False,223,396,4,Wed Jun 19 02:25:57 +0000 2013,1140,,,False,False,236,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/530605212793180161/BabLSq65_normal.jpeg,https://pbs.twimg.com/profile_images/530605212793180161/BabLSq65_normal.jpeg,https://pbs.twimg.com/profile_banners/1529461310/1415657578,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Tue Jan 21 20:26:20 +0000 2020,1219717888392749056,1219717888392749056,RT @JamesLowryATL: I’m delighted to be able to say that this year I’m joining the Graduate School of Library and Information Studies at Que…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,5,0,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [3, 17]}]",[],en,recent,307542335,307542335,Ricardo Emilio Barco,ribarcodi,Cali - New York - Caribe,"Caleñazo, con alma caribe. Economista @Baruch_Zicklin MBA @HofstraU Trabajo en 'tech start ups' @QC_news @QCTechIncubator hincha d la mechita opiniones propias.",https://t.co/C3XuEBb9YR,"[{'url': 'https://t.co/C3XuEBb9YR', 'expanded_url': 'http://www.qc.cuny.edu', 'display_url': 'qc.cuny.edu', 'indices': [0, 23]}]",[],False,395,666,6,Sun May 29 20:41:53 +0000 2011,1862,,,True,False,16962,,False,False,False,C1EBD8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1180331104378789888/xDIdpHc3_normal.jpg,https://pbs.twimg.com/profile_images/1180331104378789888/xDIdpHc3_normal.jpg,https://pbs.twimg.com/profile_banners/307542335/1516823713,1B95E0,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,Tue Jan 21 08:34:48 +0000 2020,1.2195388261100872e+18,1219538826110087168,"I’m delighted to be able to say that this year I’m joining the Graduate School of Library and Information Studies at Queens College, City University of New York, as an Assistant Professor. I hope to contribute to the great work being done at @CUNY and @QC_News",False,"[0, 260]",[],[],"[{'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [242, 247]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [252, 260]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1612925761.0,1612925761,James Lowry,JamesLowryATL,United Kingdom,"Co-Director, Liverpool University Centre for Archive Studies (@livuniLUCAS) & Editor, Routledge Studies in Archives",https://t.co/DJTKMywdFr,[],False,1280.0,1003.0,38.0,Mon Jul 22 14:01:51 +0000 2013,985.0,,,True,False,1457.0,,False,False,True,996B0F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1113491061480022017/pA8IjZie_normal.jpg,https://pbs.twimg.com/profile_images/1113491061480022017/pA8IjZie_normal.jpg,https://pbs.twimg.com/profile_banners/1612925761/1493598088,303DC9,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,5.0,175.0,False,False,en,"[{'url': 'https://t.co/DJTKMywdFr', 'expanded_url': 'https://www.routledge.com/Displaced-Archives/Lowry/p/book/9781472470690', 'display_url': 'routledge.com/Displaced-Arch…', 'indices': [0, 23]}]",,,,,,,,,,
77,Tue Jan 21 16:20:12 +0000 2020,1219655948475752448,1219655948475752448,"@JamesLowryATL @CUNY @QC_News Our departments work closely together and even offer a joint MLS-MA degree. Naturally, we look forward to your arrival! Welcome!",False,"[30, 158]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,2308966574,2308966574,QC History Dept,QCHistory,"Flushing, Queens, NY","History Department | Queens College, City University of New York. Facebook: QCHistoryDepartment",https://t.co/MQ1Tynbc6Q,"[{'url': 'https://t.co/MQ1Tynbc6Q', 'expanded_url': 'http://www.queenscollegehistory.org', 'display_url': 'queenscollegehistory.org', 'indices': [0, 23]}]",[],False,348,596,7,Fri Jan 24 21:07:19 +0000 2014,407,,,True,False,736,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/803063909460557824/AydqpwIL_normal.jpg,https://pbs.twimg.com/profile_images/803063909460557824/AydqpwIL_normal.jpg,https://pbs.twimg.com/profile_banners/2308966574/1480300214,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Tue Jan 21 16:01:13 +0000 2020,1219651171499106304,1219651171499106304,@JamesLowryATL @CUNY @QC_News Brilliant! Congratulations @JamesLowryATL 🥳 Look forward to reading your tweets from the Big Apple!,False,"[30, 129]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}, {'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [57, 71]}]",[],en,recent,18688119,18688119,Victoria Brokenshire,VicBrok,,Archivist at St Helens Council @STHLibraries | @livuniLUCAS alumni | Sci Fi fan & @BluesHarvest photog | Opinions own,https://t.co/whdwLOLMkF,"[{'url': 'https://t.co/whdwLOLMkF', 'expanded_url': 'http://www.sthelens.gov.uk/libraries/archive-service', 'display_url': 'sthelens.gov.uk/libraries/arch…', 'indices': [0, 23]}]",[],False,694,851,12,Tue Jan 06 18:30:55 +0000 2009,3944,,,True,False,2142,,False,False,False,2E6580,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1101490282976169986/IC-QIhuP_normal.jpg,https://pbs.twimg.com/profile_images/1101490282976169986/IC-QIhuP_normal.jpg,https://pbs.twimg.com/profile_banners/18688119/1558541532,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Tue Jan 21 14:14:12 +0000 2020,1219624239986331656,1219624239986331656,@JamesLowryATL @CUNY @QC_News Best of luck James! Thank you for all of your support 🙌🏻,False,"[30, 86]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,119146178,119146178,Helen Ritchie,HelenR___,Wirral,Almost archivist; current MA student @livuniLUCAS; mother of cats. Most likely caffeinated ☕,,,[],False,270,428,4,Tue Mar 02 20:16:54 +0000 2010,1280,,,True,False,704,,False,False,False,D7E7E6,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1136230572366422016/VYanP_aT_normal.jpg,https://pbs.twimg.com/profile_images/1136230572366422016/VYanP_aT_normal.jpg,https://pbs.twimg.com/profile_banners/119146178/1366202453,856755,FFFFFF,C1D9D0,C28C77,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Tue Jan 21 13:46:19 +0000 2020,1219617219430232064,1219617219430232064,@JamesLowryATL @CUNY @QC_News Congratulations!!,False,"[30, 47]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2195388261100872e+18,1219538826110087168,1612925761.0,1612925761,JamesLowryATL,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JamesLowryATL', 'name': 'James Lowry', 'id': 1612925761, 'id_str': '1612925761', 'indices': [0, 14]}, {'screen_name': 'CUNY', 'name': 'The City University of New York', 'id': 122059354, 'id_str': '122059354', 'indices': [15, 20]}, {'screen_name': 'QC_News', 'name': 'Queens College|CUNY', 'id': 176878617, 'id_str': '176878617', 'indices': [21, 29]}]",[],en,recent,2347848466,2347848466,Kathleen Brennan,notmrswaits,"Philadelphia, PA","@LivuniLUCAS alumna, Records Management Specialist, sometime writer/adventurer, ex-history PhD student @gc_cuny. All opinions and internet nonsense my own.",,,[],False,185,446,7,Mon Feb 17 00:51:20 +0000 2014,19077,,,False,False,4249,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/864806692764217344/5JUTDkHv_normal.jpg,https://pbs.twimg.com/profile_images/864806692764217344/5JUTDkHv_normal.jpg,https://pbs.twimg.com/profile_banners/2347848466/1558016472,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
