,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
1,Sat Jan 25 12:01:39 +0000 2020,1221040433855418369,1221040433855418369,@DonaBertarelli @EPFL @wef Thank you @DonaBertarelli! Great discussion indeed. Very much looking forward to continuing fruitful collaborations with the @Bertarelli_fdn,False,"[27, 167]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199408715058831e+18,1219940871505883138,1.0466769973453455e+18,1046676997345345536,DonaBertarelli,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'DonaBertarelli', 'name': 'Dona Bertarelli', 'id': 1046676997345345536, 'id_str': '1046676997345345536', 'indices': [0, 15]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [16, 21]}, {'screen_name': 'wef', 'name': 'World Economic Forum', 'id': 5120691, 'id_str': '5120691', 'indices': [22, 26]}, {'screen_name': 'DonaBertarelli', 'name': 'Dona Bertarelli', 'id': 1046676997345345536, 'id_str': '1046676997345345536', 'indices': [37, 52]}, {'screen_name': 'Bertarelli_fdn', 'name': 'Bertarelli Foundation', 'id': 2827143435, 'id_str': '2827143435', 'indices': [152, 167]}]",[],en,recent,2382286849,2382286849,Martin Vetterli,MartinVetterli,"Lausanne, Switzerland",President and Professor of Engineering at @EPFL @EPFL_en. Retweets and likes are not endorsements.,https://t.co/eObUFWsvx6,"[{'url': 'https://t.co/eObUFWsvx6', 'expanded_url': 'https://en.wikipedia.org/wiki/Martin_Vetterli', 'display_url': 'en.wikipedia.org/wiki/Martin_Ve…', 'indices': [0, 23]}]",[],False,7400,1719,147,Mon Mar 10 15:11:12 +0000 2014,2969,,,False,False,2990,,False,False,False,999999,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1030422281468698624/3_gZqhOF_normal.jpg,https://pbs.twimg.com/profile_images/1030422281468698624/3_gZqhOF_normal.jpg,https://pbs.twimg.com/profile_banners/2382286849/1552994652,E81C4F,FFFFFF,DDEEF6,333333,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fri Jan 24 16:01:51 +0000 2020,1220738493078495233,1220738493078495233,@MartinVetterli @EPFL_en @EPFL @wef hear hear,False,"[36, 45]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207351187735757e+18,1220735118773575680,2382286849.0,2382286849,MartinVetterli,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MartinVetterli', 'name': 'Martin Vetterli', 'id': 2382286849, 'id_str': '2382286849', 'indices': [0, 15]}, {'screen_name': 'EPFL_en', 'name': 'EPFL', 'id': 104604540, 'id_str': '104604540', 'indices': [16, 24]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [25, 30]}, {'screen_name': 'wef', 'name': 'World Economic Forum', 'id': 5120691, 'id_str': '5120691', 'indices': [31, 35]}]",[],en,recent,45784159,45784159,Andrea Hacker,ahacker,"Berne, Switzerland",Open Science. Editing. Writing. #openaccess #scholcomm My views.,http://t.co/Q9D2HOtUiv,"[{'url': 'http://t.co/Q9D2HOtUiv', 'expanded_url': 'http://www.andreahacker.com', 'display_url': 'andreahacker.com', 'indices': [0, 22]}]",[],False,1720,1701,111,Tue Jun 09 06:49:15 +0000 2009,7840,,,False,False,6246,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,True,http://pbs.twimg.com/profile_images/798130614587293696/9pt99OXl_normal.jpg,https://pbs.twimg.com/profile_images/798130614587293696/9pt99OXl_normal.jpg,https://pbs.twimg.com/profile_banners/45784159/1429306398,A52A2A,FFFFFF,E3E2DE,634047,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Thu Jan 23 22:54:24 +0000 2020,1220479927432118274,1220479927432118274,@GilleMonica @cwellise @VincentBarro @BenoitRevaz @EPFL @SchneiderElec @HPE Well done @GilleMonica &amp; @cwellise ! I already received a hundred e-mails asking me how they could get their hands on the #GreenDCLabel! 😉,False,"[76, 218]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220461475011158e+18,1220461475011158016,1.1091859614754324e+18,1109185961475432448,GilleMonica,,,,,False,0,1,False,False,en,"[{'text': 'GreenDCLabel', 'indices': [202, 215]}]",[],"[{'screen_name': 'GilleMonica', 'name': 'Monica Gille', 'id': 1109185961475432448, 'id_str': '1109185961475432448', 'indices': [0, 12]}, {'screen_name': 'cwellise', 'name': 'Christopher Wellise', 'id': 2784474317, 'id_str': '2784474317', 'indices': [13, 22]}, {'screen_name': 'VincentBarro', 'name': 'Vincent Barro', 'id': 915216498, 'id_str': '915216498', 'indices': [23, 36]}, {'screen_name': 'BenoitRevaz', 'name': 'Benoît Revaz', 'id': 953296633843855360, 'id_str': '953296633843855360', 'indices': [37, 49]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [50, 55]}, {'screen_name': 'SchneiderElec', 'name': 'Schneider Electric', 'id': 393757140, 'id_str': '393757140', 'indices': [56, 70]}, {'screen_name': 'HPE', 'name': 'HPE', 'id': 207495308, 'id_str': '207495308', 'indices': [71, 75]}, {'screen_name': 'GilleMonica', 'name': 'Monica Gille', 'id': 1109185961475432448, 'id_str': '1109185961475432448', 'indices': [86, 98]}, {'screen_name': 'cwellise', 'name': 'Christopher Wellise', 'id': 2784474317, 'id_str': '2784474317', 'indices': [105, 114]}]",[],en,recent,1130852966259351552,1130852966259351552,Mateo Dugand,DugandMateo,"London, England",☁️ Technologist @HPE 🌱#Sustainability & #ITEfficiency @HPE_LivingProg ⚽️@OM_Officiel fan 🦁@NatGeo & nature lover👨🏼‍🎓@EPFL Alumni (Opinions are my own),https://t.co/fTZRqwR1hx,"[{'url': 'https://t.co/fTZRqwR1hx', 'expanded_url': 'http://www.hpe.com/us/en/living-progress.html', 'display_url': 'hpe.com/us/en/living-p…', 'indices': [0, 23]}]",[],False,148,529,0,Tue May 21 15:08:52 +0000 2019,733,,,True,False,360,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1134534429748150272/1R0WgG2k_normal.png,https://pbs.twimg.com/profile_images/1134534429748150272/1R0WgG2k_normal.png,https://pbs.twimg.com/profile_banners/1130852966259351552/1559328820,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Thu Jan 23 16:33:27 +0000 2020,1220384057105711105,1220384057105711105,@WSL_research @EPFL @ETH @empa @psi @ETH_Rat @DefrWbf @SBFI_CH @UZH_ch @uzh_president @MartinVetterli @Bundesrat_Bern @koni_steffen truly diverse environment 🤵‍♀️🤵 #valuegenderdiversity #genderdiversityisimportant,False,"[132, 213]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203505045235098e+18,1220350504523509764,3402941374.0,3402941374,WSL_research,,,,,False,0,0,False,False,en,"[{'text': 'valuegenderdiversity', 'indices': [164, 185]}, {'text': 'genderdiversityisimportant', 'indices': [186, 213]}]",[],"[{'screen_name': 'WSL_research', 'name': 'WSL Umweltforschung', 'id': 3402941374, 'id_str': '3402941374', 'indices': [0, 13]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [14, 19]}, {'screen_name': 'ETH', 'name': 'ETH Zürich', 'id': 202806809, 'id_str': '202806809', 'indices': [20, 24]}, {'screen_name': 'empa', 'name': 'Emir Dizdarevic', 'id': 15880646, 'id_str': '15880646', 'indices': [25, 30]}, {'screen_name': 'psi', 'name': 'JD Harrington', 'id': 1269, 'id_str': '1269', 'indices': [31, 35]}, {'screen_name': 'ETH_Rat', 'name': 'ETH-Rat', 'id': 940218735381696513, 'id_str': '940218735381696513', 'indices': [36, 44]}, {'screen_name': 'DefrWbf', 'name': 'WBF DEFR EAER', 'id': 1075730956936466437, 'id_str': '1075730956936466437', 'indices': [45, 53]}, {'screen_name': 'SBFI_CH', 'name': 'SBFI SEFRI SERI', 'id': 3223969787, 'id_str': '3223969787', 'indices': [54, 62]}, {'screen_name': 'UZH_ch', 'name': 'Universität Zürich', 'id': 384753474, 'id_str': '384753474', 'indices': [63, 70]}, {'screen_name': 'uzh_president', 'name': 'Michael Hengartner', 'id': 16350174, 'id_str': '16350174', 'indices': [71, 85]}, {'screen_name': 'MartinVetterli', 'name': 'Martin Vetterli', 'id': 2382286849, 'id_str': '2382286849', 'indices': [86, 101]}, {'screen_name': 'Bundesrat_Bern', 'name': 'Bundesrat Schweiz', 'id': 2212305481, 'id_str': '2212305481', 'indices': [102, 117]}, {'screen_name': 'koni_steffen', 'name': 'Konrad Steffen', 'id': 162984220, 'id_str': '162984220', 'indices': [118, 131]}]",[],en,recent,53064739,53064739,Martina Ulvrova,mulvr,"Zurich, Switzerland",H2020 MSC individual fellow. Earth science researcher at @ETH_ERDW. Woman in Science. Founding member of @team_dtrh. She/Her. 🇨🇿🇫🇷🇨🇭Views are mine.,,,[],False,349,1460,4,Thu Jul 02 13:40:14 +0000 2009,739,,,False,False,1018,,False,False,False,A9D6D9,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1126144912519565314/XMcpjNN7_normal.png,https://pbs.twimg.com/profile_images/1126144912519565314/XMcpjNN7_normal.png,https://pbs.twimg.com/profile_banners/53064739/1575410148,6699FF,C6E2EE,DAECF4,403439,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Thu Jan 23 16:32:13 +0000 2020,1220383745380966401,1220383745380966401,Looking forward to going to the #appliedmldays this weekend. Thanks again @EPFL for giving my team full tickets as a prize for the best machine learning project award during the CS-433 course.,False,"[0, 192]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,2,False,False,en,"[{'text': 'appliedmldays', 'indices': [32, 46]}]",[],"[{'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [74, 79]}]",[],en,recent,974269399652798464,974269399652798464,Ambroise Renaud,RenaudAmbroise,"Lausanne, Suisse",Student @ENSISA_Mulhouse. Exchange year @EPFL. Machine Learning / Data Science,https://t.co/ZJp7JYnkQD,"[{'url': 'https://t.co/ZJp7JYnkQD', 'expanded_url': 'http://ambroise-renaud.fr', 'display_url': 'ambroise-renaud.fr', 'indices': [0, 23]}]",[],False,8,50,0,Thu Mar 15 13:01:40 +0000 2018,53,,,False,False,34,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1186613024498552834/KXuRXaG__normal.jpg,https://pbs.twimg.com/profile_images/1186613024498552834/KXuRXaG__normal.jpg,https://pbs.twimg.com/profile_banners/974269399652798464/1521120900,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thu Jan 23 13:00:22 +0000 2020,1220330430878093312,1220330430878093312,"The conference was held at the @SwissTech_EPFL, on the campus of the Swiss Federal Institute of Technology (Ecole polytechnique fédérale de Lausanne) @EPFL",False,"[0, 155]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203304282483466e+18,1220330428248346626,25128020.0,25128020,WFSJ,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SwissTech_EPFL', 'name': 'SwissTech Convention', 'id': 2435456996, 'id_str': '2435456996', 'indices': [31, 46]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [150, 155]}]",[],en,recent,25128020,25128020,WFSJ,WFSJ,Montreal I Canada,"World Federation of Science Journalists: representing & promoting our Community with 62 Member Associations and 10,000 #ScienceJournalists worldwide.",https://t.co/zXBOVd5t0I,"[{'url': 'https://t.co/zXBOVd5t0I', 'expanded_url': 'http://www.wfsj.org', 'display_url': 'wfsj.org', 'indices': [0, 23]}]",[],False,6745,2496,350,Wed Mar 18 18:55:09 +0000 2009,6034,,,True,False,8556,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,True,http://pbs.twimg.com/profile_images/555797701246197760/v60xtkVb_normal.png,https://pbs.twimg.com/profile_images/555797701246197760/v60xtkVb_normal.png,https://pbs.twimg.com/profile_banners/25128020/1542308760,FF4500,0E4A7C,EEEEEE,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Wed Jan 22 16:33:11 +0000 2020,1220021601909059584,1220021601909059584,@ProfBenEggleton @EPFL Thank you for this fantastic talk Ben!! It was great to catch up and hear about your exciting research.,False,"[23, 126]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199917694016102e+18,1219991769401610240,2379384800.0,2379384800,ProfBenEggleton,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'ProfBenEggleton', 'name': 'Benjamin Eggleton', 'id': 2379384800, 'id_str': '2379384800', 'indices': [0, 16]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [17, 22]}]",[],en,recent,973211619902787585,973211619902787585,Hatice Altug,EPFL_altug_lab,"Lausanne, Switzerland","EPFL Laboratory of BioNanoPhotonic Systems, #plasmonics, #biosensors, #nanophotonics, @EPFL_en",https://t.co/uKy5oN5sxr,"[{'url': 'https://t.co/uKy5oN5sxr', 'expanded_url': 'https://bios.epfl.ch/', 'display_url': 'bios.epfl.ch', 'indices': [0, 23]}]",[],False,571,120,9,Mon Mar 12 14:58:26 +0000 2018,297,,,False,False,126,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1059407285229891584/moIOlBIB_normal.jpg,https://pbs.twimg.com/profile_images/1059407285229891584/moIOlBIB_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wed Jan 22 12:17:42 +0000 2020,1219957305552318466,1219957305552318466,@jasonhyang @EPFL 👏🏼👏🏼👏🏼 enjoy it!,False,"[18, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2199163795723592e+18,1219916379572359174,105918147.0,105918147,jasonhyang,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'jasonhyang', 'name': 'Jason Yang', 'id': 105918147, 'id_str': '105918147', 'indices': [0, 11]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [12, 17]}]",[],en,recent,488901256,488901256,Anush Chiappino-Pepe,AnushChP,"Boston, MA","Post-Doc @geochurch @harvardmed @wyssinstitute | @snsf_ch fellow | PhD alumna @Vassily_13 @EPFL_en. Molecular systems biology, medical applications, teaching",,,[],False,242,1198,0,Fri Feb 10 23:50:23 +0000 2012,1578,,,False,False,454,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1163526771414880257/kDCmSAJo_normal.jpg,https://pbs.twimg.com/profile_images/1163526771414880257/kDCmSAJo_normal.jpg,https://pbs.twimg.com/profile_banners/488901256/1491262767,FF3300,86A4A6,A0C5C7,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Wed Jan 22 10:15:17 +0000 2020,1219926499379367937,1219926499379367937,"RT @SGorokhova: Nicolas Broguiere @NicoBroguiere (@EPFL, Lausanne) presents a great overview of advances in organoid generation and use to…",False,"[0, 139]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'SGorokhova', 'name': 'Svetlana Gorokhova', 'id': 2529586874, 'id_str': '2529586874', 'indices': [3, 14]}, {'screen_name': 'NicoBroguiere', 'name': 'Nicolas Broguiere', 'id': 1089676549014593539, 'id_str': '1089676549014593539', 'indices': [34, 48]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [50, 55]}]",[],en,recent,1089676549014593539,1089676549014593539,Nicolas Broguiere,NicoBroguiere,"Lausanne, Switzerland","Postdoc @TheLutolfLab. Alumni @ZenobiWongLab, Bradke lab. Hydrogels supporting/guiding axonal growth, 2PP, CRC, organoids, scRNAseq, & bioengineering in general",,,[],False,267,732,0,Mon Jan 28 00:08:29 +0000 2019,1139,,,False,False,217,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1102366410125262848/UtnqUJbx_normal.jpg,https://pbs.twimg.com/profile_images/1102366410125262848/UtnqUJbx_normal.jpg,https://pbs.twimg.com/profile_banners/1089676549014593539/1550969508,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Wed Jan 22 08:45:48 +0000 2020,1.2199039792468378e+18,1219903979246837765,"Nicolas Broguiere @NicoBroguiere (@EPFL, Lausanne) presents a great overview of advances in organoid generation and use to study human disease #AssisesGenetique",False,"[0, 160]","[{'text': 'AssisesGenetique', 'indices': [143, 160]}]",[],"[{'screen_name': 'NicoBroguiere', 'name': 'Nicolas Broguiere', 'id': 1089676549014593539, 'id_str': '1089676549014593539', 'indices': [18, 32]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [34, 39]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,2529586874.0,2529586874,Svetlana Gorokhova,SGorokhova,"Marseille, France","Svetlana Gorokhova, M.D., Ph.D., is working in Marseille Medical Genetics laboratory and La Timone Hospital in Marseille, France",https://t.co/oKtNG3Sx0F,[],False,231.0,269.0,9.0,Wed May 28 09:35:09 +0000 2014,1168.0,,,False,False,1167.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/504176596152889344/OTfar2Qu_normal.png,https://pbs.twimg.com/profile_images/504176596152889344/OTfar2Qu_normal.png,https://pbs.twimg.com/profile_banners/2529586874/1561028300,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,2.0,7.0,False,False,en,"[{'url': 'https://t.co/oKtNG3Sx0F', 'expanded_url': 'http://www.marseille-medical-genetics.org', 'display_url': 'marseille-medical-genetics.org', 'indices': [0, 23]}]"
25,Mon Jan 20 12:29:58 +0000 2020,1219235618242416640,1219235618242416640,"@ProfBenEggleton @EPFL Welcome to EPFL Ben, and see you soon!",False,"[23, 61]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2192166161871421e+18,1219216616187142144,2379384800.0,2379384800,ProfBenEggleton,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ProfBenEggleton', 'name': 'Benjamin Eggleton', 'id': 2379384800, 'id_str': '2379384800', 'indices': [0, 16]}, {'screen_name': 'EPFL', 'name': 'EPFL', 'id': 108364911, 'id_str': '108364911', 'indices': [17, 22]}]",[],en,recent,973211619902787585,973211619902787585,Hatice Altug,EPFL_altug_lab,"Lausanne, Switzerland","EPFL Laboratory of BioNanoPhotonic Systems, #plasmonics, #biosensors, #nanophotonics, @EPFL_en",https://t.co/uKy5oN5sxr,"[{'url': 'https://t.co/uKy5oN5sxr', 'expanded_url': 'https://bios.epfl.ch/', 'display_url': 'bios.epfl.ch', 'indices': [0, 23]}]",[],False,571,120,9,Mon Mar 12 14:58:26 +0000 2018,297,,,False,False,126,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1059407285229891584/moIOlBIB_normal.jpg,https://pbs.twimg.com/profile_images/1059407285229891584/moIOlBIB_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
