,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
5,Sat Jan 25 18:20:09 +0000 2020,1221135686658592769,1221135686658592769,I didn’t tag @UCF 😢 #ChargeOn,False,"[0, 29]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211340770314813e+18,1221134077031481346,3016543364.0,3016543364,SWilkenJCA,,,,,False,0,1,False,False,en,"[{'text': 'ChargeOn', 'indices': [20, 29]}]",[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [13, 17]}]",[],en,recent,3016543364,3016543364,Stephanie A. Wilken,SWilkenJCA,KCMO,Sports & Community Editor @JCANewspaper and proud @UCF alumna #Go1and0 swilken@jcadvocate.com,https://t.co/j82ZKX2zMb,"[{'url': 'https://t.co/j82ZKX2zMb', 'expanded_url': 'http://www.jcadvocate.com/p/subscribe.html', 'display_url': 'jcadvocate.com/p/subscribe.ht…', 'indices': [0, 23]}]",[],False,731,1038,36,Tue Feb 10 14:36:36 +0000 2015,95639,,,True,False,34970,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220924646620569601/kVLPtSe2_normal.jpg,https://pbs.twimg.com/profile_images/1220924646620569601/kVLPtSe2_normal.jpg,https://pbs.twimg.com/profile_banners/3016543364/1573618820,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526edd24c06e60c,https://api.twitter.com/1.1/geo/id/2526edd24c06e60c.json,admin,Missouri,"Missouri, USA",US,United States,[],Polygon,"[[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]]"
6,Sat Jan 25 16:35:12 +0000 2020,1221109272567742471,1221109272567742471,"@UCFKnightsNatn @UCFSG @UCF @ThadSeymour As someone who is terrified of heights, I can't imagine painting this... even the thought of overseeing the progress from the top is giving me butterflies in my stomach.",False,"[41, 210]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207733286019318e+18,1220773328601931780,7.765453708265431e+17,776545370826543105,UCFKnightsNatn,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UCFKnightsNatn', 'name': 'UCF Knights Nation', 'id': 776545370826543105, 'id_str': '776545370826543105', 'indices': [0, 15]}, {'screen_name': 'UCFSG', 'name': 'UCF Student Government', 'id': 162097285, 'id_str': '162097285', 'indices': [16, 22]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [23, 27]}, {'screen_name': 'ThadSeymour', 'name': 'Thad Seymour', 'id': 256726086, 'id_str': '256726086', 'indices': [28, 40]}]",[],en,recent,958342435633074176,958342435633074176,𝔖𝔲𝔟𝔩𝔦𝔪𝔢 𝕂𝕟𝕚𝕘𝕙𝕥,Sublime_Knight,,"UCF sports, anti-political politics, nerdy coding stuff, humor in everything
#ChargeOn
#Or1and0",,,[],False,423,363,4,Tue Jan 30 14:13:36 +0000 2018,14278,,,True,False,6063,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/958344726830309376/5kzpDcCF_normal.jpg,https://pbs.twimg.com/profile_images/958344726830309376/5kzpDcCF_normal.jpg,https://pbs.twimg.com/profile_banners/958342435633074176/1559915926,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fri Jan 24 22:15:10 +0000 2020,1220832438768865283,1220832438768865283,@rob_dvorakPhD @SudsUse @DeArdhys @UCF Congrats @DeArdhys !!! 🥳🤩,False,"[39, 64]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207507653393572e+18,1220750765339357184,3004635855.0,3004635855,rob_dvorakPhD,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'rob_dvorakPhD', 'name': 'Rob Dvorak', 'id': 3004635855, 'id_str': '3004635855', 'indices': [0, 14]}, {'screen_name': 'SudsUse', 'name': 'Substance Use Dialogues', 'id': 1175899950519074816, 'id_str': '1175899950519074816', 'indices': [15, 23]}, {'screen_name': 'DeArdhys', 'name': 'Ardhys De Leon', 'id': 1136426297662554118, 'id_str': '1136426297662554118', 'indices': [24, 33]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [34, 38]}, {'screen_name': 'DeArdhys', 'name': 'Ardhys De Leon', 'id': 1136426297662554118, 'id_str': '1136426297662554118', 'indices': [48, 57]}]",[],en,recent,1167436211767504896,1167436211767504896,Roselyn Peterson,RoselynPeters16,University of Central Florida,"Clinical Psych PhD student @UCF Previous Research Coordinator @UW Researching adverse sexual outcomes, protective behavioral strategies, 🍺 and 💊 use @SudsUse",,,[],False,157,530,0,Fri Aug 30 13:59:29 +0000 2019,171,,,False,False,41,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1189505840342093824/dgKFnQIo_normal.jpg,https://pbs.twimg.com/profile_images/1189505840342093824/dgKFnQIo_normal.jpg,https://pbs.twimg.com/profile_banners/1167436211767504896/1572435268,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fri Jan 24 22:14:23 +0000 2020,1220832245172314112,1220832245172314112,Congratulations to @nataly_chandia on her promotion to associate vice president for @UCFIntl! Since 2003 Nataly has been an advocate for international students and scholars at @UCF. We look forward to the great things we’ll accomplish together for our #globalknights!,False,"[0, 267]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,7,False,False,en,"[{'text': 'globalknights', 'indices': [252, 266]}]",[],"[{'screen_name': 'nataly_chandia', 'name': 'Nataly Chandia', 'id': 992724171284254721, 'id_str': '992724171284254721', 'indices': [19, 34]}, {'screen_name': 'UCFIntl', 'name': 'UCF Global', 'id': 48763876, 'id_str': '48763876', 'indices': [84, 92]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [176, 180]}]",[],en,recent,48763876,48763876,UCF Global,UCFIntl,"Orlando, FL","Providing access to high-impact, international experiences across the UCF and global community. #ucf #ucfglobal #GlobalKnights

ig : @ucfinternational",https://t.co/PePFqK4Hi8,"[{'url': 'https://t.co/PePFqK4Hi8', 'expanded_url': 'http://www.global.ucf.edu', 'display_url': 'global.ucf.edu', 'indices': [0, 23]}]",[],False,604,400,27,Fri Jun 19 17:12:15 +0000 2009,259,,,True,False,530,,False,False,False,5297C9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1171437239194095617/ym3W67ev_normal.jpg,https://pbs.twimg.com/profile_images/1171437239194095617/ym3W67ev_normal.jpg,https://pbs.twimg.com/profile_banners/48763876/1568127474,FFCC00,898278,F9F4EE,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07d9ec9068883004,https://api.twitter.com/1.1/geo/id/07d9ec9068883004.json,poi,University of Central Florida,University of Central Florida,US,United States,[],Polygon,"[[[-81.20218276977539, 28.601214623080452], [-81.20218276977539, 28.601214623080452], [-81.20218276977539, 28.601214623080452], [-81.20218276977539, 28.601214623080452]]]"
18,Fri Jan 24 20:48:40 +0000 2020,1220810672826736641,1220810672826736641,"RT @UCF: @MarchingKnights Happy, happy birthday to a UCF legend!",False,"[0, 64]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [3, 7]}, {'screen_name': 'MarchingKnights', 'name': 'UCF Marching Knights', 'id': 272136566, 'id_str': '272136566', 'indices': [9, 25]}]",[],en,recent,952761217579397120,952761217579397120,David Brice,davidclaybrice,"MCO, GNV, MEM","Postdoctoral researcher at @StJude. @UCF and @UF grad. Retweeted by @midnight once, so I guess I can be funny",,,[],False,157,482,1,Mon Jan 15 04:35:50 +0000 2018,42602,,,True,False,926,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/952771788538368007/g2hYfrRU_normal.jpg,https://pbs.twimg.com/profile_images/952771788538368007/g2hYfrRU_normal.jpg,https://pbs.twimg.com/profile_banners/952761217579397120/1541706599,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Fri Jan 24 20:36:44 +0000 2020,1.2208076687192146e+18,1220807668719214592,"@MarchingKnights Happy, happy birthday to a UCF legend!",False,"[17, 55]",[],[],"[{'screen_name': 'MarchingKnights', 'name': 'UCF Marching Knights', 'id': 272136566, 'id_str': '272136566', 'indices': [0, 16]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220707829054673e+18,1220707829054672897,272136566.0,272136566,MarchingKnights,18999501.0,18999501,UCF,UCF,"Orlando, Florida","University of Central Florida. Committed to student success, @UCFALUMNI, innovation and faculty excellence. Go @UCFKnights. #ChargeOn | https://t.co/PpKaO1mUOF",https://t.co/T4HPl8hPpv,"[{'url': 'https://t.co/PpKaO1mUOF', 'expanded_url': 'http://instagram.com/ucf.edu', 'display_url': 'instagram.com/ucf.edu', 'indices': [136, 159]}]",False,178376.0,1217.0,780.0,Wed Jan 14 22:34:41 +0000 2009,32879.0,,,True,True,24460.0,,False,False,False,FFCC00,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_banners/18999501/1578087821,FFC904,FFFFFF,CCCCCC,333333,False,True,False,False,False,False,False,none,,,,,False,1.0,15.0,False,False,en,"[{'url': 'https://t.co/T4HPl8hPpv', 'expanded_url': 'http://www.ucf.edu', 'display_url': 'ucf.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 20:31:44 +0000 2020,1220806408997933056,1220806408997933056,Everyone should just come to UCF @UCF It’s so lit,False,"[0, 49]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,7,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [33, 37]}]",[],en,recent,1635806432,1635806432,cristian roldan,cristianxroldan,,UCF 2023,,,[],False,306,246,1,Wed Jul 31 15:57:38 +0000 2013,491,,,True,False,333,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1009148626214506497/WkjyErRm_normal.jpg,https://pbs.twimg.com/profile_images/1009148626214506497/WkjyErRm_normal.jpg,https://pbs.twimg.com/profile_banners/1635806432/1529434865,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 18:23:57 +0000 2020,1220774254100320263,1220774254100320263,"@UCFKnightsNatn @UCFSG @UCF @ThadSeymour For fun I dabble in uniform design, I've wanted to use the water tower font on a white helmet for so long lmao I love how retro it is",False,"[41, 174]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207733286019318e+18,1220773328601931780,7.765453708265431e+17,776545370826543105,UCFKnightsNatn,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UCFKnightsNatn', 'name': 'UCF Knights Nation', 'id': 776545370826543105, 'id_str': '776545370826543105', 'indices': [0, 15]}, {'screen_name': 'UCFSG', 'name': 'UCF Student Government', 'id': 162097285, 'id_str': '162097285', 'indices': [16, 22]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [23, 27]}, {'screen_name': 'ThadSeymour', 'name': 'Thad Seymour', 'id': 256726086, 'id_str': '256726086', 'indices': [28, 40]}]",[],en,recent,1217212588150476800,1217212588150476800,Fifth Quarter UCF,fqucf,The Bounce House,@FifthQuartercfb Account for your UCF Knights #GKCO ⚔️⚡➡️ https://t.co/crwl3hzpFu,https://t.co/I3ZoaflWj2,"[{'url': 'https://t.co/I3ZoaflWj2', 'expanded_url': 'http://fifthquarter.net', 'display_url': 'fifthquarter.net', 'indices': [0, 23]}]","[{'url': 'https://t.co/crwl3hzpFu', 'expanded_url': 'http://tampashometownteam.com', 'display_url': 'tampashometownteam.com', 'indices': [58, 81]}]",False,131,162,1,Tue Jan 14 22:31:27 +0000 2020,677,,,False,False,425,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1217213329619460097/voySE-Gd_normal.jpg,https://pbs.twimg.com/profile_images/1217213329619460097/voySE-Gd_normal.jpg,https://pbs.twimg.com/profile_banners/1217212588150476800/1579045868,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Fri Jan 24 17:57:21 +0000 2020,1220767558099460097,1220767558099460097,@UCF @__jazzbabe__ YOU x 1000,False,"[5, 29]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204596921509396e+18,1220459692150939649,18999501.0,18999501,UCF,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [0, 4]}, {'screen_name': '__jazzbabe__', 'name': 'Jazlynne Williams', 'id': 618489504, 'id_str': '618489504', 'indices': [5, 18]}]",[],en,recent,2787055814,2787055814,Victoria Weston,_victoriaweston,"Orlando, Florida",Content creator & arts marketer for @UCFCAH. UCF Alumna '15 '18MA. I post so much on my work profiles I forget to post on my own. 🌱,https://t.co/ZBxoe8Qiop,"[{'url': 'https://t.co/ZBxoe8Qiop', 'expanded_url': 'http://veweston.weebly.com', 'display_url': 'veweston.weebly.com', 'indices': [0, 23]}]",[],False,68,233,2,Wed Sep 03 01:08:44 +0000 2014,1167,,,True,False,428,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1107216659440373760/CvM_4YpP_normal.jpg,https://pbs.twimg.com/profile_images/1107216659440373760/CvM_4YpP_normal.jpg,https://pbs.twimg.com/profile_banners/2787055814/1527189721,0084B4,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 17:49:53 +0000 2020,1220765679441391618,1220765679441391618,Congratulations to @ucfbhc @ucf Dean Sheila Pineres winner of this years @ACADeans Award for Excellence in Leadership! #aacu2020,False,"[0, 128]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,2,False,False,en,"[{'text': 'aacu2020', 'indices': [119, 128]}]",[],"[{'screen_name': 'ucfbhc', 'name': 'UCF Burnett Honors College', 'id': 1173948726554976256, 'id_str': '1173948726554976256', 'indices': [19, 26]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [27, 31]}, {'screen_name': 'ACADeans', 'name': 'ACAD', 'id': 2559518802, 'id_str': '2559518802', 'indices': [73, 82]}]",[],en,recent,817042993823748096,817042993823748096,"Bridget Keegan, PhD",CCAS_Dean,"Omaha, NE","Official account of Bridget Keegan, PhD, professor of English, Dean of College of Arts and Sciences @Creighton_CCAS @Creighton",https://t.co/WkkRL6dUR6,"[{'url': 'https://t.co/WkkRL6dUR6', 'expanded_url': 'https://ccas.creighton.edu/', 'display_url': 'ccas.creighton.edu', 'indices': [0, 23]}]",[],False,511,421,3,Thu Jan 05 16:20:04 +0000 2017,2401,,,True,False,324,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1096160091659632641/-JYii7DN_normal.png,https://pbs.twimg.com/profile_images/1096160091659632641/-JYii7DN_normal.png,https://pbs.twimg.com/profile_banners/817042993823748096/1550180180,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Fri Jan 24 16:25:14 +0000 2020,1220744376491462661,1220744376491462661,@dtdumke @jmeacham @UCF @WUCFTV Look at you!,False,"[32, 44]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207387122390835e+18,1220738712239083520,898932872.0,898932872,dtdumke,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'dtdumke', 'name': 'David Dumke', 'id': 898932872, 'id_str': '898932872', 'indices': [0, 8]}, {'screen_name': 'jmeacham', 'name': 'Jon Meacham', 'id': 286339472, 'id_str': '286339472', 'indices': [9, 18]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [19, 23]}, {'screen_name': 'WUCFTV', 'name': 'WUCF TV', 'id': 305096052, 'id_str': '305096052', 'indices': [24, 31]}]",[],en,recent,1702950637,1702950637,MRButz,Lamprey007,,"Dad, scientist, healthcare QI, rational liberal, Anti-Trump, Eagle Scout, Deadhead",,,[],False,62,88,0,Mon Aug 26 21:00:35 +0000 2013,3927,,,False,False,5132,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000370381404/958a2a280a8d20456d7896d055774c51_normal.jpeg,https://pbs.twimg.com/profile_images/378800000370381404/958a2a280a8d20456d7896d055774c51_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
