,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.profile_banner_url,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
0,Sat Jan 25 16:29:27 +0000 2020,1221107824907952128,1221107824907952128,@GGVanRyzin @UNOSPA @UNOmaha Thank you @GGVanRyzin for being such a supportive and encouraging advisor 😀 !!,False,"[29, 107]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2209019885709312e+18,1220901988570931200,3191378471.0,3191378471,GGVanRyzin,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'GGVanRyzin', 'name': 'Gregg Van Ryzin', 'id': 3191378471, 'id_str': '3191378471', 'indices': [0, 11]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [12, 19]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [20, 28]}, {'screen_name': 'GGVanRyzin', 'name': 'Gregg Van Ryzin', 'id': 3191378471, 'id_str': '3191378471', 'indices': [39, 50]}]",[],en,recent,1005459706771623936,1005459706771623936,Danbee Lee,DanbeeLee1,"New Jersey, USA",PhD candidate | @RutgersSPAA | Public Management | Organizational Theory & Behavior | Bureaucratic Reputation | Local Government,https://t.co/UgcVXWaAJU,"[{'url': 'https://t.co/UgcVXWaAJU', 'expanded_url': 'http://danbeelee.net', 'display_url': 'danbeelee.net', 'indices': [0, 23]}]",[],False,294,242,2,Sat Jun 09 14:40:49 +0000 2018,1089,,,False,False,153,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,https://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat Jan 25 16:26:08 +0000 2020,1221106989754933249,1221106989754933249,@selotus @UNOSPA @UNOmaha Thank you @selotus !!,False,"[26, 47]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205946522328392e+18,1220594652232839168,185512987.0,185512987,selotus,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'selotus', 'name': 'Sanghee Park', 'id': 185512987, 'id_str': '185512987', 'indices': [0, 8]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [9, 16]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [17, 25]}, {'screen_name': 'selotus', 'name': 'Sanghee Park', 'id': 185512987, 'id_str': '185512987', 'indices': [36, 44]}]",[],en,recent,1005459706771623936,1005459706771623936,Danbee Lee,DanbeeLee1,"New Jersey, USA",PhD candidate | @RutgersSPAA | Public Management | Organizational Theory & Behavior | Bureaucratic Reputation | Local Government,https://t.co/UgcVXWaAJU,"[{'url': 'https://t.co/UgcVXWaAJU', 'expanded_url': 'http://danbeelee.net', 'display_url': 'danbeelee.net', 'indices': [0, 23]}]",[],False,294,242,2,Sat Jun 09 14:40:49 +0000 2018,1089,,,False,False,153,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,https://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 02:51:31 +0000 2020,1220901988570931200,1220901988570931200,"@DanbeeLee1 @UNOSPA @UNOmaha Congratulations, Danbee—you’ll be a great addition to a distinguished faculty @UNOSPA",False,"[29, 114]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196714755459523e+18,1219671475545952262,1.005459706771624e+18,1005459706771623936,DanbeeLee1,,,,,False,0,5,False,False,en,[],[],"[{'screen_name': 'DanbeeLee1', 'name': 'Danbee Lee', 'id': 1005459706771623936, 'id_str': '1005459706771623936', 'indices': [0, 11]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [12, 19]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [20, 28]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [107, 114]}]",[],en,recent,3191378471,3191378471,Gregg Van Ryzin,GGVanRyzin,Rutgers University,Social scientist and professor of public affairs and administration,https://t.co/XrTMGNNRM7,"[{'url': 'https://t.co/XrTMGNNRM7', 'expanded_url': 'https://spaa.newark.rutgers.edu/gregg-vanryzin', 'display_url': 'spaa.newark.rutgers.edu/gregg-vanryzin', 'indices': [0, 23]}]",[],False,1142,488,20,Tue Apr 21 16:17:41 +0000 2015,506,,,False,False,113,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1007716614652026880/PCsAHK8l_normal.jpg,https://pbs.twimg.com/profile_images/1007716614652026880/PCsAHK8l_normal.jpg,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3191378471/1532101992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fri Jan 24 15:53:38 +0000 2020,1220736423759761409,1220736423759761409,@JoinTAGG @UNOmaha @UNO_DM @UNOdanceteam Help retweet this!!!!  @UNOmavmaniacs @Mavpuck @unocowbell @MavPro @SGUNO @MavActivities @RedArmyOmaha,False,"[41, 143]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207291407158477e+18,1220729140715847681,714298230.0,714298230,JoinTAGG,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JoinTAGG', 'name': 'TAGG', 'id': 714298230, 'id_str': '714298230', 'indices': [0, 9]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [10, 18]}, {'screen_name': 'UNO_DM', 'name': 'UNO Dance Marathon', 'id': 756284087568965633, 'id_str': '756284087568965633', 'indices': [19, 26]}, {'screen_name': 'UNOdanceteam', 'name': 'UNO Dance Team', 'id': 250726615, 'id_str': '250726615', 'indices': [27, 40]}, {'screen_name': 'UNOmavmaniacs', 'name': 'UNO Maverick Maniacs', 'id': 3392789213, 'id_str': '3392789213', 'indices': [64, 78]}, {'screen_name': 'Mavpuck', 'name': 'Mavpuck', 'id': 23385603, 'id_str': '23385603', 'indices': [79, 87]}, {'screen_name': 'unocowbell', 'name': 'UNO Cowbell', 'id': 1024789261, 'id_str': '1024789261', 'indices': [88, 99]}, {'screen_name': 'MavPro', 'name': 'Maverick Productions', 'id': 55621655, 'id_str': '55621655', 'indices': [100, 107]}, {'screen_name': 'SGUNO', 'name': 'Student Government', 'id': 104927978, 'id_str': '104927978', 'indices': [108, 114]}, {'screen_name': 'MavActivities', 'name': 'Office of Student Involvement', 'id': 1563845102, 'id_str': '1563845102', 'indices': [115, 129]}, {'screen_name': 'RedArmyOmaha', 'name': 'The Red Army', 'id': 80974227, 'id_str': '80974227', 'indices': [130, 143]}]",[],en,recent,3286865402,3286865402,Bill Pickett,billpickett78,"Omaha, NE","Father, husband, crazy dude who loves food, traveling, and music. Director, Milo Bail Student Center and Spirit and Tradition at University of Nebraska Omaha.",,,[],False,622,382,3,Tue Jul 21 21:32:50 +0000 2015,4621,,,True,False,2390,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/641695093385072640/SZDfDJ-7_normal.jpg,https://pbs.twimg.com/profile_images/641695093385072640/SZDfDJ-7_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fri Jan 24 15:52:02 +0000 2020,1220736023606394881,1220736023606394881,@JoinTAGG @UNOmaha @UNO_DM @UNOdanceteam That's me!!!!,False,"[41, 54]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207291407158477e+18,1220729140715847681,714298230.0,714298230,JoinTAGG,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JoinTAGG', 'name': 'TAGG', 'id': 714298230, 'id_str': '714298230', 'indices': [0, 9]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [10, 18]}, {'screen_name': 'UNO_DM', 'name': 'UNO Dance Marathon', 'id': 756284087568965633, 'id_str': '756284087568965633', 'indices': [19, 26]}, {'screen_name': 'UNOdanceteam', 'name': 'UNO Dance Team', 'id': 250726615, 'id_str': '250726615', 'indices': [27, 40]}]",[],en,recent,3286865402,3286865402,Bill Pickett,billpickett78,"Omaha, NE","Father, husband, crazy dude who loves food, traveling, and music. Director, Milo Bail Student Center and Spirit and Tradition at University of Nebraska Omaha.",,,[],False,622,382,3,Tue Jul 21 21:32:50 +0000 2015,4621,,,True,False,2390,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/641695093385072640/SZDfDJ-7_normal.jpg,https://pbs.twimg.com/profile_images/641695093385072640/SZDfDJ-7_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Thu Jan 23 18:03:02 +0000 2020,1220406599564644352,1220406599564644352,@deBoerNoortje @UNOSPA @UNOmaha Thank you so much @deBoerNoortje !,False,"[32, 66]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203333629483336e+18,1220333362948333569,8.224540619957903e+17,822454061995790336,deBoerNoortje,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'deBoerNoortje', 'name': 'Noor(tje) de Boer', 'id': 822454061995790336, 'id_str': '822454061995790336', 'indices': [0, 14]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [15, 22]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [23, 31]}, {'screen_name': 'deBoerNoortje', 'name': 'Noor(tje) de Boer', 'id': 822454061995790336, 'id_str': '822454061995790336', 'indices': [50, 64]}]",[],en,recent,1005459706771623936,1005459706771623936,Danbee Lee,DanbeeLee1,"New Jersey, USA",PhD candidate | @RutgersSPAA | Public Management | Organizational Theory & Behavior | Bureaucratic Reputation | Local Government,https://t.co/UgcVXWaAJU,"[{'url': 'https://t.co/UgcVXWaAJU', 'expanded_url': 'http://danbeelee.net', 'display_url': 'danbeelee.net', 'indices': [0, 23]}]",[],False,294,242,2,Sat Jun 09 14:40:49 +0000 2018,1089,,,False,False,153,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,https://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Thu Jan 23 17:59:20 +0000 2020,1220405670643716097,1220405670643716097,@SueAGardner @UNOSPA @UNOmaha Thank you @SueAGardner ! Looking forward to meeting you as well!,False,"[30, 94]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220301430378193e+18,1220301430378192901,16882405.0,16882405,SueAGardner,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SueAGardner', 'name': 'S. Gardner', 'id': 16882405, 'id_str': '16882405', 'indices': [0, 12]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [13, 20]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [21, 29]}, {'screen_name': 'SueAGardner', 'name': 'S. Gardner', 'id': 16882405, 'id_str': '16882405', 'indices': [40, 52]}]",[],en,recent,1005459706771623936,1005459706771623936,Danbee Lee,DanbeeLee1,"New Jersey, USA",PhD candidate | @RutgersSPAA | Public Management | Organizational Theory & Behavior | Bureaucratic Reputation | Local Government,https://t.co/UgcVXWaAJU,"[{'url': 'https://t.co/UgcVXWaAJU', 'expanded_url': 'http://danbeelee.net', 'display_url': 'danbeelee.net', 'indices': [0, 23]}]",[],False,294,242,2,Sat Jun 09 14:40:49 +0000 2018,1089,,,False,False,153,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,https://pbs.twimg.com/profile_images/1091079391814270981/fnZ8yIVR_normal.jpg,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Wed Jan 22 20:23:58 +0000 2020,1220079680277164036,1220079680277164036,RT @corakirbyy: Good morning to everyone except for @UNOmaha,False,"[0, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,15,0,False,False,en,[],[],"[{'screen_name': 'corakirbyy', 'name': 'Cora Kirby', 'id': 445791044, 'id_str': '445791044', 'indices': [3, 14]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [52, 60]}]",[],en,recent,2855994941,2855994941,𝑵𝒀𝑨,nyaakot,"Omaha, NE",UNOmaha ☆ sc: nyakot.chol,https://t.co/r0mebPapDq,"[{'url': 'https://t.co/r0mebPapDq', 'expanded_url': 'http://Instagram.com/nyaakot', 'display_url': 'Instagram.com/nyaakot', 'indices': [0, 23]}]",[],False,729,624,2,Sun Nov 02 01:56:20 +0000 2014,15834,,,True,False,19816,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1218023965286858752/g5iIfQn0_normal.jpg,https://pbs.twimg.com/profile_images/1218023965286858752/g5iIfQn0_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2855994941/1579234518,Wed Jan 22 13:39:42 +0000 2020,1.21997794197683e+18,1219977941976829952,Good morning to everyone except for @UNOmaha,False,"[0, 44]",[],[],"[{'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [36, 44]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,445791044.0,445791044,Cora Kirby,corakirbyy,,uno music ed ‘22 / zta,,,[],False,928.0,441.0,0.0,Sat Dec 24 21:49:29 +0000 2011,28992.0,,,True,False,12796.0,,False,False,False,F2E2D6,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1213161165674680320/NFmc72Jr_normal.jpg,https://pbs.twimg.com/profile_images/1213161165674680320/NFmc72Jr_normal.jpg,2483CC,5EA1A6,E51293,BEAE8F,True,True,False,False,False,False,False,none,,,,,False,15.0,150.0,False,False,en,,,,,,,,,,,https://pbs.twimg.com/profile_banners/445791044/1578075138,,,,,,,,,,
26,Wed Jan 22 18:41:33 +0000 2020,1220053906799067136,1220053906799067136,"@UNOmaha stayed open while public schools closed, but the kids all managed to have their e-learning done by time I got home! They’re getting a little too comfortable with this “homeschool” thing! @MillardPS @EzraElementary",False,"[0, 222]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,16809032.0,16809032,UNOmaha,,,,,False,1,5,False,False,en,[],[],"[{'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [0, 8]}, {'screen_name': 'MillardPS', 'name': 'Millard Public Schools', 'id': 989002188, 'id_str': '989002188', 'indices': [196, 206]}, {'screen_name': 'EzraElementary', 'name': 'Ezra Millard', 'id': 2917937113, 'id_str': '2917937113', 'indices': [207, 222]}]",[],en,recent,587809114,587809114,Tonja Sullivan,NavillusTonja,"Omaha, NE","Mom of 4, wife to 1, educational assistant @WMS and Elementary Ed Student @uno",,,[],False,50,94,0,Tue May 22 22:39:22 +0000 2012,84,,,True,False,447,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1218233123588268033/-p0QSDyq_normal.jpg,https://pbs.twimg.com/profile_images/1218233123588268033/-p0QSDyq_normal.jpg,0099B9,5ED4DC,95E8EC,3C3940,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Wed Jan 22 18:28:51 +0000 2020,1220050710693212160,1220050710693212160,@DanbeeLee1 @UNOSPA @UNOmaha Big congrats Danbee!!,False,"[29, 50]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196714755459523e+18,1219671475545952262,1.005459706771624e+18,1005459706771623936,DanbeeLee1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DanbeeLee1', 'name': 'Danbee Lee', 'id': 1005459706771623936, 'id_str': '1005459706771623936', 'indices': [0, 11]}, {'screen_name': 'UNOSPA', 'name': 'UNO School of PubAd', 'id': 58022478, 'id_str': '58022478', 'indices': [12, 19]}, {'screen_name': 'UNOmaha', 'name': 'University of Nebraska at Omaha', 'id': 16809032, 'id_str': '16809032', 'indices': [20, 28]}]",[],en,recent,1056246803300057088,1056246803300057088,Roger Qiyuan Jin,RogerQJin,,"Assistant Professor of Public Administration @CSUDH, PhD from @UGA_PA_Policy",https://t.co/U8Ww3oFvrP,"[{'url': 'https://t.co/U8Ww3oFvrP', 'expanded_url': 'https://scholar.google.com/citations?hl=en&user=i6van_wAAAAJ', 'display_url': 'scholar.google.com/citations?hl=e…', 'indices': [0, 23]}]",[],False,80,106,0,Sat Oct 27 18:10:36 +0000 2018,193,,,False,False,55,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1172767754526412802/1cSpNkws_normal.jpg,https://pbs.twimg.com/profile_images/1172767754526412802/1cSpNkws_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
