,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
8,Sat Jan 25 04:33:55 +0000 2020,1220927757342904325,1220927757342904325,"@unccharlotte dont even realize how vast the effect of having an email for 4yrs then suddenly disabling our account. If that's the case, let ppl use their personal email for 4yrs so they never have to run into this. Bills, services, apps are literally tied to this account. Clowns",False,"[0, 280]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,281285283.0,281285283,unccharlotte,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [0, 13]}]",[],en,recent,2767185170,2767185170,Nicholas Charley,NCharleyuncc,,#UNCC Alumnus. Constructively Disruptive,,[],False,46,48,0,Mon Aug 25 17:36:50 +0000 2014,1115,,,False,False,1624,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/985548947962974213/POIwBt1h_normal.jpg,https://pbs.twimg.com/profile_images/985548947962974213/POIwBt1h_normal.jpg,https://pbs.twimg.com/profile_banners/2767185170/1554866329,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fri Jan 24 20:00:21 +0000 2020,1220798511383531522,1220798511383531522,@MsRiversACHS @UNC @NCState @DukeU @unccharlotte @EastCarolina @WCU @DavidsonCollege @WakeForest @campbelledu We’d love for Aggie Pride to be represented! Please send an email to rjworthy@ncat.edu and we will send one to you 💙💛.,False,"[110, 228]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207146325636792e+18,1220714632563679233,2441011077.0,2441011077,MsRiversACHS,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [0, 13]}, {'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [14, 18]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [19, 27]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [28, 34]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [35, 48]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [49, 62]}, {'screen_name': 'WCU', 'name': 'Western Carolina University', 'id': 16349298, 'id_str': '16349298', 'indices': [63, 67]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [68, 84]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [85, 96]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [97, 109]}]",[],en,recent,80351365,80351365,NC A&T Admissions,NCATAdmissions,"Greensboro, NC",Office of Undergraduate Admissions,https://t.co/fDqV5q9ZCs,[],False,3242,359,40,Tue Oct 06 17:11:42 +0000 2009,4566,,,True,False,5458,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/659807549198368769/cE4rdDAU_normal.png,https://pbs.twimg.com/profile_images/659807549198368769/cE4rdDAU_normal.png,https://pbs.twimg.com/profile_banners/80351365/1415278547,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/fDqV5q9ZCs', 'expanded_url': 'http://www.ncat.edu/admissions/undergraduate', 'display_url': 'ncat.edu/admissions/und…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fri Jan 24 17:32:00 +0000 2020,1220761177766158336,1220761177766158336,@MsRiversACHS @UNC @NCState @DukeU @unccharlotte @NCATAdmissions @EastCarolina @WCU @DavidsonCollege @WakeForest @campbelledu We’d love to send a WFU pennant your way! DM us your address. 🎩 #godeacs,False,"[126, 198]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207146325636792e+18,1220714632563679233,2441011077.0,2441011077,MsRiversACHS,,,,,False,0,9,False,False,en,"[{'text': 'godeacs', 'indices': [190, 198]}]",[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [0, 13]}, {'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [14, 18]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [19, 27]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [28, 34]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [35, 48]}, {'screen_name': 'NCATAdmissions', 'name': 'NC A&T Admissions', 'id': 80351365, 'id_str': '80351365', 'indices': [49, 64]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [65, 78]}, {'screen_name': 'WCU', 'name': 'Western Carolina University', 'id': 16349298, 'id_str': '16349298', 'indices': [79, 83]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [84, 100]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [101, 112]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [113, 125]}]",[],en,recent,1901670500,1901670500,Wake Forest Alumni,WFUAlumni,"Winston-Salem, NC",Cultivating goodwill and engagement between Deacons everywhere and @WakeForest. The official voice of the Office of Alumni Engagement. #WFUAlumni,https://t.co/0GtrFmKEtJ,[],False,2892,518,38,Tue Sep 24 20:27:39 +0000 2013,7647,,,True,False,4104,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/598138664246448128/qPF8R_iI_normal.jpg,https://pbs.twimg.com/profile_images/598138664246448128/qPF8R_iI_normal.jpg,https://pbs.twimg.com/profile_banners/1901670500/1579878098,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/0GtrFmKEtJ', 'expanded_url': 'http://alumni.wfu.edu', 'display_url': 'alumni.wfu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Fri Jan 24 16:44:42 +0000 2020,1220749274130132997,1220749274130132997,@MsRiversACHS @UNC @NCState @DukeU @unccharlotte @NCATAdmissions @EastCarolina @DavidsonCollege @WakeForest @campbelledu Email our admissions office at admiss@wcu.edu!,False,"[121, 167]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207146325636792e+18,1220714632563679233,2441011077.0,2441011077,MsRiversACHS,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [0, 13]}, {'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [14, 18]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [19, 27]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [28, 34]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [35, 48]}, {'screen_name': 'NCATAdmissions', 'name': 'NC A&T Admissions', 'id': 80351365, 'id_str': '80351365', 'indices': [49, 64]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [65, 78]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [79, 95]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [96, 107]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [108, 120]}]",[],en,recent,16349298,16349298,Western Carolina University,WCU,"Cullowhee, NC","We look for students who fight for success. Who are ready to explore, challenge themselves, and work harder for their ambitions. RTs are not endorsements.",https://t.co/c4jHvhRnES,[],False,18807,750,181,Thu Sep 18 16:57:35 +0000 2008,11488,,,True,True,17817,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/925766074481590272/x1OqMteU_normal.jpg,https://pbs.twimg.com/profile_images/925766074481590272/x1OqMteU_normal.jpg,https://pbs.twimg.com/profile_banners/16349298/1551889701,4D038A,FFFFFF,C6A85E,401683,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/c4jHvhRnES', 'expanded_url': 'http://wcu.edu', 'display_url': 'wcu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fri Jan 24 12:04:55 +0000 2020,1220678865405661185,1220678865405661185,"@clestancona @jamesigoewalsh @unccharlotte @UofSC @HighPointU So cool! Congrats, sure it'll be fantastic.",False,"[62, 105]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206773688487977e+18,1220677368848797696,55735501.0,55735501,clestancona,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'clestancona', 'name': 'Chelsea Estancona', 'id': 55735501, 'id_str': '55735501', 'indices': [0, 12]}, {'screen_name': 'jamesigoewalsh', 'name': 'James Igoe Walsh', 'id': 69643591, 'id_str': '69643591', 'indices': [13, 28]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [29, 42]}, {'screen_name': 'UofSC', 'name': 'University of South Carolina', 'id': 28161251, 'id_str': '28161251', 'indices': [43, 49]}, {'screen_name': 'HighPointU', 'name': 'HighPointUniversity', 'id': 29996748, 'id_str': '29996748', 'indices': [50, 61]}]",[],en,recent,291371244,291371244,Lauren Pinson,zivjeli,"Philadelphia, PA","Postdoc @perryworldhouse, PhD candidate @Yale: illicit markets, guns, drugs, borders. IR fieldwork. (Decaf) coffee. Pups. Oceans. Whiskey.🦖@universityofga alum",https://t.co/JessJ3qcn1,[],False,2160,3164,71,Sun May 01 22:09:58 +0000 2011,21886,,,True,False,9121,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/986638905574211584/Ah-w5D2s_normal.jpg,https://pbs.twimg.com/profile_images/986638905574211584/Ah-w5D2s_normal.jpg,https://pbs.twimg.com/profile_banners/291371244/1560590252,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/JessJ3qcn1', 'expanded_url': 'http://lpinson.com', 'display_url': 'lpinson.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fri Jan 24 12:03:37 +0000 2020,1220678539172859905,1220678539172859905,@clestancona @jamesigoewalsh @unccharlotte @UofSC @HighPointU Very cool!!,False,"[62, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206773688487977e+18,1220677368848797696,55735501.0,55735501,clestancona,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'clestancona', 'name': 'Chelsea Estancona', 'id': 55735501, 'id_str': '55735501', 'indices': [0, 12]}, {'screen_name': 'jamesigoewalsh', 'name': 'James Igoe Walsh', 'id': 69643591, 'id_str': '69643591', 'indices': [13, 28]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [29, 42]}, {'screen_name': 'UofSC', 'name': 'University of South Carolina', 'id': 28161251, 'id_str': '28161251', 'indices': [43, 49]}, {'screen_name': 'HighPointU', 'name': 'HighPointUniversity', 'id': 29996748, 'id_str': '29996748', 'indices': [50, 61]}]",[],en,recent,1449142848,1449142848,Liana Eustacia Reyes,LianaEustacia,"Houston, TX",PhD Student @RicePoliSci. Conflict & Law. @NYUPolitics @fiu_sipa & @FIULaw Alumna. Foodie. Creator of Humans (well one). Founder & President of @MSS_Rice.,https://t.co/MzcyiUk9O1,[],False,472,902,4,Wed May 22 15:00:07 +0000 2013,1294,,,True,False,997,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/932675431727165440/cvg5MGiY_normal.jpg,https://pbs.twimg.com/profile_images/932675431727165440/cvg5MGiY_normal.jpg,https://pbs.twimg.com/profile_banners/1449142848/1533578594,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/MzcyiUk9O1', 'expanded_url': 'http://lianaeustacia.com', 'display_url': 'lianaeustacia.com', 'indices': [0, 23]}]",1c69a67ad480e1b1,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,city,Houston,"Houston, TX",US,United States,[],Polygon,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fri Jan 24 03:15:23 +0000 2020,1220545603857539073,1220545603857539073,@SBHarden @TeamJaneen @unccharlotte Such a blessing to see the @CREED_NC reports are giving life to the next generation of practitioners,False,"[36, 136]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205441229997916e+18,1220544122999791617,3514822521.0,3514822521,SBHarden,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SBHarden', 'name': 'Susan B. Harden District 5 Meck Co Commissioner', 'id': 3514822521, 'id_str': '3514822521', 'indices': [0, 9]}, {'screen_name': 'TeamJaneen', 'name': 'Janeen B', 'id': 3357853005, 'id_str': '3357853005', 'indices': [10, 21]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [22, 35]}, {'screen_name': 'CREED_NC', 'name': 'Center for Racial Equity in Education (CREED)', 'id': 1159944730618339329, 'id_str': '1159944730618339329', 'indices': [63, 72]}]",[],en,recent,2425649659,2425649659,James E. Ford,JEFordNCTOY,"Rockford, IL to Charlotte, NC","2014/15 NC Teacher of the Year, AΦΑ, @UNCC PhD student, Exec Dir of @CREED_NC. Anti-racist, pro-equity consultant. #TeachingInColor #EduColor RTs🚫👍🏿",https://t.co/3g9b2jhhMn,[],False,8757,4272,130,Thu Apr 03 13:39:14 +0000 2014,50117,,,True,False,20183,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,True,http://pbs.twimg.com/profile_images/1160243332167229446/0eH1gyqD_normal.jpg,https://pbs.twimg.com/profile_images/1160243332167229446/0eH1gyqD_normal.jpg,https://pbs.twimg.com/profile_banners/2425649659/1492488104,FAB81E,FFFFFF,DDFFCC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/3g9b2jhhMn', 'expanded_url': 'http://www.jameseford.net', 'display_url': 'jameseford.net', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Fri Jan 24 02:17:24 +0000 2020,1220531012649803776,1220531012649803776,@sstollar6 @susanhall_EdD @ErinKWashburn can you share any details of what you’ve seen at @unccharlotte?,False,"[26, 104]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205307950828954e+18,1220530795082895363,229271282.0,229271282,tiffany_peltier,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'sstollar6', 'name': 'Stephanie Stollar', 'id': 3064096109, 'id_str': '3064096109', 'indices': [0, 10]}, {'screen_name': 'susanhall_EdD', 'name': 'Susan L. Hall, EdD', 'id': 842801426, 'id_str': '842801426', 'indices': [11, 25]}, {'screen_name': 'ErinKWashburn', 'name': 'Erin Washburn', 'id': 882697842334322688, 'id_str': '882697842334322688', 'indices': [26, 40]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [90, 103]}]",[],en,recent,229271282,229271282,Tiffany K. Peltier,tiffany_peltier,"Norman, OK","Wife, mother, lover of the light, aspirer of intrepid ideas. Doctoral student w/research in teacher prep/training in reading & rd diff. OU/TAMU OK/NC/MD/DC/TX",https://t.co/bVUi7whYiO,[],False,1643,1069,20,Wed Dec 22 00:04:05 +0000 2010,6761,,,True,False,9579,,False,False,False,2E2235,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,False,http://pbs.twimg.com/profile_images/1182354227940745216/euR70TUn_normal.jpg,https://pbs.twimg.com/profile_images/1182354227940745216/euR70TUn_normal.jpg,https://pbs.twimg.com/profile_banners/229271282/1570729662,881D00,33F9CD,C3E353,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/bVUi7whYiO', 'expanded_url': 'https://understandingreading.home.blog', 'display_url': 'understandingreading.home.blog', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Fri Jan 24 01:34:45 +0000 2020,1220520280810033153,1220520280810033153,"Wide-Spread Power Issues across various University City Apartments in Charlotte, NC effecting thousands of @unccharlotte students",False,"[0, 129]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,8,False,False,en,[],[],"[{'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [107, 120]}]",[],en,recent,453554506,453554506,Jacob Baum,JacobBaum_,"Kernersville, NC",UNC Charlotte B.A. Political Science & Student Senate President Pro Tempore RIP Dad Romans 8:38-39 jbaum4@uncc.edu,,[],False,827,497,2,Tue Jan 03 01:44:48 +0000 2012,4070,,,True,False,3792,,False,False,False,030302,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/969431236488941573/i1zl9MeT_normal.jpg,https://pbs.twimg.com/profile_images/969431236488941573/i1zl9MeT_normal.jpg,https://pbs.twimg.com/profile_banners/453554506/1572636657,786A55,3C5449,12291F,547B61,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Thu Jan 23 03:06:22 +0000 2020,1220180947217321984,1220180947217321984,@unccharlotte buses picked a fine time to be jumbled up together. When the weather is 30 degrees Fahrenheit. 3 sliver buses at one  going the same direction smh,False,"[0, 160]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,281285283.0,281285283,unccharlotte,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [0, 13]}]",[],en,recent,49889557,49889557,Spicer,_whogonstopme,,"God first. AGGIE PRIDE, Aggie Alumnus",https://t.co/xrhtAMiWfd,[],False,1092,940,6,Tue Jun 23 04:56:11 +0000 2009,3570,,,True,False,43136,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1120168419087798273/nN09Swf6_normal.jpg,https://pbs.twimg.com/profile_images/1120168419087798273/nN09Swf6_normal.jpg,https://pbs.twimg.com/profile_banners/49889557/1517635320,FF0000,000000,000000,212121,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/xrhtAMiWfd', 'expanded_url': 'http://blackseriesproductions.com', 'display_url': 'blackseriesproductions.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
