,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
0,Sun Jan 26 05:37:02 +0000 2020,1221306029792731137,1221306029792731137,@UNCGChancellor @EmmylouSongbird @UNCG It was a great show! So honored to have reported on it for @thecarolinian,False,"[39, 112]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207747766728335e+18,1220774776672833536,4851031763.0,4851031763,UNCGChancellor,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UNCGChancellor', 'name': 'Chancellor Gilliam', 'id': 4851031763, 'id_str': '4851031763', 'indices': [0, 15]}, {'screen_name': 'EmmylouSongbird', 'name': 'Emmylou Harris', 'id': 1081032308, 'id_str': '1081032308', 'indices': [16, 32]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [33, 38]}, {'screen_name': 'thecarolinian', 'name': 'The Carolinian', 'id': 48202001, 'id_str': '48202001', 'indices': [98, 112]}]",[],en,recent,1168181023152246789,1168181023152246789,Victoria Cox,torileighxvl,"North Carolina, USA","English/Education major, minor in Creative Writing @uncg @uncg_eng Guest-Columnist for @Courier_Tribune & Arts/Entertainment @thecarolinian

@RandolphCC Alumni",https://t.co/Axy2EH0AOJ,"[{'url': 'https://t.co/Axy2EH0AOJ', 'expanded_url': 'https://victoriacoxwriter.wordpress.com/', 'display_url': 'victoriacoxwriter.wordpress.com', 'indices': [0, 23]}]",[],False,143,1003,0,Sun Sep 01 15:17:29 +0000 2019,6877,,,True,False,810,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1212853735124357120/0Bje2J97_normal.jpg,https://pbs.twimg.com/profile_images/1212853735124357120/0Bje2J97_normal.jpg,https://pbs.twimg.com/profile_banners/1168181023152246789/1576277277,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,3b98b02fba3f9753,https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json,admin,North Carolina,"North Carolina, USA",US,United States,[],Polygon,"[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 18:30:12 +0000 2020,1221138212527230977,1221138212527230977,"@dr_jen_feather @eatbooks @UNCG So good! And surprisingly funny! “NPR, you know that liberal bastion of TRUTH...”",False,"[32, 113]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211372191314944e+18,1221137219131494402,4797388349.0,4797388349,dr_jen_feather,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'dr_jen_feather', 'name': 'Jennifer Feather', 'id': 4797388349, 'id_str': '4797388349', 'indices': [0, 15]}, {'screen_name': 'eatbooks', 'name': 'Waiyi Tse', 'id': 89114720, 'id_str': '89114720', 'indices': [16, 25]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [26, 31]}]",[],en,recent,361901781,361901781,Jay Shelat,jshelat1,"Greensboro, NC","PhD student studying contemporary lit at the University of North Carolina, Greensboro. I know hundreds of Bollywood songs by heart. he/him Views are my own.",,,[],False,1769,1445,27,Thu Aug 25 14:35:13 +0000 2011,128161,,,True,False,39535,,False,False,False,000000,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1158579660676042753/n5k9ogxc_normal.jpg,https://pbs.twimg.com/profile_images/1158579660676042753/n5k9ogxc_normal.jpg,https://pbs.twimg.com/profile_banners/361901781/1516245660,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 01:13:24 +0000 2020,1220877293196738560,1220877293196738560,bruce mcclung rockin the intro for Emmylou Harris @uncghhs @UNCG @uncgarts,False,"[0, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'uncghhs', 'name': 'UNCGHHS', 'id': 1125444050050527235, 'id_str': '1125444050050527235', 'indices': [50, 58]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [59, 64]}, {'screen_name': 'uncgarts', 'name': 'UNCG CVPA', 'id': 467484058, 'id_str': '467484058', 'indices': [65, 74]}]",[],en,recent,29586386,29586386,Carl@theG,CarlMattacola,"Greensboro, NC","Dean @UNCGHHS, Husband to Kathleen, Father to Cynddelw, Gryphon & Pete.",https://t.co/kM6SwyOKmW,"[{'url': 'https://t.co/kM6SwyOKmW', 'expanded_url': 'https://www.uncg.edu/hhs/', 'display_url': 'uncg.edu/hhs/', 'indices': [0, 23]}]",[],False,363,906,0,Wed Apr 08 00:11:47 +0000 2009,907,,,False,False,575,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1135287245261422592/cMX3Ve4q_normal.jpg,https://pbs.twimg.com/profile_images/1135287245261422592/cMX3Ve4q_normal.jpg,https://pbs.twimg.com/profile_banners/29586386/1559511169,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fri Jan 24 22:25:31 +0000 2020,1220835045700554752,1220835045700554752,@davidcblackburn @DukeU @iDigBio @MorphoSource You should swing by @UNCG!,False,"[47, 73]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2201026129069138e+18,1220102612906913792,44261504.0,44261504,davidcblackburn,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'davidcblackburn', 'name': 'David C. Blackburn 🐸', 'id': 44261504, 'id_str': '44261504', 'indices': [0, 16]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [17, 23]}, {'screen_name': 'iDigBio', 'name': 'iDigBio', 'id': 330041881, 'id_str': '330041881', 'indices': [24, 32]}, {'screen_name': 'MorphoSource', 'name': 'MorphoSource', 'id': 890226606509260800, 'id_str': '890226606509260800', 'indices': [33, 46]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [67, 72]}]",[],en,recent,4777767515,4777767515,Bryan McLean,bryansmclean,Greensboro NC,Integrative biologist exploring the past and present of mammalian evolution. Museums are my guides. Genomes | phenomes | biodiversity informatics | #NewPI @UNCG,https://t.co/UR9L8uS157,"[{'url': 'https://t.co/UR9L8uS157', 'expanded_url': 'https://www.mclean-lab.org/', 'display_url': 'mclean-lab.org', 'indices': [0, 23]}]",[],False,566,678,12,Mon Jan 11 21:09:51 +0000 2016,1871,,,False,False,935,,False,False,False,FF691F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1009782344109215745/VFPMW7D3_normal.jpg,https://pbs.twimg.com/profile_images/1009782344109215745/VFPMW7D3_normal.jpg,https://pbs.twimg.com/profile_banners/4777767515/1555419229,045FB4,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 19:46:44 +0000 2020,1220795087040532481,1220795087040532481,@EcGunnarsson @UNCGMensSoccer @uncgspartans @UNCG @Independence @NCFusionU23 Thanks brotha🤞🏾,False,"[77, 92]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207910908838257e+18,1220791090883825665,263167169.0,263167169,EcGunnarsson,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'EcGunnarsson', 'name': 'Eric Gunnarsson', 'id': 263167169, 'id_str': '263167169', 'indices': [0, 13]}, {'screen_name': 'UNCGMensSoccer', 'name': ""UNCG Men's Soccer"", 'id': 361442936, 'id_str': '361442936', 'indices': [14, 29]}, {'screen_name': 'uncgspartans', 'name': 'UNCG Athletics', 'id': 29792721, 'id_str': '29792721', 'indices': [30, 43]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [44, 49]}, {'screen_name': 'Independence', 'name': 'Charlotte Independence', 'id': 2735399078, 'id_str': '2735399078', 'indices': [50, 63]}, {'screen_name': 'NCFusionU23', 'name': 'NC Fusion U-23’s', 'id': 57703677, 'id_str': '57703677', 'indices': [64, 76]}]",[],en,recent,491767438,491767438,Casey Penland,casey_penland,,UNCG Men's Soccer,,,[],False,713,514,2,Tue Feb 14 00:28:19 +0000 2012,6359,,,True,False,10475,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1180901829888090113/i-jilD3m_normal.jpg,https://pbs.twimg.com/profile_images/1180901829888090113/i-jilD3m_normal.jpg,https://pbs.twimg.com/profile_banners/491767438/1553745509,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri Jan 24 16:09:10 +0000 2020,1220740335292149760,1220740335292149760,"@uncucs @uncwritelearn @ThePrincetonRev @meredithcoll
@NCState @UNCG thank you for supporting our students in these workshops! We are so excited to work with you! and @PhreePhood don't think we wouldn't remember you!",False,"[0, 216]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220740334084219e+18,1220740334084218881,1.1598978494227415e+18,1159897849422741505,UNC_HPA,,,,False,1,2,False,False,en,[],[],"[{'screen_name': 'uncucs', 'name': 'UNC UCS', 'id': 34394355, 'id_str': '34394355', 'indices': [0, 7]}, {'screen_name': 'uncwritelearn', 'name': 'UNC Writing & Learning Center', 'id': 296993257, 'id_str': '296993257', 'indices': [8, 22]}, {'screen_name': 'ThePrincetonRev', 'name': 'The Princeton Review', 'id': 17817315, 'id_str': '17817315', 'indices': [23, 39]}, {'screen_name': 'meredithcoll', 'name': 'Meredith Collier', 'id': 596068600, 'id_str': '596068600', 'indices': [40, 53]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [54, 62]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [63, 68]}, {'screen_name': 'PhreePhood', 'name': 'Phree Phood', 'id': 396748448, 'id_str': '396748448', 'indices': [167, 178]}]",[],en,recent,1159897849422741505,1159897849422741505,UNC Health Professions Advising,UNC_HPA,"Chapel Hill, NC",HPA serves all current students and alumni of UNC Chapel Hill who are interested in pursuing careers within the health professions.,https://t.co/HsDEWVKVTE,"[{'url': 'https://t.co/HsDEWVKVTE', 'expanded_url': 'http://hpa.unc.edu', 'display_url': 'hpa.unc.edu', 'indices': [0, 23]}]",[],False,102,247,0,Fri Aug 09 18:42:51 +0000 2019,143,,,False,False,142,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1161290433563176961/1b1Bp0AW_normal.jpg,https://pbs.twimg.com/profile_images/1161290433563176961/1b1Bp0AW_normal.jpg,https://pbs.twimg.com/profile_banners/1159897849422741505/1579901549,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 14:38:15 +0000 2020,1220717452000223233,1220717452000223233,@UNCG @uncgwbb So next year how about a double header at the Coliseum with the men?,False,"[15, 83]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207049138328084e+18,1220704913832808448,65615119.0,65615119,UNCG,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [0, 5]}, {'screen_name': 'uncgwbb', 'name': 'UNCG WBB', 'id': 576701400, 'id_str': '576701400', 'indices': [6, 14]}]",[],en,recent,878253612106952704,878253612106952704,Dudley Bokoski,dudleybokoski,Greensboro NC,Retired operations analyst with the Postal Service.  Past president of UNCG Alumni Association.  Man of a thousand hobbies.,,,[],False,41,114,0,Fri Jun 23 14:09:13 +0000 2017,4357,,,False,False,2110,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1155141502588346369/QiCKWlcT_normal.jpg,https://pbs.twimg.com/profile_images/1155141502588346369/QiCKWlcT_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fri Jan 24 13:49:02 +0000 2020,1220705069798170627,1220705069798170627,"Could campus vehicles please stop parking in handicapped parking spots? The ones I’ve seen don’t have placards, and it’s unfair to take spaces from people who really need them. @uncg @UNCGparking",False,"[0, 195]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [177, 182]}, {'screen_name': 'UNCGparking', 'name': 'UNCGparking', 'id': 145642199, 'id_str': '145642199', 'indices': [183, 195]}]",[],en,recent,1206751363,1206751363,caeley 🌈,caeleym12,,lucille bluth in training || uncg theatre ed || she/her || zebra,https://t.co/elQ9YLFV8E,"[{'url': 'https://t.co/elQ9YLFV8E', 'expanded_url': 'https://www.ehlers-danlos.com/', 'display_url': 'ehlers-danlos.com', 'indices': [0, 23]}]",[],False,571,605,9,Fri Feb 22 03:58:12 +0000 2013,52332,,,True,False,31580,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1166573954758258688/DNE3YdQ9_normal.jpg,https://pbs.twimg.com/profile_images/1166573954758258688/DNE3YdQ9_normal.jpg,https://pbs.twimg.com/profile_banners/1206751363/1579940366,89C9FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 04:59:48 +0000 2020,1220571880970694657,1220571880970694657,@DM_UrFuturePrez @UNCG @uncgakpsi @UNCGCAP @GuyTalkUNCG @UNCG_OIE I’ve been so inspired by your positions of leadership here at UNCG once I’ve gotten to know who you are! As a black falculty member you are representing us well in the places we aren’t. I appreciate your humility every chance we cross paths!! Much love and respect my brother✊🏾🙏🏾,False,"[66, 345]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220376485652861e+18,1220376485652860928,2934459647.0,2934459647,DM_UrFuturePrez,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DM_UrFuturePrez', 'name': 'Demarcus Merritt', 'id': 2934459647, 'id_str': '2934459647', 'indices': [0, 16]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [17, 22]}, {'screen_name': 'uncgakpsi', 'name': 'ΨΣ Chapter of AKΨ', 'id': 91796960, 'id_str': '91796960', 'indices': [23, 33]}, {'screen_name': 'UNCGCAP', 'name': 'UNCGCAP', 'id': 358208683, 'id_str': '358208683', 'indices': [34, 42]}, {'screen_name': 'GuyTalkUNCG', 'name': 'GuyTalkUNCG', 'id': 785634171230253060, 'id_str': '785634171230253060', 'indices': [43, 55]}, {'screen_name': 'UNCG_OIE', 'name': 'UNCG OIE', 'id': 3306644409, 'id_str': '3306644409', 'indices': [56, 65]}]",[],en,recent,826437122794086400,826437122794086400,Mahlik Conley,mahlikc3__,At peace,UNCG📍 ΑΚΨ💼,,,[],False,562,713,0,Tue Jan 31 14:28:59 +0000 2017,503,,,False,False,540,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1098803263527440385/9EO974Zf_normal.jpg,https://pbs.twimg.com/profile_images/1098803263527440385/9EO974Zf_normal.jpg,https://pbs.twimg.com/profile_banners/826437122794086400/1562798690,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 04:53:26 +0000 2020,1220570278201184256,1220570278201184256,@eidde_d3 @mj_mckin @UNCG Preciate you!✊🏾✊🏾,False,"[26, 43]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203466198177546e+18,1220346619817754626,377664662.0,377664662,eidde_d3,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'eidde_d3', 'name': 'CEO of Backup Boyfriend industries', 'id': 377664662, 'id_str': '377664662', 'indices': [0, 9]}, {'screen_name': 'mj_mckin', 'name': 'm y l e s . m', 'id': 1961693929, 'id_str': '1961693929', 'indices': [10, 19]}, {'screen_name': 'UNCG', 'name': 'UNC Greensboro', 'id': 65615119, 'id_str': '65615119', 'indices': [20, 25]}]",[],en,recent,826437122794086400,826437122794086400,Mahlik Conley,mahlikc3__,At peace,UNCG📍 ΑΚΨ💼,,,[],False,562,713,0,Tue Jan 31 14:28:59 +0000 2017,503,,,False,False,540,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1098803263527440385/9EO974Zf_normal.jpg,https://pbs.twimg.com/profile_images/1098803263527440385/9EO974Zf_normal.jpg,https://pbs.twimg.com/profile_banners/826437122794086400/1562798690,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
