,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
3,Sun Jan 26 00:29:19 +0000 2020,1221228587186974721,1221228587186974721,"@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Lucky you, @bxxpark! Enjoy the transition, @samuelsingerlaw - you'll be missed in BC.",False,"[56, 141]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}, {'screen_name': 'bxxpark', 'name': 'B P', 'id': 3671095108, 'id_str': '3671095108', 'indices': [67, 75]}, {'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [99, 115]}]",[],en,recent,122487895,122487895,Kareem Ibrahim,Kareem_I,"Vancouver, British Columbia","@AllardLaw student (occupied Musqueam territory), they/them",,[],False,870,909,18,Fri Mar 12 22:04:51 +0000 2010,2598,,,False,False,2845,,False,False,False,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/1134176315857235968/mp675hnO_normal.png,https://pbs.twimg.com/profile_images/1134176315857235968/mp675hnO_normal.png,https://pbs.twimg.com/profile_banners/122487895/1571544922,F58EA8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 22:30:19 +0000 2020,1221198642608070656,1221198642608070656,Very happy with my academic results on my exchange from @uOttawa Faculty of Law. Winter Term begins on Monday 📚,False,"[0, 111]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [56, 64]}]",[],en,recent,1151122531782397953,1151122531782397953,Paige Elizabeth,adventuresofpe3,"Ottawa, Ontario",Law Student from the U.K on exchange uOttawa 🇨🇦. Aspiring Barrister ⚖️🇬🇧,https://t.co/4L1hxSXjgQ,[],False,20,58,0,Tue Jul 16 13:32:53 +0000 2019,282,,,True,False,253,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1197332603566796800/gZ05U2c0_normal.jpg,https://pbs.twimg.com/profile_images/1197332603566796800/gZ05U2c0_normal.jpg,https://pbs.twimg.com/profile_banners/1151122531782397953/1574904847,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/4L1hxSXjgQ', 'expanded_url': 'https://www.youtube.com/channel/UCgvZK5X7HaW3DjXVjhgS8kw', 'display_url': 'youtube.com/channel/UCgvZK…', 'indices': [0, 23]}]",38d5974e82ed1a6c,https://api.twitter.com/1.1/geo/id/38d5974e82ed1a6c.json,city,Ottawa,"Ottawa, Ontario",CA,Canada,[],Polygon,"[[[-76.353876, 44.961937], [-75.246407, 44.961937], [-75.246407, 45.5356446], [-76.353876, 45.5356446]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 21:05:48 +0000 2020,1221177372948516864,1221177372948516864,@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Such great news! Congratulations and welcome to @uOttawa!!,False,"[56, 114]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [104, 112]}]",[],en,recent,705588158,705588158,Sarah Berger Richardson,sarahfoodlaw,"Montréal, QC | Ottawa, ON","Prof at @DrCiviluOttawa (via @SchulichLaw | @LAWMcGill | @TAU_LAW) 
Founding member of Canadian Association for Food Law and Policy https://t.co/LFZHEEOSzn 
Opinions my own",https://t.co/PPulFwT1wR,"[{'url': 'https://t.co/LFZHEEOSzn', 'expanded_url': 'http://foodlaw.ca', 'display_url': 'foodlaw.ca', 'indices': [132, 155]}]",False,367,586,3,Thu Jul 19 18:54:05 +0000 2012,1830,,,False,False,376,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1170829339920912384/M-OU2Jpx_normal.jpg,https://pbs.twimg.com/profile_images/1170829339920912384/M-OU2Jpx_normal.jpg,https://pbs.twimg.com/profile_banners/705588158/1567646034,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/PPulFwT1wR', 'expanded_url': 'http://droitcivil.uottawa.ca/fr/personnes/berger-richardson-sarah', 'display_url': 'droitcivil.uottawa.ca/fr/personnes/b…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 21:05:41 +0000 2020,1221177343114240001,1221177343114240001,"@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Oh Sam, I’m still in a deep state of denial. Wonderful for my alma mater, but I will miss you as a friend and colleague.",False,"[56, 176]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}]",[],en,recent,319760452,319760452,Christine Adam (she/her),trudeanstudents,"Kamloops, BC, Canada",Dean of Students @thompsonriversu Cariboo girl at heart,https://t.co/VmPv7yKdYn,[],False,2003,1933,77,Sat Jun 18 17:54:47 +0000 2011,9831,,,True,False,7675,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1062912692682248192/INJiqiMZ_normal.jpg,https://pbs.twimg.com/profile_images/1062912692682248192/INJiqiMZ_normal.jpg,https://pbs.twimg.com/profile_banners/319760452/1526625053,E81C4F,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/VmPv7yKdYn', 'expanded_url': 'http://www.tru.ca', 'display_url': 'tru.ca', 'indices': [0, 23]}]",00ccf965e713a598,https://api.twitter.com/1.1/geo/id/00ccf965e713a598.json,city,Kamloops,"Kamloops, British Columbia",CA,Canada,[],Polygon,"[[[-120.5412915, 50.6172419], [-120.04176, 50.6172419], [-120.04176, 50.8663904], [-120.5412915, 50.8663904]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Jan 25 19:44:52 +0000 2020,1221157003042729984,1221157003042729984,@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Congratulations!,False,"[56, 72]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}]",[],en,recent,162221625,162221625,Charlotte Wolters,CharltteWolters,Canada,"Tweets about Business, Marketing, PR, Mentorship,Tech, Politics & Stuff |Founder of the WLMP & @wlmpuottawa|Retweets & ❤ are Not endorsements. Views my own.",https://t.co/5PIw6v6gDX,[],False,1691,3621,206,Sat Jul 03 01:39:33 +0000 2010,33908,,,False,False,62116,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1144256138654945280/m3iYGmZN_normal.png,https://pbs.twimg.com/profile_images/1144256138654945280/m3iYGmZN_normal.png,https://pbs.twimg.com/profile_banners/162221625/1517270412,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/5PIw6v6gDX', 'expanded_url': 'http://www.linkedin.com/in/charlottewolters', 'display_url': 'linkedin.com/in/charlottewo…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sat Jan 25 18:56:35 +0000 2020,1221144854861950976,1221144854861950976,@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Congratulations! Welcome to our community @uOttawa !,False,"[56, 108]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [98, 106]}]",[],en,recent,591488734,591488734,Marie-Eve Sylvestre,MEveSylvestre,"Ottawa, Ontario","Doyenne @DrCiviluOttawa, College @RSCTheAcademies / Criminal law, homelessness, public spaces, Indigenous justice #rechercheengagée #scholarshipwithcommitment",https://t.co/Rg7k5kuzae,[],False,1591,1546,39,Sun May 27 03:53:59 +0000 2012,10100,,,True,False,7558,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/672125117686747136/xRvcwxHp_normal.jpg,https://pbs.twimg.com/profile_images/672125117686747136/xRvcwxHp_normal.jpg,https://pbs.twimg.com/profile_banners/591488734/1505177380,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/Rg7k5kuzae', 'expanded_url': 'https://droitcivil.uottawa.ca/fr/personnes/sylvestre-marie-eve', 'display_url': 'droitcivil.uottawa.ca/fr/personnes/s…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sat Jan 25 18:11:59 +0000 2020,1221133629318778880,1221133629318778880,@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Congratulations! We will miss you!,False,"[56, 90]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}]",[],en,recent,91900211,91900211,Courtney McLaughlin,CA_McLaughlin,Canada,"BA History & Political Science📚| TRU Law Student⚖️| Sims Fan🏡| All thoughts are my own. Thoughts, as all things in life, are subject to change without notice.",,[],False,144,252,17,Mon Nov 23 00:24:55 +0000 2009,5453,,,True,False,7967,,False,False,False,1D1D1C,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1181973531740925952/bQsIp6c5_normal.jpg,https://pbs.twimg.com/profile_images/1181973531740925952/bQsIp6c5_normal.jpg,https://pbs.twimg.com/profile_banners/91900211/1570646679,EB1111,FFFFFF,480547,37BCE5,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sat Jan 25 17:42:17 +0000 2020,1221126155081867264,1221126155081867264,@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw Congrats! Good luck with the move,False,"[56, 89]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}]",[],en,recent,3129903491,3129903491,Kinnon Ross MacKinnon,Kinnon_Ross,Toronto via Nova Scotia,queer/trans health 🏳️‍🌈 | critical social scientist🔎 | postdoc @UofT_dlsph | collab @LGBTQ_Research | k.mackinnon@mail.utoronto.ca | cyclist 🚴‍♂️🚴‍♂️,https://t.co/cgL8yBwmVc,[],False,1517,1185,25,Mon Mar 30 20:49:50 +0000 2015,8510,,,False,False,3633,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216454323502309376/z4l_2sIg_normal.jpg,https://pbs.twimg.com/profile_images/1216454323502309376/z4l_2sIg_normal.jpg,https://pbs.twimg.com/profile_banners/3129903491/1516127270,9266CC,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/cgL8yBwmVc', 'expanded_url': 'https://patient-centred.ca', 'display_url': 'patient-centred.ca', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Sat Jan 25 17:12:24 +0000 2020,1221118634820431872,1221118634820431872,@samuelsingerlaw @uOttawa @thompsonriversu @uocommonlaw You will be missed!,False,"[56, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221110769686737e+18,1221110769686736896,16339142.0,16339142,samuelsingerlaw,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [0, 16]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [17, 25]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [26, 42]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [43, 55]}]",[],en,recent,46516499,46516499,Kate Dueck,katedueck18,Vancouver and Kamloops,"student of law and life at TRU 🇨🇦
Molly and Hershey 🐈
friends and family 💗
food and wine 🍷",,[],False,55,385,0,Thu Jun 11 23:02:14 +0000 2009,28610,,,True,False,1609,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/938106765421330433/GWov1OqI_normal.jpg,https://pbs.twimg.com/profile_images/938106765421330433/GWov1OqI_normal.jpg,https://pbs.twimg.com/profile_banners/46516499/1512497159,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sat Jan 25 16:44:21 +0000 2020,1221111574481588226,1221111574481588226,RT @samuelsingerlaw: Some news. I will be leaving #TRULaw to start at @uOttawa in July. I am so grateful for my time at the wonderful @thom…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,5,0,False,False,en,"[{'text': 'TRULaw', 'indices': [50, 57]}]",[],"[{'screen_name': 'samuelsingerlaw', 'name': 'Samuel Singer', 'id': 16339142, 'id_str': '16339142', 'indices': [3, 19]}, {'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [70, 78]}]",[],en,recent,143910645,143910645,Marina Pavlović,pavLAWich,"Ottawa, ON",Associate Prof @uOttawaTechLaw @uocommonlaw @uOttawa; co-lead @Telecom_ConsIR; #consumer #techlaw #A2J; 🐾 #whippets; profile 📷 by @kenyajade; *personal views*,,[],False,2954,1566,187,Fri May 14 19:26:52 +0000 2010,20,,,False,False,24439,,False,False,False,F5EDF0,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1061085522704121856/Wcj7BV7f_normal.jpg,https://pbs.twimg.com/profile_images/1061085522704121856/Wcj7BV7f_normal.jpg,https://pbs.twimg.com/profile_banners/143910645/1440188655,3E269E,DBE9ED,E6F6F9,0A0A0A,False,False,False,False,False,False,False,none,,,,,,,,,,,,Sat Jan 25 16:41:09 +0000 2020,1.221110769686737e+18,1221110769686736896,Some news. I will be leaving #TRULaw to start at @uOttawa in July. I am so grateful for my time at the wonderful @thompsonriversu - thank you all! I am very excited to be joining the fantastic @uocommonlaw in the tax capital of Canada - see you soon!,False,"[0, 250]","[{'text': 'TRULaw', 'indices': [29, 36]}]",[],"[{'screen_name': 'uOttawa', 'name': 'uOttawa', 'id': 352311644, 'id_str': '352311644', 'indices': [49, 57]}, {'screen_name': 'thompsonriversu', 'name': 'Thompson Rivers University', 'id': 19086314, 'id_str': '19086314', 'indices': [113, 129]}, {'screen_name': 'uocommonlaw', 'name': 'uOttawa | COMMON LAW', 'id': 773787228, 'id_str': '773787228', 'indices': [193, 205]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,16339142.0,16339142,Samuel Singer,samuelsingerlaw,,"Assistant Professor in Law @ Thompson Rivers University. Mostly tax, charity, & LGBTQ law. Trans advocate. Tweets not legal advice, retweets not endorsements.",https://t.co/jJgbMRshAy,"[{'url': 'https://t.co/jJgbMRshAy', 'expanded_url': 'http://samuelsinger.ca', 'display_url': 'samuelsinger.ca', 'indices': [0, 23]}]",[],False,1440.0,3816.0,21.0,Wed Sep 17 23:27:05 +0000 2008,5135.0,,,False,False,4901.0,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/559137624112119808/ea9vemE3_normal.jpeg,https://pbs.twimg.com/profile_images/559137624112119808/ea9vemE3_normal.jpeg,https://pbs.twimg.com/profile_banners/16339142/1564016966,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,5.0,146.0,False,False,en
