,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,possibly_sensitive,entities.media,extended_entities.media,retweeted_status.user.entities.url.urls
0,Sun Jan 26 06:52:46 +0000 2020,1221325086529028097,1221325086529028097,"@ChrisZehntner @jmac392 @UTAS_ A huge, huge congratulations @jmac392 Well deserves and as ever so humble . Keep being brilliant and doing important work",False,"[31, 152]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212054635235656e+18,1221205463523565570,9.110370911060582e+17,911037091106058240,ChrisZehntner,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ChrisZehntner', 'name': 'Chris', 'id': 911037091106058240, 'id_str': '911037091106058240', 'indices': [0, 14]}, {'screen_name': 'jmac392', 'name': 'Jenny McMahon', 'id': 749060454, 'id_str': '749060454', 'indices': [15, 23]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [24, 30]}, {'screen_name': 'jmac392', 'name': 'Jenny McMahon', 'id': 749060454, 'id_str': '749060454', 'indices': [60, 68]}]",[],en,recent,1065366018,1065366018,Brett Smith,BrettSmithProf,,"Professor, Disability & Physical Activity / Director of Research @DUSportExSci / President, Int. Society of Qualitative Research in Sport & Exercise https://t.co/nmxHeTWEju",https://t.co/M0RzwQUQnY,"[{'url': 'https://t.co/M0RzwQUQnY', 'expanded_url': 'https://www.researchgate.net/profile/Brett_Smith4', 'display_url': 'researchgate.net/profile/Brett_…', 'indices': [0, 23]}]","[{'url': 'https://t.co/nmxHeTWEju', 'expanded_url': 'http://qrsesoc.com', 'display_url': 'qrsesoc.com', 'indices': [149, 172]}]",False,3240,53,38,Sun Jan 06 10:43:31 +0000 2013,13545,,,False,False,4479,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1104765945615134721/_QEFyKlF_normal.jpg,https://pbs.twimg.com/profile_images/1104765945615134721/_QEFyKlF_normal.jpg,https://pbs.twimg.com/profile_banners/1065366018/1357469440,0099B9,5ED4DC,95E8EC,3C3940,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun Jan 26 01:36:57 +0000 2020,1221245607286718464,1221245607286718464,@Bianca_JColeman @UTAS_ 🙏 thanks heaps Bianca 💚,False,"[24, 47]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2212449215557427e+18,1221244921555742721,4436844914.0,4436844914,Bianca_JColeman,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Bianca_JColeman', 'name': 'Bianca Coleman', 'id': 4436844914, 'id_str': '4436844914', 'indices': [0, 16]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [17, 23]}]",[],en,recent,749060454,749060454,Jenny McMahon,jmac392,University of Tasmania,OAM; PhD; Sport Culture Researcher; athlete wellbeing; athlete abuse; Commonwealth Games Gold Medallist 🏊‍♀️,,,[],False,720,887,3,Fri Aug 10 09:58:55 +0000 2012,7624,,,True,False,902,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/742516444202557440/e8x0duMK_normal.jpg,https://pbs.twimg.com/profile_images/742516444202557440/e8x0duMK_normal.jpg,https://pbs.twimg.com/profile_banners/749060454/1440327002,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sat Jan 25 06:46:34 +0000 2020,1220961139011440640,1220961139011440640,@CityByrne @UTAS_ @TerraLuma I think credit to @risingsealevel for that. Calibrated eyeballing.,False,"[29, 95]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2209595121079992e+18,1220959512107999232,7.006482075634033e+17,700648207563403264,CityByrne,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'CityByrne', 'name': 'Professor Jason Byrne', 'id': 700648207563403264, 'id_str': '700648207563403264', 'indices': [0, 10]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [11, 17]}, {'screen_name': 'TerraLuma', 'name': 'Arko Lucieer', 'id': 621654048, 'id_str': '621654048', 'indices': [18, 28]}, {'screen_name': 'risingsealevel', 'name': 'Christopher Watson', 'id': 2799763282, 'id_str': '2799763282', 'indices': [47, 62]}]",[],en,recent,2408844830,2408844830,Matt King,DeformedEarth,"Hobart, Tasmania, Australia","Sea-level change, ice sheets, solid earth deformation and geodesy. Amongst others. Professor at University of Tasmania but comments my own.",https://t.co/JnJnKV4c09,"[{'url': 'https://t.co/JnJnKV4c09', 'expanded_url': 'http://www.utas.edu.au/profiles/staff/geography-spatial/matt-king', 'display_url': 'utas.edu.au/profiles/staff…', 'indices': [0, 23]}]",[],False,2319,1532,93,Mon Mar 24 11:06:59 +0000 2014,16077,,,True,False,10374,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/844426626133872640/TGTeR084_normal.jpg,https://pbs.twimg.com/profile_images/844426626133872640/TGTeR084_normal.jpg,https://pbs.twimg.com/profile_banners/2408844830/1404875453,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri Jan 24 13:00:37 +0000 2020,1220692884351082497,1220692884351082497,@JamesMPay @UTAS_ I could watch this all day! Fantastic technical work and makes you feel like you’re flying with the bird - thanks for sharing these!,False,"[18, 150]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2205089868495299e+18,1220508986849529856,126341171.0,126341171,JamesMPay,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'JamesMPay', 'name': 'James Pay', 'id': 126341171, 'id_str': '126341171', 'indices': [0, 10]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [11, 17]}]",[],en,recent,1474858860,1474858860,Celine Moore,mooc83,Halton Hills Ontario,"Science, Nature, Musique/Arts",,,[],False,18,117,0,Sat Jun 01 14:42:32 +0000 2013,820,,,False,False,533,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://pbs.twimg.com/profile_banners/1474858860/1370100412,FF3300,86A4A6,A0C5C7,333333,True,False,False,True,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 02:23:07 +0000 2020,1220532452671668225,1220532452671668225,@JamesMPay @UTAS_ Amazing!,False,"[18, 26]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205089868495299e+18,1220508986849529856,126341171.0,126341171,JamesMPay,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'JamesMPay', 'name': 'James Pay', 'id': 126341171, 'id_str': '126341171', 'indices': [0, 10]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [11, 17]}]",[],en,recent,899515571049439233,899515571049439233,Elizabeth Webber,e_webberish,,"A gardening, bird lover and science fan with an addiction to geology and the natural world. And food. And beer.",,,[],False,44,135,0,Mon Aug 21 06:16:39 +0000 2017,7755,,,False,False,1438,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1104957799862198272/13LoS-NJ_normal.png,https://pbs.twimg.com/profile_images/1104957799862198272/13LoS-NJ_normal.png,https://pbs.twimg.com/profile_banners/899515571049439233/1552277796,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thu Jan 23 01:13:18 +0000 2020,1220152494631739392,1220152494631739392,@DrAnneHardy1 @TourIndCouTas @UTAS_ Fantastic! Such exciting new directions,False,"[36, 75]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.22014645332403e+18,1220146453324029952,3644441113.0,3644441113,DrAnneHardy1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DrAnneHardy1', 'name': 'Anne Hardy', 'id': 3644441113, 'id_str': '3644441113', 'indices': [0, 13]}, {'screen_name': 'TourIndCouTas', 'name': 'TICT', 'id': 496398349, 'id_str': '496398349', 'indices': [14, 28]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [29, 35]}]",[],en,recent,32738831,32738831,Dr Joanna Vince,Joanna_Vince,Tasmania,Senior Lecturer and Political Scientist @UTAS_PoliticsIR @UTAS_. Member of @CMS_UTas and @ISC_UTAS. Passionate about #oceansgovernance. Tweets are my own.,,,[],False,499,659,3,Sat Apr 18 02:28:22 +0000 2009,3283,,,True,False,776,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1198732741237342208/LdzAA-ps_normal.jpg,https://pbs.twimg.com/profile_images/1198732741237342208/LdzAA-ps_normal.jpg,https://pbs.twimg.com/profile_banners/32738831/1524386682,FF0000,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Wed Jan 22 11:35:22 +0000 2020,1219946654150742016,1219946654150742016,"@PeteLawler @UTAS_ @ecol_evo @cabahCoE As a training ornithologist I really have no idea! They're the same species (Bennett's wallaby) but I wouldn't be surprised if ~10,000 years of isolation hadn't had some evolutionary impact.",False,"[39, 229]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199226215731282e+18,1219922621573128192,296658401.0,296658401,PeteLawler,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PeteLawler', 'name': '👴🏻Chickenhead😱☁️', 'id': 296658401, 'id_str': '296658401', 'indices': [0, 11]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [12, 18]}, {'screen_name': 'ecol_evo', 'name': 'D.E.E.P. Group', 'id': 4518687077, 'id_str': '4518687077', 'indices': [19, 28]}, {'screen_name': 'cabahCoE', 'name': 'CABAH', 'id': 832401352072450048, 'id_str': '832401352072450048', 'indices': [29, 38]}]",[],en,recent,4781189593,4781189593,Matthew Fielding,mattwfielding,"Hobart, Tasmania","PhD candidate studying woodland birds in the Bass Strait, Tasmania 🏝️🐦 (@ecol_evo @cabahCoE @UTAS_). Fond of chasing corvids, playing music and brewing beer.",https://t.co/8opLd03J9X,"[{'url': 'https://t.co/8opLd03J9X', 'expanded_url': 'https://ecological-dynamics.org/people/matt-fielding/', 'display_url': 'ecological-dynamics.org/people/matt-fi…', 'indices': [0, 23]}]",[],False,516,727,6,Tue Jan 19 03:25:09 +0000 2016,5011,,,False,False,609,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1130661092101746689/SaQi47Uw_normal.png,https://pbs.twimg.com/profile_images/1130661092101746689/SaQi47Uw_normal.png,https://pbs.twimg.com/profile_banners/4781189593/1558405767,000000,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tue Jan 21 05:16:30 +0000 2020,1219488922964643842,1219488922964643842,@yodaberg @UTAS_ Of course you will pass! And I'm excited for you. xx,False,"[17, 69]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2194885939424338e+18,1219488593942433792,226475070.0,226475070,yodaberg,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'yodaberg', 'name': 'Isy Oderberg', 'id': 226475070, 'id_str': '226475070', 'indices': [0, 9]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [10, 16]}]",[],en,recent,598029880,598029880,DrTess Ryan,TessRyan1,"Melbourne, Victoria","Biripi, writer, academic & consultant. PhD on deadly Aboriginal women & leadership. Trying to engage with/disrupt Eurocentric paradigms. Artist. She/her.",https://t.co/PwrB3wV9oT,"[{'url': 'https://t.co/PwrB3wV9oT', 'expanded_url': 'http://drtessryan.godaddysites.com/', 'display_url': 'drtessryan.godaddysites.com', 'indices': [0, 23]}]",[],False,2559,1413,17,Sun Jun 03 04:55:45 +0000 2012,16829,,,False,False,7756,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216170794335621121/PwS1rKhZ_normal.jpg,https://pbs.twimg.com/profile_images/1216170794335621121/PwS1rKhZ_normal.jpg,https://pbs.twimg.com/profile_banners/598029880/1579648706,9266CC,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tue Jan 21 05:14:49 +0000 2020,1219488499398627331,1219488499398627331,@yodaberg @UTAS_ This is great - you can teach me! &lt;3,False,"[17, 56]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.219487727269245e+18,1219487727269244928,226475070.0,226475070,yodaberg,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'yodaberg', 'name': 'Isy Oderberg', 'id': 226475070, 'id_str': '226475070', 'indices': [0, 9]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [10, 16]}]",[],en,recent,598029880,598029880,DrTess Ryan,TessRyan1,"Melbourne, Victoria","Biripi, writer, academic & consultant. PhD on deadly Aboriginal women & leadership. Trying to engage with/disrupt Eurocentric paradigms. Artist. She/her.",https://t.co/PwrB3wV9oT,"[{'url': 'https://t.co/PwrB3wV9oT', 'expanded_url': 'http://drtessryan.godaddysites.com/', 'display_url': 'drtessryan.godaddysites.com', 'indices': [0, 23]}]",[],False,2559,1413,17,Sun Jun 03 04:55:45 +0000 2012,16829,,,False,False,7756,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216170794335621121/PwS1rKhZ_normal.jpg,https://pbs.twimg.com/profile_images/1216170794335621121/PwS1rKhZ_normal.jpg,https://pbs.twimg.com/profile_banners/598029880/1579648706,9266CC,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tue Jan 21 05:13:02 +0000 2020,1219488050461327361,1219488050461327361,@yodaberg @UTAS_ Congrats Isy!,False,"[17, 30]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194872088281293e+18,1219487208828129282,226475070.0,226475070,yodaberg,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'yodaberg', 'name': 'Isy Oderberg', 'id': 226475070, 'id_str': '226475070', 'indices': [0, 9]}, {'screen_name': 'UTAS_', 'name': 'University of Tasmania', 'id': 78862818, 'id_str': '78862818', 'indices': [10, 16]}]",[],en,recent,1407081642,1407081642,Karen Wyld,1KarenWyld,South Australia,[-0-] Sunset beachwalker. Author. Masters student @ UTS: researching Country & resistance in Aboriginal magic realist text. https://t.co/fQbaUw3sTP…,https://t.co/8QkJNfVFMv,"[{'url': 'https://t.co/8QkJNfVFMv', 'expanded_url': 'https://karenwyld.com/', 'display_url': 'karenwyld.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/fQbaUw3sTP', 'expanded_url': 'http://instagram.com/meanderingwyld', 'display_url': 'instagram.com/meanderingwyld', 'indices': [124, 147]}]",False,7193,1249,76,Mon May 06 07:48:03 +0000 2013,130687,,,False,False,85136,,False,False,False,1A6D82,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/1198955493395271680/Q5dNUGoo_normal.jpg,https://pbs.twimg.com/profile_images/1198955493395271680/Q5dNUGoo_normal.jpg,https://pbs.twimg.com/profile_banners/1407081642/1574603682,FF691F,000000,F6F6F6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
