,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
10,Fri Jan 24 00:04:36 +0000 2020,1220497594616614912,1220497594616614912,"RT @UToledo: Tag yourself - we are the ""omg YES"" at 0:12",False,"[0, 56]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [3, 11]}]",[],en,recent,715181088054894592,715181088054894592,Jason Oliver,VB_coachjo,"Toledo, OH","Head Coach - University of Toledo Volleyball. Husband to Kelly, Dad to Miles (plus Bubba and Cali 🐶🐶)- Go Rockets! 🚀",,[],False,284,159,0,Wed Mar 30 14:17:13 +0000 2016,767,,,False,False,240,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/952961265558806528/iFB6ahDP_normal.jpg,https://pbs.twimg.com/profile_images/952961265558806528/iFB6ahDP_normal.jpg,https://pbs.twimg.com/profile_banners/715181088054894592/1516038621,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,Thu Jan 23 21:31:06 +0000 2020,1.220458964548313e+18,1220458964548313110,"Tag yourself - we are the ""omg YES"" at 0:12",False,"[0, 43]",[],[],[],[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2203540726596854e+18,1220354072659685376,22655658.0,22655658,UToledo,22655658.0,22655658,The University of Toledo,UToledo,"Toledo, OH","We’re looking for students like you, who overcome the impossible and achieve the unthinkable. The unstoppable spirit — determined to succeed.",https://t.co/0ofZnXks79,"[{'url': 'https://t.co/0ofZnXks79', 'expanded_url': 'http://utoledo.edu', 'display_url': 'utoledo.edu', 'indices': [0, 23]}]",[],False,66170.0,2102.0,475.0,Tue Mar 03 18:25:43 +0000 2009,2395.0,,,True,True,8808.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1145696173878964225/Ao3aCJqi_normal.jpg,https://pbs.twimg.com/profile_images/1145696173878964225/Ao3aCJqi_normal.jpg,https://pbs.twimg.com/profile_banners/22655658/1557146068,0084B4,FFFFFF,FCF179,001A52,True,False,False,False,False,False,False,none,,,,,False,1.0,16.0,False,False,en
14,Thu Jan 23 18:42:45 +0000 2020,1220416597694787584,1220416597694787584,@Drake_Ogburn @UToledo So bad I hate it,False,"[23, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204131791482962e+18,1220413179148296194,1301125518.0,1301125518,Drake_Ogburn,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Drake_Ogburn', 'name': 'drake', 'id': 1301125518, 'id_str': '1301125518', 'indices': [0, 13]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [14, 22]}]",[],en,recent,4227896615,4227896615,Andrew,Andrew_Larson23,Americas most important city,"cogito, ergo sum utoledo",,[],False,343,269,2,Thu Nov 19 17:26:14 +0000 2015,3925,,,True,False,5222,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1049424265458667520/Ulay8Mtw_normal.jpg,https://pbs.twimg.com/profile_images/1049424265458667520/Ulay8Mtw_normal.jpg,https://pbs.twimg.com/profile_banners/4227896615/1543596927,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Thu Jan 23 16:21:07 +0000 2020,1220380951601143810,1220380951601143810,Fix ur parking @UToledo,False,"[0, 23]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [15, 23]}]",[],en,recent,4227896615,4227896615,Andrew,Andrew_Larson23,Americas most important city,"cogito, ergo sum utoledo",,[],False,343,269,2,Thu Nov 19 17:26:14 +0000 2015,3925,,,True,False,5222,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1049424265458667520/Ulay8Mtw_normal.jpg,https://pbs.twimg.com/profile_images/1049424265458667520/Ulay8Mtw_normal.jpg,https://pbs.twimg.com/profile_banners/4227896615/1543596927,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Thu Jan 23 15:26:06 +0000 2020,1220367105897521152,1220367105897521152,@AlissaTafla @UToledo or spandex shorts!!!!!!!!!!!!,False,"[22, 51]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220353976543187e+18,1220353976543186945,9.760864889695642e+17,976086488969564160,AlissaTafla,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'AlissaTafla', 'name': '𝙰𝚕𝚒𝚜𝚜𝚊_𝚃𝚊𝚏𝚕𝚊', 'id': 976086488969564160, 'id_str': '976086488969564160', 'indices': [0, 12]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [13, 21]}]",[],en,recent,404337742,404337742,jelly,jilltuba,with my cat,utoledo engineering • delta phi epsilon • @tarabusicreek • dan’s the cute one,,[],False,546,598,2,Thu Nov 03 19:42:40 +0000 2011,52819,,,True,False,38878,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1212932549925888000/ZgRirYR5_normal.jpg,https://pbs.twimg.com/profile_images/1212932549925888000/ZgRirYR5_normal.jpg,https://pbs.twimg.com/profile_banners/404337742/1566265834,0015FF,000000,7AC3EE,3D1957,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wed Jan 22 20:53:32 +0000 2020,1220087119588286465,1220087119588286465,@UToledo @hotpocket978 look at u go girl,False,"[9, 40]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200837547958804e+18,1220083754795880448,22655658.0,22655658,UToledo,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [0, 8]}, {'screen_name': 'hotpocket978', 'name': 'natalie', 'id': 419981610, 'id_str': '419981610', 'indices': [9, 22]}]",[],en,recent,971109769,971109769,Katie Brown,kt__brown,Attica ➡️ Toledo,"“As long as faith gives me strength, I will always be joyful” - Bl. Pier Giorgio Frassati ||University of Toledo|| Daughter of the King",,[],False,682,673,0,Mon Nov 26 01:16:05 +0000 2012,37508,,,True,False,12544,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,True,http://pbs.twimg.com/profile_images/1216861387152150528/77Y3Hajk_normal.jpg,https://pbs.twimg.com/profile_images/1216861387152150528/77Y3Hajk_normal.jpg,https://pbs.twimg.com/profile_banners/971109769/1579031214,FAB81E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Wed Jan 22 11:46:50 +0000 2020,1219949540985516032,1219949540985516032,RT @UTPresident: All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semest…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,12,0,False,False,en,[],[],"[{'screen_name': 'UTPresident', 'name': 'Dr. Sharon Gaber', 'id': 856555915, 'id_str': '856555915', 'indices': [3, 15]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [30, 38]}]",[],en,recent,778382774885421056,778382774885421056,UToledo Coach DeMya,UtoledoD,"Toledo, OH","Husband, Father, Success Coach who is passionate about UToledo and student success.",,[],False,86,228,1,Tue Sep 20 23:58:10 +0000 2016,277,,,False,False,343,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/831642939868721153/TP_4wwss_normal.jpg,https://pbs.twimg.com/profile_images/831642939868721153/TP_4wwss_normal.jpg,https://pbs.twimg.com/profile_banners/778382774885421056/1488814462,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,Tue Jan 21 14:00:07 +0000 2020,1.2196206920789524e+18,1219620692078952448,All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semester one to remember! #GoRockets 🚀,False,"[0, 154]","[{'text': 'GoRockets', 'indices': [142, 152]}]",[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [13, 21]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,856555915.0,856555915,Dr. Sharon Gaber,UTPresident,"Toledo, Ohio",17th President of @UToledo,,,[],False,3471.0,237.0,33.0,Mon Oct 01 15:28:35 +0000 2012,4117.0,,,True,False,881.0,,False,False,False,002E7D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_banners/856555915/1557145882,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,12.0,82.0,False,False,en
28,Wed Jan 22 00:53:21 +0000 2020,1219785084464705537,1219785084464705537,RT @UTPresident: All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semest…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,12,0,False,False,en,[],[],"[{'screen_name': 'UTPresident', 'name': 'Dr. Sharon Gaber', 'id': 856555915, 'id_str': '856555915', 'indices': [3, 15]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [30, 38]}]",[],en,recent,2333848105,2333848105,Karen Bjorkman,UTNSM_Dean,University of Toledo,Provost and Executive Vice President for Academic Affairs at the University of Toledo; astronomer; proud to be a Rocket Scientist!,https://t.co/KwQoiwzs4g,[],False,384,875,4,Sat Feb 08 17:48:25 +0000 2014,698,,,False,False,522,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/432214694376374272/eSptwNOB_normal.jpeg,https://pbs.twimg.com/profile_images/432214694376374272/eSptwNOB_normal.jpeg,https://pbs.twimg.com/profile_banners/2333848105/1391883053,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/KwQoiwzs4g', 'expanded_url': 'http://www.utoledo.edu/', 'display_url': 'utoledo.edu', 'indices': [0, 23]}]",,,,,,,,,,,Tue Jan 21 14:00:07 +0000 2020,1.2196206920789524e+18,1219620692078952448,All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semester one to remember! #GoRockets 🚀,False,"[0, 154]","[{'text': 'GoRockets', 'indices': [142, 152]}]",[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [13, 21]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,856555915.0,856555915,Dr. Sharon Gaber,UTPresident,"Toledo, Ohio",17th President of @UToledo,,,[],False,3471.0,237.0,33.0,Mon Oct 01 15:28:35 +0000 2012,4117.0,,,True,False,881.0,,False,False,False,002E7D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_banners/856555915/1557145882,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,12.0,82.0,False,False,en
30,Tue Jan 21 22:06:50 +0000 2020,1219743180922523650,1219743180922523650,RT @UTPresident: All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semest…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,12,0,False,False,en,[],[],"[{'screen_name': 'UTPresident', 'name': 'Dr. Sharon Gaber', 'id': 856555915, 'id_str': '856555915', 'indices': [3, 15]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [30, 38]}]",[],en,recent,885493291281776640,885493291281776640,Linda Lewandowski,UToledoNursing,"Toledo, OH","Dean, College of Nursing; Vice-Provost for Health Affairs for Interprofessional and Community Partnerships, University of Toledo",https://t.co/FPUpdrBD4n,[],False,366,91,1,Thu Jul 13 13:37:07 +0000 2017,3970,,,True,False,1709,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/885494096017604613/e-eR3-TQ_normal.jpg,https://pbs.twimg.com/profile_images/885494096017604613/e-eR3-TQ_normal.jpg,https://pbs.twimg.com/profile_banners/885493291281776640/1504280169,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/FPUpdrBD4n', 'expanded_url': 'http://utoledo.edu/nursing', 'display_url': 'utoledo.edu/nursing', 'indices': [0, 23]}]",,,,,,,,,,,Tue Jan 21 14:00:07 +0000 2020,1.2196206920789524e+18,1219620692078952448,All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semester one to remember! #GoRockets 🚀,False,"[0, 154]","[{'text': 'GoRockets', 'indices': [142, 152]}]",[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [13, 21]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,856555915.0,856555915,Dr. Sharon Gaber,UTPresident,"Toledo, Ohio",17th President of @UToledo,,,[],False,3471.0,237.0,33.0,Mon Oct 01 15:28:35 +0000 2012,4117.0,,,True,False,881.0,,False,False,False,002E7D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_banners/856555915/1557145882,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,12.0,82.0,False,False,en
31,Tue Jan 21 21:34:39 +0000 2020,1219735078827220993,1219735078827220993,RT @UTPresident: All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semest…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,12,0,False,False,en,[],[],"[{'screen_name': 'UTPresident', 'name': 'Dr. Sharon Gaber', 'id': 856555915, 'id_str': '856555915', 'indices': [3, 15]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [30, 38]}]",[],en,recent,613688013,613688013,UToledoPharmacy,UToledoPharmacy,"Toledo, Ohio",More than 100 years of meeting the pharmaceutical needs of society: The University of Toledo College of Pharmacy and Pharmaceutical Sciences,https://t.co/pa185WCNvi,[],False,1355,357,24,Wed Jun 20 17:26:17 +0000 2012,508,,,True,False,1770,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1145682475324039169/utMN-2CM_normal.jpg,https://pbs.twimg.com/profile_images/1145682475324039169/utMN-2CM_normal.jpg,https://pbs.twimg.com/profile_banners/613688013/1354125342,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/pa185WCNvi', 'expanded_url': 'http://www.utoledo.edu/pharmacy', 'display_url': 'utoledo.edu/pharmacy', 'indices': [0, 23]}]",,,,,,,,,,,Tue Jan 21 14:00:07 +0000 2020,1.2196206920789524e+18,1219620692078952448,All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semester one to remember! #GoRockets 🚀,False,"[0, 154]","[{'text': 'GoRockets', 'indices': [142, 152]}]",[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [13, 21]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,856555915.0,856555915,Dr. Sharon Gaber,UTPresident,"Toledo, Ohio",17th President of @UToledo,,,[],False,3471.0,237.0,33.0,Mon Oct 01 15:28:35 +0000 2012,4117.0,,,True,False,881.0,,False,False,False,002E7D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_banners/856555915/1557145882,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,12.0,82.0,False,False,en
38,Tue Jan 21 15:29:00 +0000 2020,1219643063196430336,1219643063196430336,RT @UTPresident: All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semest…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,12,0,False,False,en,[],[],"[{'screen_name': 'UTPresident', 'name': 'Dr. Sharon Gaber', 'id': 856555915, 'id_str': '856555915', 'indices': [3, 15]}, {'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [30, 38]}]",[],en,recent,34797037,34797037,Eric Chase.,Eric_Chase,Toledo. Oh. ,"I hate change. But I'm adaptable/I don't have goals, I just do things/I don’t do fun, I do fascinating - Morning show host Q105 + mental health speaker🗣",https://t.co/zaYhVFQnEp,[],False,2877,927,68,Fri Apr 24 01:17:52 +0000 2009,317,,,True,False,55078,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1131891040997249024/wglR26M2_normal.jpg,https://pbs.twimg.com/profile_images/1131891040997249024/wglR26M2_normal.jpg,https://pbs.twimg.com/profile_banners/34797037/1446990698,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/zaYhVFQnEp', 'expanded_url': 'https://ericchasespeaks.com/', 'display_url': 'ericchasespeaks.com', 'indices': [0, 23]}]",,,,,,,,,,,Tue Jan 21 14:00:07 +0000 2020,1.2196206920789524e+18,1219620692078952448,All of us at @UToledo are excited to have you back on campus. We are here to support your success – let’s make this semester one to remember! #GoRockets 🚀,False,"[0, 154]","[{'text': 'GoRockets', 'indices': [142, 152]}]",[],"[{'screen_name': 'UToledo', 'name': 'The University of Toledo', 'id': 22655658, 'id_str': '22655658', 'indices': [13, 21]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,856555915.0,856555915,Dr. Sharon Gaber,UTPresident,"Toledo, Ohio",17th President of @UToledo,,,[],False,3471.0,237.0,33.0,Mon Oct 01 15:28:35 +0000 2012,4117.0,,,True,False,881.0,,False,False,False,002E7D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_images/1162775700509790216/A0ywLsJW_normal.jpg,https://pbs.twimg.com/profile_banners/856555915/1557145882,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,12.0,82.0,False,False,en
