,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
0,Sat Jan 25 23:36:39 +0000 2020,1221215335925387265,1221215335925387265,@jas_kalra @WarwickBSchool @warwickuni Many Thanks Jas 😃,False,"[39, 56]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2209910552539873e+18,1220991055253987334,46081123.0,46081123,jas_kalra,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jas_kalra', 'name': 'Jas Kalra, PhD, MCIPS', 'id': 46081123, 'id_str': '46081123', 'indices': [0, 10]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [11, 26]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [27, 38]}]",[],en,recent,4861160557,4861160557,Dr Rima Al Hasan,RimaAlHasan3,United Kingdom,PhD- #OperationsManagement & #innovation from @warwickBSchool Interested in #paradox #Processimprovement #OPEx #lean #productdevelopment #Innovation,,[],False,218,499,5,Thu Feb 04 22:34:08 +0000 2016,854,,,False,False,145,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_banners/4861160557/1480625226,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat Jan 25 23:34:37 +0000 2020,1221214822173495297,1221214822173495297,@RichmondReport @WarwickBSchool @warwickuni Yeah!! we made it 💪 Many congratulations for you too 😃,False,"[44, 98]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210268459756298e+18,1221026845975629824,264838973.0,264838973,RichmondReport,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RichmondReport', 'name': 'John Richmond, PhD', 'id': 264838973, 'id_str': '264838973', 'indices': [0, 15]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [16, 31]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [32, 43]}]",[],en,recent,4861160557,4861160557,Dr Rima Al Hasan,RimaAlHasan3,United Kingdom,PhD- #OperationsManagement & #innovation from @warwickBSchool Interested in #paradox #Processimprovement #OPEx #lean #productdevelopment #Innovation,,[],False,218,499,5,Thu Feb 04 22:34:08 +0000 2016,854,,,False,False,145,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_banners/4861160557/1480625226,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 23:32:35 +0000 2020,1221214310023692288,1221214310023692288,"@AmyVBenstead @WarwickBSchool @warwickuni Many Thanks, Amy 😍😍",False,"[42, 61]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220841691323814e+18,1220841691323813890,19724097.0,19724097,AmyVBenstead,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AmyVBenstead', 'name': 'Amy Benstead', 'id': 19724097, 'id_str': '19724097', 'indices': [0, 13]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [14, 29]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [30, 41]}]",[],en,recent,4861160557,4861160557,Dr Rima Al Hasan,RimaAlHasan3,United Kingdom,PhD- #OperationsManagement & #innovation from @warwickBSchool Interested in #paradox #Processimprovement #OPEx #lean #productdevelopment #Innovation,,[],False,218,499,5,Thu Feb 04 22:34:08 +0000 2016,854,,,False,False,145,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_banners/4861160557/1480625226,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Jan 25 23:28:22 +0000 2020,1221213249762447361,1221213249762447361,@OpsProf @WarwickBSchool @warwickuni Many Thanks😀,False,"[37, 49]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221029974498476e+18,1221029974498476033,3061561605.0,3061561605,OpsProf,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'OpsProf', 'name': 'Michael Lewis', 'id': 3061561605, 'id_str': '3061561605', 'indices': [0, 8]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [9, 24]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [25, 36]}]",[],en,recent,4861160557,4861160557,Dr Rima Al Hasan,RimaAlHasan3,United Kingdom,PhD- #OperationsManagement & #innovation from @warwickBSchool Interested in #paradox #Processimprovement #OPEx #lean #productdevelopment #Innovation,,[],False,218,499,5,Thu Feb 04 22:34:08 +0000 2016,854,,,False,False,145,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_images/962094128040435712/tLGfORQs_normal.jpg,https://pbs.twimg.com/profile_banners/4861160557/1480625226,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 18:34:56 +0000 2020,1221139405005631488,1221139405005631488,@JoTurner2013 @warwickuni @WarwickBSchool @ERC_UK @ESRC @ESRCDTCWarwick @SteveRop Proud moment 😀,False,"[82, 96]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211383870521344e+18,1221138387052134400,9.65640897802195e+17,965640897802194949,JoTurner2013,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JoTurner2013', 'name': 'Joanne Turner', 'id': 965640897802194949, 'id_str': '965640897802194949', 'indices': [0, 13]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [14, 25]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [26, 41]}, {'screen_name': 'ERC_UK', 'name': 'ERC (UK)', 'id': 1524401808, 'id_str': '1524401808', 'indices': [42, 49]}, {'screen_name': 'ESRC', 'name': 'Economic and Social Research Council', 'id': 19393236, 'id_str': '19393236', 'indices': [50, 55]}, {'screen_name': 'ESRCDTCWarwick', 'name': 'Warwick DTC Office', 'id': 2576664878, 'id_str': '2576664878', 'indices': [56, 71]}, {'screen_name': 'SteveRop', 'name': 'stephen roper', 'id': 582765825, 'id_str': '582765825', 'indices': [72, 81]}]",[],en,recent,2185179661,2185179661,Vicki Belt,Vicki_Belt,"Leicester, England","Deputy Director, Enterprise Research Centre, University of Warwick. Working to maximise research impact. Social Research Association trustee. Runner 🏃‍♀️",,[],False,1143,2108,44,Sat Nov 09 22:55:40 +0000 2013,6715,,,False,False,4514,,False,False,False,000000,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1129411563025313792/DYPIVRA9_normal.png,https://pbs.twimg.com/profile_images/1129411563025313792/DYPIVRA9_normal.png,https://pbs.twimg.com/profile_banners/2185179661/1558107865,9266CC,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 18:30:53 +0000 2020,1221138387052134400,1221138387052134400,@Vicki_Belt @warwickuni @WarwickBSchool @ERC_UK @ESRC @ESRCDTCWarwick @SteveRop Thank you Vicki!,False,"[80, 96]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211000585543107e+18,1221100058554310657,2185179661.0,2185179661,Vicki_Belt,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Vicki_Belt', 'name': 'Vicki Belt', 'id': 2185179661, 'id_str': '2185179661', 'indices': [0, 11]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [12, 23]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [24, 39]}, {'screen_name': 'ERC_UK', 'name': 'ERC (UK)', 'id': 1524401808, 'id_str': '1524401808', 'indices': [40, 47]}, {'screen_name': 'ESRC', 'name': 'Economic and Social Research Council', 'id': 19393236, 'id_str': '19393236', 'indices': [48, 53]}, {'screen_name': 'ESRCDTCWarwick', 'name': 'Warwick DTC Office', 'id': 2576664878, 'id_str': '2576664878', 'indices': [54, 69]}, {'screen_name': 'SteveRop', 'name': 'stephen roper', 'id': 582765825, 'id_str': '582765825', 'indices': [70, 79]}]",[],en,recent,965640897802194949,965640897802194949,Joanne Turner,JoTurner2013,"Coventry, England","Research Fellow - Enterprise Research Centre
Warwick Business School, University of Warwick",,[],False,60,143,0,Mon Feb 19 17:35:05 +0000 2018,436,,,False,False,92,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1089983174220881922/pct7TE1F_normal.jpg,https://pbs.twimg.com/profile_images/1089983174220881922/pct7TE1F_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 16:33:47 +0000 2020,1221108917427634176,1221108917427634176,@JoTurner2013 @warwickuni @WarwickBSchool @ERC_UK @ESRC @ESRCDTCWarwick @SteveRop Congratulations Jane!!!!  From Gran Canarias,False,"[82, 126]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210279023152865e+18,1221027902315286528,9.65640897802195e+17,965640897802194949,JoTurner2013,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JoTurner2013', 'name': 'Joanne Turner', 'id': 965640897802194949, 'id_str': '965640897802194949', 'indices': [0, 13]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [14, 25]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [26, 41]}, {'screen_name': 'ERC_UK', 'name': 'ERC (UK)', 'id': 1524401808, 'id_str': '1524401808', 'indices': [42, 49]}, {'screen_name': 'ESRC', 'name': 'Economic and Social Research Council', 'id': 19393236, 'id_str': '19393236', 'indices': [50, 55]}, {'screen_name': 'ESRCDTCWarwick', 'name': 'Warwick DTC Office', 'id': 2576664878, 'id_str': '2576664878', 'indices': [56, 71]}, {'screen_name': 'SteveRop', 'name': 'stephen roper', 'id': 582765825, 'id_str': '582765825', 'indices': [72, 81]}]",[],en,recent,624839528,624839528,Lydia S.,Lilimarlene5,"Islas Canarias, España",Haciendo Doctorado( PhD)... con ilusión en la ULPGC. Doing my PhD in entrepreneurship at University of Las Palmas de Gran Canaria,,[],False,316,223,17,Mon Jul 02 17:21:46 +0000 2012,38250,,,True,False,32805,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1104314769958420481/suoUmIiC_normal.jpg,https://pbs.twimg.com/profile_images/1104314769958420481/suoUmIiC_normal.jpg,https://pbs.twimg.com/profile_banners/624839528/1574499663,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 16:07:16 +0000 2020,1221102244600393729,1221102244600393729,"@Dr_JLW @Ellie_Upton_6 @WarwickFilmTV @warwickuni Seconding this. There’s always more to learn. We always have goals to reach of course, but they change too.",False,"[50, 157]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2211016061560136e+18,1221101606156013568,617954038.0,617954038,Dr_JLW,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Dr_JLW', 'name': 'Julie Lobalzo Wright', 'id': 617954038, 'id_str': '617954038', 'indices': [0, 7]}, {'screen_name': 'Ellie_Upton_6', 'name': 'Eleanor Grace Upton', 'id': 783198262908088320, 'id_str': '783198262908088320', 'indices': [8, 22]}, {'screen_name': 'WarwickFilmTV', 'name': 'Warwick Film & TV', 'id': 3290160009, 'id_str': '3290160009', 'indices': [23, 37]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [38, 49]}]",[],en,recent,2326151792,2326151792,Leanne Weston,identykit,,♿️ PhD/Seminar Tutor @WarwickFilmTV. Music tv/docs & materiality. Also teen/YA media and TV drama. Pop culture aficionado. Borderline entertaining. Views own.,https://t.co/7BdiSOGKef,[],False,597,1027,16,Mon Feb 03 23:03:48 +0000 2014,25088,,,True,False,8600,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/430481198817632256/LTfESynI_normal.jpeg,https://pbs.twimg.com/profile_images/430481198817632256/LTfESynI_normal.jpeg,,9999CC,FFFFFF,EFEFEF,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/7BdiSOGKef', 'expanded_url': 'https://warwick.ac.uk/fac/arts/film/research/graduate_research/weston', 'display_url': 'warwick.ac.uk/fac/arts/film/…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 15:58:35 +0000 2020,1221100058554310657,1221100058554310657,@JoTurner2013 @warwickuni @WarwickBSchool @ERC_UK @ESRC @ESRCDTCWarwick @SteveRop Fab photo! Congratulations Jo 👩‍🎓,False,"[82, 115]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210279023152865e+18,1221027902315286528,9.65640897802195e+17,965640897802194949,JoTurner2013,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JoTurner2013', 'name': 'Joanne Turner', 'id': 965640897802194949, 'id_str': '965640897802194949', 'indices': [0, 13]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [14, 25]}, {'screen_name': 'WarwickBSchool', 'name': 'WBS', 'id': 16682485, 'id_str': '16682485', 'indices': [26, 41]}, {'screen_name': 'ERC_UK', 'name': 'ERC (UK)', 'id': 1524401808, 'id_str': '1524401808', 'indices': [42, 49]}, {'screen_name': 'ESRC', 'name': 'Economic and Social Research Council', 'id': 19393236, 'id_str': '19393236', 'indices': [50, 55]}, {'screen_name': 'ESRCDTCWarwick', 'name': 'Warwick DTC Office', 'id': 2576664878, 'id_str': '2576664878', 'indices': [56, 71]}, {'screen_name': 'SteveRop', 'name': 'stephen roper', 'id': 582765825, 'id_str': '582765825', 'indices': [72, 81]}]",[],en,recent,2185179661,2185179661,Vicki Belt,Vicki_Belt,"Leicester, England","Deputy Director, Enterprise Research Centre, University of Warwick. Working to maximise research impact. Social Research Association trustee. Runner 🏃‍♀️",,[],False,1143,2108,44,Sat Nov 09 22:55:40 +0000 2013,6715,,,False,False,4514,,False,False,False,000000,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1129411563025313792/DYPIVRA9_normal.png,https://pbs.twimg.com/profile_images/1129411563025313792/DYPIVRA9_normal.png,https://pbs.twimg.com/profile_banners/2185179661/1558107865,9266CC,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat Jan 25 11:40:11 +0000 2020,1221035028815048704,1221035028815048704,RT @becca_kirkby: Absolutely raring to go this morning with a fab group of mentors from @warwickuni kicking off with a presentation about l…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'becca_kirkby', 'name': 'Becca Kirkby', 'id': 1200088100304826369, 'id_str': '1200088100304826369', 'indices': [3, 16]}, {'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [88, 99]}]",[],en,recent,1048227255879700481,1048227255879700481,Tallulah Llewellyn Machin,TallulahMachin,"Cardiff, Wales",Operations Manager for @LangHorizons. Graduate of French and Translation Studies. Student of Arabic.,https://t.co/q00qcEsSWn,[],False,155,154,1,Fri Oct 05 15:03:47 +0000 2018,652,,,False,False,620,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1131114811322961920/lpC9oxp5_normal.png,https://pbs.twimg.com/profile_images/1131114811322961920/lpC9oxp5_normal.png,https://pbs.twimg.com/profile_banners/1048227255879700481/1538894982,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/q00qcEsSWn', 'expanded_url': 'http://www.languagehorizons.co.uk', 'display_url': 'languagehorizons.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,Sat Jan 25 10:15:58 +0000 2020,1.221013837341778e+18,1221013837341777920,Absolutely raring to go this morning with a fab group of mentors from @warwickuni kicking off with a presentation about language context with @2210Lucy and @gorrara67 @LangHorizons,False,"[0, 180]",[],[],"[{'screen_name': 'warwickuni', 'name': 'University of Warwick', 'id': 15916215, 'id_str': '15916215', 'indices': [70, 81]}, {'screen_name': '2210Lucy', 'name': 'Lucy Jenkins', 'id': 787329240, 'id_str': '787329240', 'indices': [142, 151]}, {'screen_name': 'gorrara67', 'name': 'Claire Gorrara', 'id': 1935547218, 'id_str': '1935547218', 'indices': [156, 166]}, {'screen_name': 'LangHorizons', 'name': 'Language Horizons', 'id': 1072060666318606336, 'id_str': '1072060666318606336', 'indices': [167, 180]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.2000881003048264e+18,1200088100304826369,Becca Kirkby,becca_kirkby,Cardiff,"Language enthusiast, recent grad, Regional Coordinator for Language Horizons.

🇫🇷🇮🇹🇩🇪💕",https://t.co/FLUJlA6e5M,"[{'url': 'https://t.co/FLUJlA6e5M', 'expanded_url': 'http://mflmentoring.co.uk/language-horizons/', 'display_url': 'mflmentoring.co.uk/language-horiz…', 'indices': [0, 23]}]",[],False,90.0,333.0,1.0,Thu Nov 28 16:24:42 +0000 2019,107.0,,,False,False,46.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1200088838208663552/u3Dhxkmj_normal.jpg,https://pbs.twimg.com/profile_images/1200088838208663552/u3Dhxkmj_normal.jpg,https://pbs.twimg.com/profile_banners/1200088100304826369/1575974089,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,4.0,12.0,False,False,en
